0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
5154 | ribonuclease | protein enzyme | central vacuole | vesicle 
5155 | free ribosome | cellular structure | unsaturated fat | fat molecule 
5155 | free ribosome | cellular structure | unsaturated fat | triglyceride 
5155 | free ribosome | cellular structure | unsaturated fat | lipid 
5156 | free ribosome | ribosome | unsaturated fat | fat molecule 
5156 | free ribosome | ribosome | unsaturated fat | triglyceride 
5157 | Signal transduction with second messenger | Signal transduction | isomerase | protein enzyme 
5158 | cis trans isomer | molecule | disaccharide | sugar 
5158 | cis trans isomer | molecule | disaccharide | carbohydrate 
5159 | cis trans isomer | isomer | disaccharide | sugar 
5160 | Anabolic pathway | Endergonic process | cis trans isomer | isomer 
5160 | Anabolic pathway | Endergonic process | cis trans isomer | molecule 
5161 | Anabolic pathway | Metabolic pathway | cis trans isomer | isomer 
5162 | Anabolic pathway | Endergonic reaction | cis trans isomer | isomer 
5163 | maltose | organic molecule | actin | globular protein 
5163 | maltose | organic molecule | actin | water soluble protein 
5163 | maltose | organic molecule | actin | protein 
5163 | maltose | organic molecule | actin | organic molecule 
5163 | maltose | organic molecule | actin | polymer 
5164 | maltose | carbohydrate | actin | globular protein 
5164 | maltose | carbohydrate | actin | water soluble protein 
5164 | maltose | carbohydrate | actin | protein 
5165 | maltose | sugar | actin | globular protein 
5165 | maltose | sugar | actin | water soluble protein 
5166 | maltose | disaccharide | actin | globular protein 
5167 | lyase | protein enzyme | polar molecule | molecule 
5167 | lyase | protein enzyme | polar molecule | hydrophilic compound 
5168 | glycosidic linkage | polar covalent bond | electromagnetic spectrum | spectrum 
5169 | microtubule | cellular structure | Lactic acid fermentation by bacteria | Lactic acid fermentation 
5170 | nonpolar molecule | hydrophobic compound | wax | lipid 
5171 | nonpolar molecule | molecule | wax | lipid 
5172 | O2-gas | gas substance | denatured protein | protein 
5173 | Lactic acid fermentation | Fermentation | ionic attraction | chemical bond 
5174 | polar covalent bond | chemical bond | endoplasmic reticulum | organelle 
5174 | polar covalent bond | chemical bond | endoplasmic reticulum | cellular structure 
5175 | polar covalent bond | covalent bond | endoplasmic reticulum | organelle 
5176 | fungus | eukaryote | amphipathic molecule | molecule 
5177 | plasmodesmata | intercellular junction | Reverse reaction | Chemical reaction 
5178 | zinc atom | atom | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with Ca2 plus and IP3 
5178 | zinc atom | atom | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with plasma membrane receptor 
5179 | allosteric enzyme | protein | isoleucine | hydrophobic amino acid 
5179 | allosteric enzyme | protein | isoleucine | amino acid 
5180 | allosteric enzyme | enzyme | isoleucine | hydrophobic amino acid 
5180 | allosteric enzyme | enzyme | isoleucine | amino acid 
5181 | allosteric enzyme | protein enzyme | isoleucine | hydrophobic amino acid 
5182 | plant cell-wall | cellular structure | water soluble protein | protein 
5182 | plant cell-wall | cellular structure | water soluble protein | organic molecule 
5182 | plant cell-wall | cellular structure | water soluble protein | polymer 
5183 | plant cell-wall | cell wall | water soluble protein | protein 
5184 | cytochrome A3 | protein | polar amino acid | hydrophilic amino acid 
5184 | cytochrome A3 | protein | polar amino acid | amino acid 
5185 | cytochrome A3 | cytochrome | polar amino acid | hydrophilic amino acid 
5186 | amylose | starch | concentration gradient | gradient 
5187 | isoleucine | organic molecule | chromoplast | plastid 
5187 | isoleucine | organic molecule | chromoplast | organelle 
5187 | isoleucine | organic molecule | chromoplast | cellular structure 
5188 | isoleucine | amino acid | chromoplast | plastid 
5188 | isoleucine | amino acid | chromoplast | organelle 
5189 | isoleucine | hydrophobic amino acid | chromoplast | plastid 
5190 | uncoupling protein | channel protein | Cell signaling with G-protein coupled receptor | Cell signaling with plasma membrane receptor 
5191 | photoautotroph | autotroph | intracellular receptor | receptor protein 
5192 | plant cell | eukaryotic cell | polar side chain | R-group 
5193 | plant cell | walled cell | polar side chain | R-group 
5194 | oil | triglyceride | methionine | hydrophobic amino acid 
5194 | oil | triglyceride | methionine | amino acid 
5195 | oil | fat molecule | methionine | hydrophobic amino acid 
5196 | Communication through cell junction | Communication by direct contact | Cell signaling with cAMP and G-protein coupled receptor | Cell signaling with G-protein coupled receptor 
5197 | eukaryote | organism | proteoglycan | glycoprotein 
5198 | motor protein | molecule | Eukaryotic pyruvate oxidation | Pyruvate oxidation 
5198 | motor protein | molecule | Eukaryotic pyruvate oxidation | Catabolic pathway 
5198 | motor protein | molecule | Eukaryotic pyruvate oxidation | Exergonic reaction 
5198 | motor protein | molecule | Eukaryotic pyruvate oxidation | Metabolic pathway 
5199 | motor protein | polymer | Eukaryotic pyruvate oxidation | Pyruvate oxidation 
5199 | motor protein | polymer | Eukaryotic pyruvate oxidation | Catabolic pathway 
5200 | motor protein | organic molecule | Eukaryotic pyruvate oxidation | Pyruvate oxidation 
5200 | motor protein | organic molecule | Eukaryotic pyruvate oxidation | Catabolic pathway 
5201 | motor protein | protein | Eukaryotic pyruvate oxidation | Pyruvate oxidation 
5202 | aqueous salt solution | solution | glycoprotein | protein 
5202 | aqueous salt solution | solution | glycoprotein | amphipathic molecule 
5202 | aqueous salt solution | solution | glycoprotein | organic molecule 
5202 | aqueous salt solution | solution | glycoprotein | polymer 
5202 | aqueous salt solution | solution | glycoprotein | molecule 
5203 | aqueous salt solution | aqueous solution | glycoprotein | protein 
5203 | aqueous salt solution | aqueous solution | glycoprotein | amphipathic molecule 
5204 | sulfhydryl group | functional group | margarine | fat molecule 
5205 | ligase | protein enzyme | gap junction | intercellular junction 
5206 | isotonic solution | aqueous solution | cisterna | cellular structure 
5207 | carrier protein | transport membrane protein | first electron-shell | electron-shell 
5208 | FADH2 | molecule | photosynthetic pigment | pigment 
5208 | FADH2 | molecule | photosynthetic pigment | organic molecule 
5208 | FADH2 | molecule | photosynthetic pigment | molecule 
5209 | FADH2 | organic molecule | photosynthetic pigment | pigment 
5209 | FADH2 | organic molecule | photosynthetic pigment | organic molecule 
5210 | visible light | electromagnetic energy | saturated fatty acid | fatty acid 
5210 | visible light | electromagnetic energy | saturated fatty acid | hydrophobic compound 
5210 | visible light | electromagnetic energy | saturated fatty acid | carboxylic acid 
5211 | visible light | light | saturated fatty acid | fatty acid 
5212 | Photosynthesis | Metabolic pathway | isoleucine | hydrophobic amino acid 
5212 | Photosynthesis | Metabolic pathway | isoleucine | amino acid 
5213 | Photosynthesis | Endergonic reaction | isoleucine | hydrophobic amino acid 
5213 | Photosynthesis | Endergonic reaction | isoleucine | amino acid 
5214 | Photosynthesis | Anabolic pathway | isoleucine | hydrophobic amino acid 
5215 | phosphorus atom | atom | nucleotide | organic molecule 
5215 | phosphorus atom | atom | nucleotide | molecule 
5216 | oligosaccharide | organic molecule | chemical energy | potential energy 
5216 | oligosaccharide | organic molecule | chemical energy | energy 
5217 | oligosaccharide | carbohydrate | chemical energy | potential energy 
5218 | Protein denaturation by denaturation agent | Protein denaturation | vacuole | organelle 
5218 | Protein denaturation by denaturation agent | Protein denaturation | vacuole | vesicle 
5219 | phospholipid | amphipathic molecule | algal cell | eukaryotic cell 
5219 | phospholipid | amphipathic molecule | algal cell | walled cell 
5220 | phospholipid | lipid | algal cell | eukaryotic cell 
5220 | phospholipid | lipid | algal cell | walled cell 
5221 | isoleucine | amino acid | transport membrane protein | transmembrane protein 
5221 | isoleucine | amino acid | transport membrane protein | integral protein 
5222 | isoleucine | hydrophobic amino acid | transport membrane protein | transmembrane protein 
5223 | carbon-12 atom | isotope | water soluble protein | protein 
5223 | carbon-12 atom | isotope | water soluble protein | organic molecule 
5223 | carbon-12 atom | isotope | water soluble protein | polymer 
5224 | peroxisome | cellular structure | cytochrome A3 | cytochrome 
5224 | peroxisome | cellular structure | cytochrome A3 | protein 
5225 | peroxisome | organelle | cytochrome A3 | cytochrome 
5226 | cellulose | structural polysaccharide | Cell communication with epinephrine | Cell communication with endocrine hormone 
5227 | cellulose | polar molecule | Cell communication with epinephrine | Cell communication with endocrine hormone 
5228 | multiprotein complex-I | protein complex | multiprotein complex-III | protein complex 
5229 | storage polysaccharide | polymer | water molecule | polar molecule 
5229 | storage polysaccharide | polymer | water molecule | molecule 
5229 | storage polysaccharide | polymer | water molecule | hydrophilic compound 
5230 | storage polysaccharide | carbohydrate | water molecule | polar molecule 
5230 | storage polysaccharide | carbohydrate | water molecule | molecule 
5230 | storage polysaccharide | carbohydrate | water molecule | hydrophilic compound 
5231 | storage polysaccharide | polysaccharide | water molecule | polar molecule 
5232 | carbohydrate side chain | oligosaccharide | entropy | energy 
5233 | Cell signaling with ion channel receptor | Cell signaling with plasma membrane receptor | Forward reaction | Chemical reaction 
5234 | Reversible non competitive inhibition | Inhibition | centrosome | microtubule organizing center 
5234 | Reversible non competitive inhibition | Inhibition | centrosome | cellular structure 
5235 | Reversible non competitive inhibition | Non competitive inhibition | centrosome | microtubule organizing center 
5236 | Lactic acid fermentation by bacteria | Catabolic pathway | chitin | structural polysaccharide 
5236 | Lactic acid fermentation by bacteria | Catabolic pathway | chitin | polysaccharide 
5236 | Lactic acid fermentation by bacteria | Catabolic pathway | chitin | carbohydrate 
5236 | Lactic acid fermentation by bacteria | Catabolic pathway | chitin | polymer 
5237 | Lactic acid fermentation by bacteria | Anaerobic metabolism | chitin | structural polysaccharide 
5237 | Lactic acid fermentation by bacteria | Anaerobic metabolism | chitin | polysaccharide 
5237 | Lactic acid fermentation by bacteria | Anaerobic metabolism | chitin | carbohydrate 
5237 | Lactic acid fermentation by bacteria | Anaerobic metabolism | chitin | polymer 
5238 | Lactic acid fermentation by bacteria | Fermentation | chitin | structural polysaccharide 
5238 | Lactic acid fermentation by bacteria | Fermentation | chitin | polysaccharide 
5239 | Lactic acid fermentation by bacteria | Lactic acid fermentation | chitin | structural polysaccharide 
5240 | radio wave | radiation | nonpolar substance | hydrophobic substance 
5241 | cis trans isomer | molecule | nonpolar covalent bond | covalent bond 
5241 | cis trans isomer | molecule | nonpolar covalent bond | chemical bond 
5242 | cis trans isomer | isomer | nonpolar covalent bond | covalent bond 
5243 | polysaccharide | polymer | chemoautotroph | autotroph 
5244 | polysaccharide | carbohydrate | chemoautotroph | autotroph 
5245 | hydrophobic amino acid | organic molecule | nucleus | organelle 
5245 | hydrophobic amino acid | organic molecule | nucleus | cellular structure 
5246 | hydrophobic amino acid | amino acid | nucleus | organelle 
5247 | Protein denaturation by denaturation agent | Protein denaturation | law of mass action | scientific law 
5248 | Anabolic pathway | Metabolic pathway | cytochrome complex | protein complex 
5249 | Anabolic pathway | Endergonic reaction | cytochrome complex | protein complex 
5250 | light | energy | amyloplast | plastid 
5250 | light | energy | amyloplast | organelle 
5250 | light | energy | amyloplast | cellular structure 
5251 | light | radiation | amyloplast | plastid 
5251 | light | radiation | amyloplast | organelle 
5252 | light | electromagnetic energy | amyloplast | plastid 
5253 | ribulose bisphosphate | sugar | chitin | structural polysaccharide 
5253 | ribulose bisphosphate | sugar | chitin | polysaccharide 
5253 | ribulose bisphosphate | sugar | chitin | carbohydrate 
5253 | ribulose bisphosphate | sugar | chitin | polymer 
5254 | ribulose bisphosphate | organic molecule | chitin | structural polysaccharide 
5254 | ribulose bisphosphate | organic molecule | chitin | polysaccharide 
5254 | ribulose bisphosphate | organic molecule | chitin | carbohydrate 
5254 | ribulose bisphosphate | organic molecule | chitin | polymer 
5255 | ribulose bisphosphate | monosaccharide | chitin | structural polysaccharide 
5255 | ribulose bisphosphate | monosaccharide | chitin | polysaccharide 
5256 | ribulose bisphosphate | ketone | chitin | structural polysaccharide 
5256 | ribulose bisphosphate | ketone | chitin | polysaccharide 
5257 | ribulose bisphosphate | pentose | chitin | structural polysaccharide 
5258 | symporter | transmembrane protein | unsaturated fatty acid | fatty acid 
5258 | symporter | transmembrane protein | unsaturated fatty acid | hydrophobic compound 
5258 | symporter | transmembrane protein | unsaturated fatty acid | carboxylic acid 
5259 | symporter | transport membrane protein | unsaturated fatty acid | fatty acid 
5260 | smooth endoplasmic reticulum | endoplasmic reticulum | integrin | transmembrane protein 
5260 | smooth endoplasmic reticulum | endoplasmic reticulum | integrin | receptor protein 
5261 | Cell communication with epinephrine | Cell communication with endocrine hormone | gap junction | intercellular junction 
5262 | pyruvic acid | carboxylic acid | cell wall | cellular structure 
5263 | bound ribosome | ribosome | radioactive isotope | isotope 
5263 | bound ribosome | ribosome | radioactive isotope | atom 
5264 | animal | multicellular organism | algal cell | eukaryotic cell 
5264 | animal | multicellular organism | algal cell | walled cell 
5265 | animal | eukaryote | algal cell | eukaryotic cell 
5265 | animal | eukaryote | algal cell | walled cell 
5266 | hypotonic solution | aqueous solution | multiprotein complex-III | protein complex 
5267 | PEP carboxylase | protein enzyme | storage polysaccharide | polysaccharide 
5267 | PEP carboxylase | protein enzyme | storage polysaccharide | carbohydrate 
5267 | PEP carboxylase | protein enzyme | storage polysaccharide | polymer 
5268 | PEP carboxylase | oxidoreductase | storage polysaccharide | polysaccharide 
5269 | Feedback inhibition | Regulation | double bond | covalent bond 
5269 | Feedback inhibition | Regulation | double bond | chemical bond 
5270 | Feedback inhibition | Inhibition | double bond | covalent bond 
5271 | second electron-shell | electron-shell | protein | organic molecule 
5271 | second electron-shell | electron-shell | protein | polymer 
5272 | Redox reaction | Chemical reaction | plant | eukaryote 
5273 | Irreversible non competitive inhibition | Non competitive inhibition | Receptor mediated endocytosis | Endocytosis 
5274 | ferredoxin | polymer | ethyl alcohol | alcohol 
5274 | ferredoxin | polymer | ethyl alcohol | organic molecule 
5274 | ferredoxin | polymer | ethyl alcohol | molecule 
5275 | ferredoxin | organic molecule | ethyl alcohol | alcohol 
5275 | ferredoxin | organic molecule | ethyl alcohol | organic molecule 
5275 | ferredoxin | organic molecule | ethyl alcohol | molecule 
5276 | ferredoxin | protein | ethyl alcohol | alcohol 
5276 | ferredoxin | protein | ethyl alcohol | organic molecule 
5277 | nucleotide | molecule | Eukaryotic oxidative phosphorylation | Oxidative phosphorylation 
5277 | nucleotide | molecule | Eukaryotic oxidative phosphorylation | Metabolic pathway 
5278 | nucleotide | organic molecule | Eukaryotic oxidative phosphorylation | Oxidative phosphorylation 
5279 | iodine atom | atom | peroxisome | organelle 
5279 | iodine atom | atom | peroxisome | cellular structure 
5280 | potential energy | energy | Lactic acid fermentation in muscle cell | Lactic acid fermentation 
5281 | asparagine | polar amino acid | lactic acid | carboxylic acid 
5282 | alpha tubulin | polypeptide | plant cell | walled cell 
5282 | alpha tubulin | polypeptide | plant cell | eukaryotic cell 
5283 | algal cell | walled cell | storage polysaccharide | polysaccharide 
5284 | algal cell | eukaryotic cell | storage polysaccharide | polysaccharide 
5285 | cytochrome A3 | cytochrome | monomer | molecule 
5286 | PEP carboxylase | polymer | Alcohol fermentation by yeast | Alcohol fermentation 
5286 | PEP carboxylase | polymer | Alcohol fermentation by yeast | Fermentation 
5286 | PEP carboxylase | polymer | Alcohol fermentation by yeast | Anaerobic metabolism 
5286 | PEP carboxylase | polymer | Alcohol fermentation by yeast | Catabolic pathway 
5286 | PEP carboxylase | polymer | Alcohol fermentation by yeast | Metabolism 
5286 | PEP carboxylase | polymer | Alcohol fermentation by yeast | Exergonic reaction 
5286 | PEP carboxylase | polymer | Alcohol fermentation by yeast | Metabolic pathway 
5287 | PEP carboxylase | organic molecule | Alcohol fermentation by yeast | Alcohol fermentation 
5287 | PEP carboxylase | organic molecule | Alcohol fermentation by yeast | Fermentation 
5287 | PEP carboxylase | organic molecule | Alcohol fermentation by yeast | Anaerobic metabolism 
5287 | PEP carboxylase | organic molecule | Alcohol fermentation by yeast | Catabolic pathway 
5287 | PEP carboxylase | organic molecule | Alcohol fermentation by yeast | Metabolism 
5287 | PEP carboxylase | organic molecule | Alcohol fermentation by yeast | Exergonic reaction 
5287 | PEP carboxylase | organic molecule | Alcohol fermentation by yeast | Metabolic pathway 
5288 | PEP carboxylase | protein | Alcohol fermentation by yeast | Alcohol fermentation 
5288 | PEP carboxylase | protein | Alcohol fermentation by yeast | Fermentation 
5288 | PEP carboxylase | protein | Alcohol fermentation by yeast | Anaerobic metabolism 
5288 | PEP carboxylase | protein | Alcohol fermentation by yeast | Catabolic pathway 
5289 | PEP carboxylase | enzyme | Alcohol fermentation by yeast | Alcohol fermentation 
5289 | PEP carboxylase | enzyme | Alcohol fermentation by yeast | Fermentation 
5289 | PEP carboxylase | enzyme | Alcohol fermentation by yeast | Anaerobic metabolism 
5289 | PEP carboxylase | enzyme | Alcohol fermentation by yeast | Catabolic pathway 
5290 | PEP carboxylase | protein enzyme | Alcohol fermentation by yeast | Alcohol fermentation 
5290 | PEP carboxylase | protein enzyme | Alcohol fermentation by yeast | Fermentation 
5291 | PEP carboxylase | oxidoreductase | Alcohol fermentation by yeast | Alcohol fermentation 
5292 | electromagnetic spectrum | spectrum | desmosome | intercellular junction 
5293 | thylakoid electron transport chain | electron transport chain | photosystem I | photosystem 
5294 | PEP carboxylase | protein enzyme | valine | hydrophobic amino acid 
5294 | PEP carboxylase | protein enzyme | valine | amino acid 
5295 | PEP carboxylase | oxidoreductase | valine | hydrophobic amino acid 
5296 | early prokaryote | prokaryote | Golgi apparatus | organelle 
5297 | tubulin | water soluble protein | water soluble protein | protein 
5297 | tubulin | water soluble protein | water soluble protein | organic molecule 
5297 | tubulin | water soluble protein | water soluble protein | polymer 
5298 | tubulin | globular protein | water soluble protein | protein 
5299 | ketone | molecule | Cell signaling with cAMP and G-protein coupled receptor | Cell signaling with G-protein coupled receptor 
5299 | ketone | molecule | Cell signaling with cAMP and G-protein coupled receptor | Cell signaling with plasma membrane receptor 
5300 | ketone | organic molecule | Cell signaling with cAMP and G-protein coupled receptor | Cell signaling with G-protein coupled receptor 
5301 | transmembrane protein | integral protein | gap junction | intercellular junction 
5302 | Condensation reaction | Chemical reaction | glycerol | alcohol 
5302 | Condensation reaction | Chemical reaction | glycerol | organic molecule 
5302 | Condensation reaction | Chemical reaction | glycerol | molecule 
5303 | Condensation reaction | Endergonic process | glycerol | alcohol 
5303 | Condensation reaction | Endergonic process | glycerol | organic molecule 
5304 | Condensation reaction | Endergonic reaction | glycerol | alcohol 
5305 | prokaryote | organism | ethyl alcohol | alcohol 
5305 | prokaryote | organism | ethyl alcohol | organic molecule 
5306 | oil | fat molecule | multiprotein complex-III | protein complex 
5307 | anion | ion | endoplasmic reticulum | organelle 
5308 | centrosome | microtubule organizing center | Substrate level phosphorylation | Synthesis of ATP 
5309 | Condensation reaction | Endergonic reaction | Receptor mediated endocytosis | Endocytosis 
5310 | water molecule | polar molecule | Dehydration reaction | Condensation reaction 
5311 | symporter | transport membrane protein | chaperonin | protein complex 
5312 | Citric acid cycle | Metabolic pathway | Competitive inhibition | Inhibition 
5312 | Citric acid cycle | Metabolic pathway | Competitive inhibition | Regulation 
5313 | Citric acid cycle | Exergonic reaction | Competitive inhibition | Inhibition 
5313 | Citric acid cycle | Exergonic reaction | Competitive inhibition | Regulation 
5314 | Citric acid cycle | Catabolic pathway | Competitive inhibition | Inhibition 
5315 | chloroplast | organelle | P680 | chlorophyll A 
5315 | chloroplast | organelle | P680 | chlorophyll 
5316 | chloroplast | plastid | P680 | chlorophyll A 
5317 | hydrogen ion gradient | gradient | peptide linkage | polar covalent bond 
5317 | hydrogen ion gradient | gradient | peptide linkage | covalent bond 
5318 | Inhibition | Regulation | Lactic acid fermentation in muscle cell | Lactic acid fermentation 
5319 | transferase | protein enzyme | nicotinamide | nitrogenous base 
5320 | plastid | organelle | bacterium | prokaryote 
5321 | Cell communication with epinephrine | Cell communication with endocrine hormone | plastid | organelle 
5322 | glycoprotein | amphipathic molecule | isotonic solution | aqueous solution 
5323 | glycoprotein | protein | isotonic solution | aqueous solution 
5324 | motor protein | molecule | isomerase | protein enzyme 
5324 | motor protein | molecule | isomerase | enzyme 
5324 | motor protein | molecule | isomerase | protein 
5324 | motor protein | molecule | isomerase | organic molecule 
5324 | motor protein | molecule | isomerase | polymer 
5325 | motor protein | polymer | isomerase | protein enzyme 
5325 | motor protein | polymer | isomerase | enzyme 
5325 | motor protein | polymer | isomerase | protein 
5326 | motor protein | organic molecule | isomerase | protein enzyme 
5326 | motor protein | organic molecule | isomerase | enzyme 
5326 | motor protein | organic molecule | isomerase | protein 
5327 | motor protein | protein | isomerase | protein enzyme 
5328 | O2-gas | gas substance | anion | ion 
5329 | rough endoplasmic reticulum | organelle | denatured protein | protein 
5329 | rough endoplasmic reticulum | organelle | denatured protein | organic molecule 
5329 | rough endoplasmic reticulum | organelle | denatured protein | polymer 
5330 | rough endoplasmic reticulum | endoplasmic reticulum | denatured protein | protein 
5331 | noncompetitive inhibitor | enzyme inhibitor | helium atom | inert atom 
5332 | plant cell-wall | cellular structure | rough endoplasmic reticulum | endoplasmic reticulum 
5332 | plant cell-wall | cellular structure | rough endoplasmic reticulum | organelle 
5333 | plant cell-wall | cell wall | rough endoplasmic reticulum | endoplasmic reticulum 
5334 | peroxisome | organelle | capsule | cellular structure 
5335 | thylakoid | cellular structure | hydroxide ion | complex ion 
5335 | thylakoid | cellular structure | hydroxide ion | anion 
5336 | Light microscopy | Microscopy | Diffusion | Spontaneous change 
5337 | carrier protein | transport membrane protein | Signal transduction with testosterone | Signal transduction 
5338 | Cell signaling with G-protein coupled receptor | Cell signaling with plasma membrane receptor | Cell signaling with receptor tyrosine kinase | Cell signaling with plasma membrane receptor 
5339 | Inactivation of cAMP | Exergonic reaction | isoleucine | hydrophobic amino acid 
5339 | Inactivation of cAMP | Exergonic reaction | isoleucine | amino acid 
5340 | Inactivation of cAMP | Hydrolysis | isoleucine | hydrophobic amino acid 
5341 | coenzyme A | molecule | plastoquinone | organic molecule 
5341 | coenzyme A | molecule | plastoquinone | molecule 
5342 | coenzyme A | organic molecule | plastoquinone | organic molecule 
5343 | erythrocyte | eukaryotic cell | light | electromagnetic energy 
5343 | erythrocyte | eukaryotic cell | light | radiation 
5343 | erythrocyte | eukaryotic cell | light | energy 
5344 | erythrocyte | animal cell | light | electromagnetic energy 
5344 | erythrocyte | animal cell | light | radiation 
5345 | carbon 14 atom | isotope | protein enzyme | enzyme 
5345 | carbon 14 atom | isotope | protein enzyme | protein 
5345 | carbon 14 atom | isotope | protein enzyme | organic molecule 
5345 | carbon 14 atom | isotope | protein enzyme | polymer 
5346 | carbon 14 atom | radioactive isotope | protein enzyme | enzyme 
5346 | carbon 14 atom | radioactive isotope | protein enzyme | protein 
5347 | asparagine | hydrophilic amino acid | guanine | purine 
5347 | asparagine | hydrophilic amino acid | guanine | nitrogenous base 
5348 | asparagine | polar amino acid | guanine | purine 
5349 | ATP synthase | protein complex | DNA | nucleic acid 
5350 | channel protein | transmembrane protein | eukaryotic flagellum | flagellum 
5350 | channel protein | transmembrane protein | eukaryotic flagellum | cellular structure 
5351 | channel protein | transport membrane protein | eukaryotic flagellum | flagellum 
5352 | potassium | atom | MRNA | RNA 
5352 | potassium | atom | MRNA | nucleic acid 
5353 | leucine | amino acid | fat molecule | triglyceride 
5353 | leucine | amino acid | fat molecule | lipid 
5354 | leucine | hydrophobic amino acid | fat molecule | triglyceride 
5355 | chlorophyll | photosynthetic pigment | competitive inhibitor | enzyme inhibitor 
5356 | amino acid | organic molecule | photoautotroph | autotroph 
5357 | second electron-shell | electron-shell | hydrophilic compound | compound 
5358 | proton pump | transport membrane protein | Competitive inhibition | Inhibition 
5358 | proton pump | transport membrane protein | Competitive inhibition | Regulation 
5359 | proton pump | carrier protein | Competitive inhibition | Inhibition 
5360 | oxaloacetate | carboxylic acid | nucleic acid | organic molecule 
5360 | oxaloacetate | carboxylic acid | nucleic acid | polymer 
5361 | monomer | molecule | threonine | polar amino acid 
5362 | methane | hydrocarbon molecule | polar molecule | molecule 
5362 | methane | hydrocarbon molecule | polar molecule | hydrophilic compound 
5363 | triose | carbohydrate | antiporter | transport membrane protein 
5363 | triose | carbohydrate | antiporter | transmembrane protein 
5363 | triose | carbohydrate | antiporter | integral protein 
5364 | triose | sugar | antiporter | transport membrane protein 
5364 | triose | sugar | antiporter | transmembrane protein 
5365 | triose | monosaccharide | antiporter | transport membrane protein 
5366 | methionine | hydrophobic amino acid | Anabolism | Endergonic process 
5366 | methionine | hydrophobic amino acid | Anabolism | Metabolism 
5367 | light | electromagnetic energy | crista | cellular structure 
5368 | vesicle | cellular structure | water molecule | polar molecule 
5369 | Light reaction | Metabolic pathway | Dehydration reaction | Condensation reaction 
5370 | multiprotein complex-I | protein complex | DNA | nucleic acid 
5371 | enzyme inhibitor | inhibitor | tryptophan | hydrophobic amino acid 
5372 | oxidoreductase | protein enzyme | thylakoid electron transport chain | electron transport chain 
5373 | phosphatidylcholine | phospholipid | microtubule | cellular structure 
5374 | lipid | molecule | peroxisome | organelle 
5374 | lipid | molecule | peroxisome | cellular structure 
5375 | lipid | organic molecule | peroxisome | organelle 
5376 | polypeptide | polymer | beta sheet | secondary structure 
5377 | polypeptide | organic molecule | beta sheet | secondary structure 
5378 | symporter | transport membrane protein | Active transport using ATP | Active transport 
5379 | prokaryote | organism | cotransporter | carrier protein 
5379 | prokaryote | organism | cotransporter | transport membrane protein 
5380 | optical isomer | isomer | phosphate group | functional group 
5381 | Reversible non competitive inhibition | Non competitive inhibition | polysaccharide | carbohydrate 
5381 | Reversible non competitive inhibition | Non competitive inhibition | polysaccharide | polymer 
5382 | concentration gradient | gradient | glutamic acid | acidic amino acid 
5383 | archaea | prokaryote | Enzymatic reaction | Chemical reaction 
5384 | hydrophobic compound | compound | neutral solution | aqueous solution 
5385 | nucleic acid | polymer | multiprotein complex-II | protein complex 
5386 | nucleic acid | organic molecule | multiprotein complex-II | protein complex 
5387 | Cell communication with endocrine hormone | Cell communication | disulfide bond | single bond 
5387 | Cell communication with endocrine hormone | Cell communication | disulfide bond | nonpolar covalent bond 
5387 | Cell communication with endocrine hormone | Cell communication | disulfide bond | covalent bond 
5388 | accessory pigment | pigment | vitamin | organic molecule 
5388 | accessory pigment | pigment | vitamin | molecule 
5389 | carboxyl group | functional group | phosphate group | functional group 
5390 | adenine | nitrogenous base | Reversible non competitive inhibition | Non competitive inhibition 
5390 | adenine | nitrogenous base | Reversible non competitive inhibition | Inhibition 
5391 | adenine | purine | Reversible non competitive inhibition | Non competitive inhibition 
5392 | smooth endoplasmic reticulum | organelle | RNA | nucleic acid 
5392 | smooth endoplasmic reticulum | organelle | RNA | organic molecule 
5392 | smooth endoplasmic reticulum | organelle | RNA | polymer 
5393 | smooth endoplasmic reticulum | endoplasmic reticulum | RNA | nucleic acid 
5394 | beta glucose | molecule | glyoxysome | peroxisome 
5394 | beta glucose | molecule | glyoxysome | organelle 
5394 | beta glucose | molecule | glyoxysome | cellular structure 
5395 | beta glucose | monosaccharide | glyoxysome | peroxisome 
5395 | beta glucose | monosaccharide | glyoxysome | organelle 
5395 | beta glucose | monosaccharide | glyoxysome | cellular structure 
5396 | beta glucose | aldehyde | glyoxysome | peroxisome 
5396 | beta glucose | aldehyde | glyoxysome | organelle 
5396 | beta glucose | aldehyde | glyoxysome | cellular structure 
5397 | beta glucose | isomer | glyoxysome | peroxisome 
5397 | beta glucose | isomer | glyoxysome | organelle 
5398 | beta glucose | hexose | glyoxysome | peroxisome 
5398 | beta glucose | hexose | glyoxysome | organelle 
5399 | integrin | protein | phosphatidylcholine | phospholipid 
5399 | integrin | protein | phosphatidylcholine | lipid 
5399 | integrin | protein | phosphatidylcholine | amphipathic molecule 
5400 | integrin | integral protein | phosphatidylcholine | phospholipid 
5400 | integrin | integral protein | phosphatidylcholine | lipid 
5400 | integrin | integral protein | phosphatidylcholine | amphipathic molecule 
5401 | integrin | receptor protein | phosphatidylcholine | phospholipid 
5402 | integrin | transmembrane protein | phosphatidylcholine | phospholipid 
5403 | valence electron | electron | multiprotein complex-II | protein complex 
