3 | extra cellular matrix | motor protein | nuclear-envelope | carbon skeleton 
1312 | secondary structure | hydrogen-bond | tertiary protein structure | secondary structure 
1313 | amino group | nitrogen atom | first electron-shell | atomic nucleus 
1314 | amino group | hydrogen atom | first electron-shell | atomic nucleus 
1315 | tertiary protein structure | hydrogen-bond | secondary structure | primary structure 
1315 | tertiary protein structure | hydrogen-bond | secondary structure | hydrogen-bond 
1316 | tertiary protein structure | van der waals interaction | secondary structure | primary structure 
1316 | tertiary protein structure | van der waals interaction | secondary structure | hydrogen-bond 
1317 | tertiary protein structure | hydrophobic interaction | secondary structure | primary structure 
1317 | tertiary protein structure | hydrophobic interaction | secondary structure | hydrogen-bond 
1318 | tertiary protein structure | secondary structure | secondary structure | primary structure 
1318 | tertiary protein structure | secondary structure | secondary structure | hydrogen-bond 
1326 | hydroxyl group | hydrogen atom | second electron-shell | first electron-shell 
1327 | hydroxyl group | oxygen atom | second electron-shell | first electron-shell 
1328 | chloroplast | stroma | first electron-shell | atomic nucleus 
1333 | nuclear-envelope | carbon skeleton | first electron-shell | atomic nucleus 
1336 | methyl group | hydrogen atom | second electron-shell | first electron-shell 
1338 | secondary structure | primary structure | first electron-shell | atomic nucleus 
1339 | secondary structure | hydrogen-bond | first electron-shell | atomic nucleus 
1340 | chloroplast membrane | carbon skeleton | secondary structure | primary structure 
1340 | chloroplast membrane | carbon skeleton | secondary structure | hydrogen-bond 
1341 | chloroplast membrane | carbon skeleton | secondary structure | primary structure 
1341 | chloroplast membrane | carbon skeleton | secondary structure | hydrogen-bond 
1342 | chloroplast | stroma | nuclear-envelope | carbon skeleton 
1349 | extra cellular matrix | motor protein | first electron-shell | atomic nucleus 
1350 | extra cellular matrix | aqueous solution | first electron-shell | atomic nucleus 
1352 | thylakoid space | aqueous solution | amyloplast | starch 
1353 | thylakoid space | aqueous solution | amyloplast | starch 
1355 | second electron-shell | first electron-shell | secondary structure | primary structure 
1355 | second electron-shell | first electron-shell | secondary structure | hydrogen-bond 
1356 | hydration shell | water molecule | nuclear-envelope | carbon skeleton 
1357 | hydration shell | water molecule | nuclear-envelope | carbon skeleton 
1358 | secondary structure | primary structure | membrane | carbon skeleton 
1359 | secondary structure | hydrogen-bond | membrane | carbon skeleton 
1360 | amyloplast | starch | second electron-shell | first electron-shell 
1364 | mitochondrial matrix | aqueous solution | cisternal space | aqueous solution 
1365 | mitochondrial matrix | protein enzyme | cisternal space | aqueous solution 
1366 | mitochondrial matrix | ribosome | cisternal space | aqueous solution 
1367 | ER membrane | carbon skeleton | tertiary protein structure | hydrogen-bond 
1367 | ER membrane | carbon skeleton | tertiary protein structure | van der waals interaction 
1367 | ER membrane | carbon skeleton | tertiary protein structure | hydrophobic interaction 
1367 | ER membrane | carbon skeleton | tertiary protein structure | secondary structure 
1368 | ER membrane | cisternal space | tertiary protein structure | hydrogen-bond 
1368 | ER membrane | cisternal space | tertiary protein structure | van der waals interaction 
1368 | ER membrane | cisternal space | tertiary protein structure | hydrophobic interaction 
1368 | ER membrane | cisternal space | tertiary protein structure | secondary structure 
1369 | membrane | carbon skeleton | secondary structure | primary structure 
1369 | membrane | carbon skeleton | secondary structure | hydrogen-bond 
1371 | hydroxyl group | hydrogen atom | chloroplast | stroma 
1372 | hydroxyl group | oxygen atom | chloroplast | stroma 
1373 | chloroplast | stroma | capsule | cell wall 
1379 | capsule | cell wall | chloroplast | stroma 
1381 | hydration shell | water molecule | first electron-shell | atomic nucleus 
1382 | hydration shell | water molecule | first electron-shell | atomic nucleus 
1388 | extra cellular matrix | motor protein | thylakoid space | aqueous solution 
1388 | extra cellular matrix | motor protein | thylakoid space | aqueous solution 
1389 | extra cellular matrix | aqueous solution | thylakoid space | aqueous solution 
1389 | extra cellular matrix | aqueous solution | thylakoid space | aqueous solution 
1390 | orbital | electron | amyloplast | starch 
1391 | ER membrane | carbon skeleton | chloroplast | stroma 
1392 | ER membrane | cisternal space | chloroplast | stroma 
1394 | carbonyl group | oxygen atom | amyloplast | starch 
1399 | carbonyl group | oxygen atom | nuclear-envelope | carbon skeleton 
1401 | cisternal space | aqueous solution | second electron-shell | first electron-shell 
1404 | sulfhydryl group | sulfur atom | capsule | cell wall 
1405 | sulfhydryl group | hydrogen atom | capsule | cell wall 
1411 | atomic nucleus | proton | capsule | cell wall 
1414 | carboxyl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
1414 | carboxyl group | hydrogen atom | tertiary protein structure | van der waals interaction 
1414 | carboxyl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
1414 | carboxyl group | hydrogen atom | tertiary protein structure | secondary structure 
1415 | carboxyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
1415 | carboxyl group | oxygen atom | tertiary protein structure | van der waals interaction 
1415 | carboxyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
1415 | carboxyl group | oxygen atom | tertiary protein structure | secondary structure 
1416 | carboxyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
1416 | carboxyl group | oxygen atom | tertiary protein structure | van der waals interaction 
1416 | carboxyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
1416 | carboxyl group | oxygen atom | tertiary protein structure | secondary structure 
1417 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
1418 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
1420 | methyl group | hydrogen atom | cisternal space | aqueous solution 
1424 | orbital | electron | cisternal space | aqueous solution 
1425 | orbital | electron | amyloplast | starch 
1438 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1438 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1439 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1439 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1441 | amino group | nitrogen atom | cisternal space | aqueous solution 
1442 | amino group | hydrogen atom | cisternal space | aqueous solution 
1443 | glyoxysome | protein enzyme | secondary structure | primary structure 
1443 | glyoxysome | protein enzyme | secondary structure | hydrogen-bond 
1444 | glyoxysome | protein enzyme | secondary structure | primary structure 
1444 | glyoxysome | protein enzyme | secondary structure | hydrogen-bond 
1445 | mitochondrial matrix | aqueous solution | secondary structure | primary structure 
1445 | mitochondrial matrix | aqueous solution | secondary structure | hydrogen-bond 
1446 | mitochondrial matrix | protein enzyme | secondary structure | primary structure 
1446 | mitochondrial matrix | protein enzyme | secondary structure | hydrogen-bond 
1447 | mitochondrial matrix | ribosome | secondary structure | primary structure 
1447 | mitochondrial matrix | ribosome | secondary structure | hydrogen-bond 
1452 | capsule | cell wall | secondary structure | primary structure 
1452 | capsule | cell wall | secondary structure | hydrogen-bond 
1466 | capsule | cell wall | chloroplast | stroma 
1470 | glyoxysome | protein enzyme | second electron-shell | first electron-shell 
1471 | glyoxysome | protein enzyme | second electron-shell | first electron-shell 
1475 | membrane | carbon skeleton | cisternal space | aqueous solution 
1478 | second electron-shell | first electron-shell | membrane | carbon skeleton 
1479 | phosphate group | oxygen atom | cisternal space | aqueous solution 
1480 | phosphate group | phosphorus atom | cisternal space | aqueous solution 
1481 | phosphate group | oxygen atom | cisternal space | aqueous solution 
1487 | carbonyl group | oxygen atom | second electron-shell | first electron-shell 
1494 | hydration shell | water molecule | chloroplast | stroma 
1495 | hydration shell | water molecule | chloroplast | stroma 
1497 | mitochondrial matrix | aqueous solution | amyloplast | starch 
1498 | mitochondrial matrix | protein enzyme | amyloplast | starch 
1499 | mitochondrial matrix | ribosome | amyloplast | starch 
1501 | capsule | cell wall | chloroplast | stroma 
1503 | glyoxysome | protein enzyme | amyloplast | starch 
1504 | glyoxysome | protein enzyme | amyloplast | starch 
1505 | ER membrane | carbon skeleton | first electron-shell | atomic nucleus 
1506 | ER membrane | cisternal space | first electron-shell | atomic nucleus 
1507 | thylakoid space | aqueous solution | cisternal space | aqueous solution 
1508 | thylakoid space | aqueous solution | cisternal space | aqueous solution 
1515 | amyloplast | starch | secondary structure | primary structure 
1515 | amyloplast | starch | secondary structure | hydrogen-bond 
1516 | tertiary protein structure | hydrogen-bond | membrane | carbon skeleton 
1517 | tertiary protein structure | van der waals interaction | membrane | carbon skeleton 
1518 | tertiary protein structure | hydrophobic interaction | membrane | carbon skeleton 
1519 | tertiary protein structure | secondary structure | membrane | carbon skeleton 
1529 | peroxisome | protein enzyme | second electron-shell | first electron-shell 
1530 | peroxisome | protein enzyme | second electron-shell | first electron-shell 
1531 | hydration shell | water molecule | thylakoid space | aqueous solution 
1531 | hydration shell | water molecule | thylakoid space | aqueous solution 
1532 | hydration shell | water molecule | thylakoid space | aqueous solution 
1532 | hydration shell | water molecule | thylakoid space | aqueous solution 
1539 | amino group | nitrogen atom | chloroplast | stroma 
1540 | amino group | hydrogen atom | chloroplast | stroma 
1543 | sulfhydryl group | sulfur atom | chloroplast | stroma 
1544 | sulfhydryl group | hydrogen atom | chloroplast | stroma 
1546 | extra cellular matrix | motor protein | amyloplast | starch 
1547 | extra cellular matrix | aqueous solution | amyloplast | starch 
1554 | orbital | electron | first electron-shell | atomic nucleus 
1555 | hydration shell | water molecule | chloroplast | stroma 
1556 | hydration shell | water molecule | chloroplast | stroma 
1557 | hydroxyl group | hydrogen atom | secondary structure | primary structure 
1557 | hydroxyl group | hydrogen atom | secondary structure | hydrogen-bond 
1558 | hydroxyl group | oxygen atom | secondary structure | primary structure 
1558 | hydroxyl group | oxygen atom | secondary structure | hydrogen-bond 
1559 | orbital | electron | cisternal space | aqueous solution 
1560 | carbonyl group | oxygen atom | membrane | carbon skeleton 
1561 | atomic nucleus | proton | capsule | cell wall 
1564 | hydroxyl group | hydrogen atom | amyloplast | starch 
1565 | hydroxyl group | oxygen atom | amyloplast | starch 
1570 | sulfhydryl group | sulfur atom | capsule | cell wall 
1571 | sulfhydryl group | hydrogen atom | capsule | cell wall 
1574 | glyoxysome | protein enzyme | secondary structure | primary structure 
1574 | glyoxysome | protein enzyme | secondary structure | hydrogen-bond 
1575 | glyoxysome | protein enzyme | secondary structure | primary structure 
1575 | glyoxysome | protein enzyme | secondary structure | hydrogen-bond 
1580 | nuclear-envelope | carbon skeleton | membrane | carbon skeleton 
1585 | second electron-shell | first electron-shell | capsule | cell wall 
1587 | mitochondrial membrane | carbon skeleton | cisternal space | aqueous solution 
1588 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1588 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1589 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1589 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1591 | second electron-shell | first electron-shell | tertiary protein structure | hydrogen-bond 
1591 | second electron-shell | first electron-shell | tertiary protein structure | van der waals interaction 
1591 | second electron-shell | first electron-shell | tertiary protein structure | hydrophobic interaction 
1591 | second electron-shell | first electron-shell | tertiary protein structure | secondary structure 
1599 | ER membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
1600 | ER membrane | cisternal space | nuclear-envelope | carbon skeleton 
1607 | mitochondrial membrane | carbon skeleton | amyloplast | starch 
1608 | hydration shell | water molecule | first electron-shell | atomic nucleus 
1609 | hydration shell | water molecule | first electron-shell | atomic nucleus 
1610 | thylakoid space | aqueous solution | thylakoid space | aqueous solution 
1610 | thylakoid space | aqueous solution | thylakoid space | aqueous solution 
1611 | thylakoid space | aqueous solution | thylakoid space | aqueous solution 
1611 | thylakoid space | aqueous solution | thylakoid space | aqueous solution 
1613 | carboxyl group | hydrogen atom | second electron-shell | first electron-shell 
1614 | carboxyl group | oxygen atom | second electron-shell | first electron-shell 
1615 | carboxyl group | oxygen atom | second electron-shell | first electron-shell 
1616 | methyl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
1616 | methyl group | hydrogen atom | tertiary protein structure | van der waals interaction 
1616 | methyl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
1616 | methyl group | hydrogen atom | tertiary protein structure | secondary structure 
1617 | methyl group | hydrogen atom | cisternal space | aqueous solution 
1618 | secondary structure | primary structure | amyloplast | starch 
1619 | secondary structure | hydrogen-bond | amyloplast | starch 
1623 | mitochondrial matrix | aqueous solution | chloroplast | stroma 
1624 | mitochondrial matrix | protein enzyme | chloroplast | stroma 
1625 | mitochondrial matrix | ribosome | chloroplast | stroma 
1628 | carboxyl group | hydrogen atom | amyloplast | starch 
1629 | carboxyl group | oxygen atom | amyloplast | starch 
1630 | carboxyl group | oxygen atom | amyloplast | starch 
1632 | chloroplast | stroma | membrane | carbon skeleton 
1636 | methyl group | hydrogen atom | amyloplast | starch 
1655 | glyoxysome | protein enzyme | amyloplast | starch 
1656 | glyoxysome | protein enzyme | amyloplast | starch 
1657 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1657 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1658 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1658 | peroxisome | protein enzyme | thylakoid space | aqueous solution 
1660 | capsule | cell wall | amyloplast | starch 
1661 | chloroplast membrane | carbon skeleton | second electron-shell | first electron-shell 
1662 | chloroplast membrane | carbon skeleton | second electron-shell | first electron-shell 
1671 | leaf | oxygen molecule | first electron-shell | atomic nucleus 
1674 | glyoxysome | protein enzyme | first electron-shell | atomic nucleus 
1675 | glyoxysome | protein enzyme | first electron-shell | atomic nucleus 
1676 | secondary structure | primary structure | amyloplast | starch 
1677 | secondary structure | hydrogen-bond | amyloplast | starch 
1681 | tertiary protein structure | hydrogen-bond | nuclear-envelope | carbon skeleton 
1682 | tertiary protein structure | van der waals interaction | nuclear-envelope | carbon skeleton 
1683 | tertiary protein structure | hydrophobic interaction | nuclear-envelope | carbon skeleton 
1684 | tertiary protein structure | secondary structure | nuclear-envelope | carbon skeleton 
1685 | glyoxysome | protein enzyme | capsule | cell wall 
1686 | glyoxysome | protein enzyme | capsule | cell wall 
1687 | second electron-shell | first electron-shell | amyloplast | starch 
1688 | first electron-shell | atomic nucleus | tertiary protein structure | hydrogen-bond 
1688 | first electron-shell | atomic nucleus | tertiary protein structure | van der waals interaction 
1688 | first electron-shell | atomic nucleus | tertiary protein structure | hydrophobic interaction 
1688 | first electron-shell | atomic nucleus | tertiary protein structure | secondary structure 
1689 | glyoxysome | protein enzyme | nuclear-envelope | carbon skeleton 
1690 | glyoxysome | protein enzyme | nuclear-envelope | carbon skeleton 
1695 | first electron-shell | atomic nucleus | chloroplast | stroma 
1703 | amyloplast | starch | nuclear-envelope | carbon skeleton 
1704 | mitochondrial matrix | aqueous solution | chloroplast | stroma 
1705 | mitochondrial matrix | protein enzyme | chloroplast | stroma 
1706 | mitochondrial matrix | ribosome | chloroplast | stroma 
1707 | hydration shell | water molecule | chloroplast | stroma 
1708 | hydration shell | water molecule | chloroplast | stroma 
1713 | hydroxyl group | hydrogen atom | secondary structure | primary structure 
1713 | hydroxyl group | hydrogen atom | secondary structure | hydrogen-bond 
1714 | hydroxyl group | oxygen atom | secondary structure | primary structure 
1714 | hydroxyl group | oxygen atom | secondary structure | hydrogen-bond 
1720 | peroxisome | protein enzyme | secondary structure | primary structure 
1720 | peroxisome | protein enzyme | secondary structure | hydrogen-bond 
1721 | peroxisome | protein enzyme | secondary structure | primary structure 
1721 | peroxisome | protein enzyme | secondary structure | hydrogen-bond 
1722 | atomic nucleus | proton | first electron-shell | atomic nucleus 
1727 | chloroplast | stroma | capsule | cell wall 
1736 | extra cellular matrix | motor protein | second electron-shell | first electron-shell 
1737 | extra cellular matrix | aqueous solution | second electron-shell | first electron-shell 
1738 | extra cellular matrix | motor protein | thylakoid space | aqueous solution 
1738 | extra cellular matrix | motor protein | thylakoid space | aqueous solution 
1739 | extra cellular matrix | aqueous solution | thylakoid space | aqueous solution 
1739 | extra cellular matrix | aqueous solution | thylakoid space | aqueous solution 
1740 | thylakoid space | aqueous solution | membrane | carbon skeleton 
1741 | thylakoid space | aqueous solution | membrane | carbon skeleton 
1744 | sulfhydryl group | sulfur atom | second electron-shell | first electron-shell 
1745 | sulfhydryl group | hydrogen atom | second electron-shell | first electron-shell 
1746 | second electron-shell | first electron-shell | chloroplast | stroma 
1758 | cisternal space | aqueous solution | second electron-shell | first electron-shell 
1768 | orbital | electron | amyloplast | starch 
1769 | nucleus | nucleolus | cisternal space | aqueous solution 
1770 | leaf | oxygen molecule | nuclear-envelope | carbon skeleton 
1771 | peroxisome | protein enzyme | secondary structure | primary structure 
1771 | peroxisome | protein enzyme | secondary structure | hydrogen-bond 
1772 | peroxisome | protein enzyme | secondary structure | primary structure 
1772 | peroxisome | protein enzyme | secondary structure | hydrogen-bond 
1775 | nucleus | nucleolus | amyloplast | starch 
1779 | amino group | nitrogen atom | thylakoid space | aqueous solution 
1779 | amino group | nitrogen atom | thylakoid space | aqueous solution 
1780 | amino group | hydrogen atom | thylakoid space | aqueous solution 
1780 | amino group | hydrogen atom | thylakoid space | aqueous solution 
1785 | chloroplast membrane | carbon skeleton | capsule | cell wall 
1786 | chloroplast membrane | carbon skeleton | capsule | cell wall 
1792 | hydroxyl group | hydrogen atom | amyloplast | starch 
1793 | hydroxyl group | oxygen atom | amyloplast | starch 
1795 | capsule | cell wall | cisternal space | aqueous solution 
1799 | carboxyl group | hydrogen atom | capsule | cell wall 
1800 | carboxyl group | oxygen atom | capsule | cell wall 
1801 | carboxyl group | oxygen atom | capsule | cell wall 
1802 | cisternal space | aqueous solution | thylakoid space | aqueous solution 
1802 | cisternal space | aqueous solution | thylakoid space | aqueous solution 
1805 | extra cellular matrix | motor protein | capsule | cell wall 
1806 | extra cellular matrix | aqueous solution | capsule | cell wall 
1808 | second electron-shell | first electron-shell | amyloplast | starch 
1809 | secondary structure | primary structure | nuclear-envelope | carbon skeleton 
1810 | secondary structure | hydrogen-bond | nuclear-envelope | carbon skeleton 
1812 | sulfhydryl group | sulfur atom | membrane | carbon skeleton 
1813 | sulfhydryl group | hydrogen atom | membrane | carbon skeleton 
1814 | ER membrane | carbon skeleton | thylakoid space | aqueous solution 
1814 | ER membrane | carbon skeleton | thylakoid space | aqueous solution 
1815 | ER membrane | cisternal space | thylakoid space | aqueous solution 
1815 | ER membrane | cisternal space | thylakoid space | aqueous solution 
1818 | nucleus | nucleolus | second electron-shell | first electron-shell 
1819 | chloroplast membrane | carbon skeleton | second electron-shell | first electron-shell 
1820 | chloroplast membrane | carbon skeleton | second electron-shell | first electron-shell 
1821 | hydroxyl group | hydrogen atom | second electron-shell | first electron-shell 
1822 | hydroxyl group | oxygen atom | second electron-shell | first electron-shell 
1826 | carboxyl group | hydrogen atom | cisternal space | aqueous solution 
1827 | carboxyl group | oxygen atom | cisternal space | aqueous solution 
1828 | carboxyl group | oxygen atom | cisternal space | aqueous solution 
1829 | tertiary protein structure | hydrogen-bond | second electron-shell | first electron-shell 
1830 | tertiary protein structure | van der waals interaction | second electron-shell | first electron-shell 
1831 | tertiary protein structure | hydrophobic interaction | second electron-shell | first electron-shell 
1832 | tertiary protein structure | secondary structure | second electron-shell | first electron-shell 
1840 | atomic nucleus | proton | capsule | cell wall 
1843 | hydroxyl group | hydrogen atom | secondary structure | primary structure 
1843 | hydroxyl group | hydrogen atom | secondary structure | hydrogen-bond 
1844 | hydroxyl group | oxygen atom | secondary structure | primary structure 
1844 | hydroxyl group | oxygen atom | secondary structure | hydrogen-bond 
1850 | phosphate group | oxygen atom | chloroplast | stroma 
1851 | phosphate group | phosphorus atom | chloroplast | stroma 
1852 | phosphate group | oxygen atom | chloroplast | stroma 
1853 | amino group | nitrogen atom | tertiary protein structure | hydrogen-bond 
1853 | amino group | nitrogen atom | tertiary protein structure | van der waals interaction 
1853 | amino group | nitrogen atom | tertiary protein structure | hydrophobic interaction 
1853 | amino group | nitrogen atom | tertiary protein structure | secondary structure 
1854 | amino group | hydrogen atom | tertiary protein structure | hydrogen-bond 
1854 | amino group | hydrogen atom | tertiary protein structure | van der waals interaction 
1854 | amino group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
1854 | amino group | hydrogen atom | tertiary protein structure | secondary structure 
1855 | first electron-shell | atomic nucleus | second electron-shell | first electron-shell 
1856 | nuclear-envelope | carbon skeleton | first electron-shell | atomic nucleus 
1857 | leaf | oxygen molecule | membrane | carbon skeleton 
1861 | first electron-shell | atomic nucleus | capsule | cell wall 
1866 | first electron-shell | atomic nucleus | second electron-shell | first electron-shell 
1867 | membrane | carbon skeleton | amyloplast | starch 
1869 | phosphate group | oxygen atom | cisternal space | aqueous solution 
1870 | phosphate group | phosphorus atom | cisternal space | aqueous solution 
1871 | phosphate group | oxygen atom | cisternal space | aqueous solution 
1873 | capsule | cell wall | tertiary protein structure | hydrogen-bond 
1873 | capsule | cell wall | tertiary protein structure | van der waals interaction 
1873 | capsule | cell wall | tertiary protein structure | hydrophobic interaction 
1873 | capsule | cell wall | tertiary protein structure | secondary structure 
1874 | hydroxyl group | hydrogen atom | thylakoid space | aqueous solution 
1874 | hydroxyl group | hydrogen atom | thylakoid space | aqueous solution 
1875 | hydroxyl group | oxygen atom | thylakoid space | aqueous solution 
1875 | hydroxyl group | oxygen atom | thylakoid space | aqueous solution 
1882 | methyl group | hydrogen atom | thylakoid space | aqueous solution 
1882 | methyl group | hydrogen atom | thylakoid space | aqueous solution 
1884 | second electron-shell | first electron-shell | nuclear-envelope | carbon skeleton 
1895 | sulfhydryl group | sulfur atom | second electron-shell | first electron-shell 
1896 | sulfhydryl group | hydrogen atom | second electron-shell | first electron-shell 
1897 | secondary structure | primary structure | nuclear-envelope | carbon skeleton 
1898 | secondary structure | hydrogen-bond | nuclear-envelope | carbon skeleton 
1900 | tertiary protein structure | hydrogen-bond | chloroplast | stroma 
1901 | tertiary protein structure | van der waals interaction | chloroplast | stroma 
1902 | tertiary protein structure | hydrophobic interaction | chloroplast | stroma 
1903 | tertiary protein structure | secondary structure | chloroplast | stroma 
1905 | peroxisome | protein enzyme | nuclear-envelope | carbon skeleton 
1906 | peroxisome | protein enzyme | nuclear-envelope | carbon skeleton 
1907 | cisternal space | aqueous solution | secondary structure | primary structure 
1907 | cisternal space | aqueous solution | secondary structure | hydrogen-bond 
1918 | mitochondrial membrane | carbon skeleton | chloroplast | stroma 
1925 | second electron-shell | first electron-shell | amyloplast | starch 
1926 | atomic nucleus | proton | nuclear-envelope | carbon skeleton 
1928 | tertiary protein structure | hydrogen-bond | amyloplast | starch 
1929 | tertiary protein structure | van der waals interaction | amyloplast | starch 
1930 | tertiary protein structure | hydrophobic interaction | amyloplast | starch 
1931 | tertiary protein structure | secondary structure | amyloplast | starch 
1932 | membrane | carbon skeleton | second electron-shell | first electron-shell 
1934 | peroxisome | protein enzyme | membrane | carbon skeleton 
1935 | peroxisome | protein enzyme | membrane | carbon skeleton 
1938 | mitochondrial matrix | aqueous solution | second electron-shell | first electron-shell 
1939 | mitochondrial matrix | protein enzyme | second electron-shell | first electron-shell 
1940 | mitochondrial matrix | ribosome | second electron-shell | first electron-shell 
1945 | tertiary protein structure | hydrogen-bond | nuclear-envelope | carbon skeleton 
1946 | tertiary protein structure | van der waals interaction | nuclear-envelope | carbon skeleton 
1947 | tertiary protein structure | hydrophobic interaction | nuclear-envelope | carbon skeleton 
1948 | tertiary protein structure | secondary structure | nuclear-envelope | carbon skeleton 
1950 | peroxisome | protein enzyme | amyloplast | starch 
1951 | peroxisome | protein enzyme | amyloplast | starch 
1961 | orbital | electron | amyloplast | starch 
1967 | hydration shell | water molecule | nuclear-envelope | carbon skeleton 
1968 | hydration shell | water molecule | nuclear-envelope | carbon skeleton 
1971 | sulfhydryl group | sulfur atom | tertiary protein structure | hydrogen-bond 
1971 | sulfhydryl group | sulfur atom | tertiary protein structure | van der waals interaction 
1971 | sulfhydryl group | sulfur atom | tertiary protein structure | hydrophobic interaction 
1971 | sulfhydryl group | sulfur atom | tertiary protein structure | secondary structure 
1972 | sulfhydryl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
1972 | sulfhydryl group | hydrogen atom | tertiary protein structure | van der waals interaction 
1972 | sulfhydryl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
1972 | sulfhydryl group | hydrogen atom | tertiary protein structure | secondary structure 
1982 | methyl group | hydrogen atom | capsule | cell wall 
1983 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
1984 | chloroplast membrane | carbon skeleton | nuclear-envelope | carbon skeleton 
1992 | leaf | oxygen molecule | membrane | carbon skeleton 
1993 | leaf | oxygen molecule | nuclear-envelope | carbon skeleton 
1996 | first electron-shell | atomic nucleus | tertiary protein structure | hydrogen-bond 
1996 | first electron-shell | atomic nucleus | tertiary protein structure | van der waals interaction 
1996 | first electron-shell | atomic nucleus | tertiary protein structure | hydrophobic interaction 
1996 | first electron-shell | atomic nucleus | tertiary protein structure | secondary structure 
1997 | peroxisome | protein enzyme | capsule | cell wall 
1998 | peroxisome | protein enzyme | capsule | cell wall 
2002 | nucleus | nucleolus | secondary structure | primary structure 
2002 | nucleus | nucleolus | secondary structure | hydrogen-bond 
2012 | tertiary protein structure | hydrogen-bond | tertiary protein structure | hydrogen-bond 
2012 | tertiary protein structure | hydrogen-bond | tertiary protein structure | van der waals interaction 
2012 | tertiary protein structure | hydrogen-bond | tertiary protein structure | hydrophobic interaction 
2012 | tertiary protein structure | hydrogen-bond | tertiary protein structure | secondary structure 
2013 | tertiary protein structure | van der waals interaction | tertiary protein structure | hydrogen-bond 
2013 | tertiary protein structure | van der waals interaction | tertiary protein structure | van der waals interaction 
2013 | tertiary protein structure | van der waals interaction | tertiary protein structure | hydrophobic interaction 
2013 | tertiary protein structure | van der waals interaction | tertiary protein structure | secondary structure 
2014 | tertiary protein structure | hydrophobic interaction | tertiary protein structure | hydrogen-bond 
2014 | tertiary protein structure | hydrophobic interaction | tertiary protein structure | van der waals interaction 
2014 | tertiary protein structure | hydrophobic interaction | tertiary protein structure | hydrophobic interaction 
2014 | tertiary protein structure | hydrophobic interaction | tertiary protein structure | secondary structure 
2015 | tertiary protein structure | secondary structure | tertiary protein structure | hydrogen-bond 
2015 | tertiary protein structure | secondary structure | tertiary protein structure | van der waals interaction 
2015 | tertiary protein structure | secondary structure | tertiary protein structure | hydrophobic interaction 
2015 | tertiary protein structure | secondary structure | tertiary protein structure | secondary structure 
2022 | tertiary protein structure | hydrogen-bond | capsule | cell wall 
2023 | tertiary protein structure | van der waals interaction | capsule | cell wall 
2024 | tertiary protein structure | hydrophobic interaction | capsule | cell wall 
2025 | tertiary protein structure | secondary structure | capsule | cell wall 
2029 | nucleus | nucleolus | second electron-shell | first electron-shell 
2034 | leaf | oxygen molecule | chloroplast | stroma 
2038 | stroma | ribosome | cisternal space | aqueous solution 
2039 | stroma | protein enzyme | cisternal space | aqueous solution 
2040 | stroma | protein enzyme | cisternal space | aqueous solution 
2041 | stroma | MRNA | cisternal space | aqueous solution 
2042 | amyloplast | starch | membrane | carbon skeleton 
2056 | nucleus | nucleolus | tertiary protein structure | hydrogen-bond 
2056 | nucleus | nucleolus | tertiary protein structure | van der waals interaction 
2056 | nucleus | nucleolus | tertiary protein structure | hydrophobic interaction 
2056 | nucleus | nucleolus | tertiary protein structure | secondary structure 
2057 | carbonyl group | oxygen atom | secondary structure | primary structure 
2057 | carbonyl group | oxygen atom | secondary structure | hydrogen-bond 
2067 | phosphate group | oxygen atom | membrane | carbon skeleton 
2068 | phosphate group | phosphorus atom | membrane | carbon skeleton 
2069 | phosphate group | oxygen atom | membrane | carbon skeleton 
2070 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
2070 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
2071 | phosphate group | phosphorus atom | thylakoid space | aqueous solution 
2071 | phosphate group | phosphorus atom | thylakoid space | aqueous solution 
2072 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
2072 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
