0 | ethyl alcohol | polar covalent bond | pyruvate | kinetic energy 
3304 | rubisco | disulfide bond | monosaccharide | double bond 
3304 | rubisco | disulfide bond | monosaccharide | polar covalent bond 
3305 | carbohydrate side chain | polar covalent bond | glucose | kinetic energy 
3305 | carbohydrate side chain | polar covalent bond | glucose | double bond 
3305 | carbohydrate side chain | polar covalent bond | glucose | polar covalent bond 
3306 | carbohydrate side chain | double bond | glucose | kinetic energy 
3306 | carbohydrate side chain | double bond | glucose | double bond 
3306 | carbohydrate side chain | double bond | glucose | polar covalent bond 
3307 | carbohydrate side chain | kinetic energy | glucose | kinetic energy 
3307 | carbohydrate side chain | kinetic energy | glucose | double bond 
3307 | carbohydrate side chain | kinetic energy | glucose | polar covalent bond 
3308 | carboxylic acid | kinetic energy | asparagine | kinetic energy 
3308 | carboxylic acid | kinetic energy | asparagine | single bond 
3309 | amino acid | kinetic energy | alcohol | kinetic energy 
3309 | amino acid | kinetic energy | alcohol | polar covalent bond 
3310 | steroid | kinetic energy | glycoprotein | kinetic energy 
3311 | cytochrome | kinetic energy | 3 phosphoglycerate | kinetic energy 
3311 | cytochrome | kinetic energy | 3 phosphoglycerate | double bond 
3311 | cytochrome | kinetic energy | 3 phosphoglycerate | single bond 
3311 | cytochrome | kinetic energy | 3 phosphoglycerate | double bond 
3312 | alcohol | kinetic energy | water | potential energy 
3312 | alcohol | kinetic energy | water | hydrogen-bond 
3313 | alcohol | polar covalent bond | water | potential energy 
3313 | alcohol | polar covalent bond | water | hydrogen-bond 
3314 | GTP | kinetic energy | gated Channel | kinetic energy 
3314 | GTP | kinetic energy | gated Channel | peptide linkage 
3315 | GTP | double bond | gated Channel | kinetic energy 
3315 | GTP | double bond | gated Channel | peptide linkage 
3316 | GTP | single bond | gated Channel | kinetic energy 
3316 | GTP | single bond | gated Channel | peptide linkage 
3320 | NADP Plus | kinetic energy | DNA | phosphodiester bond 
3321 | methane | single bond | methane | single bond 
3322 | amylose | kinetic energy | microfilament | kinetic energy 
3323 | amylose | double bond | microfilament | kinetic energy 
3324 | NADPH | kinetic energy | lysosomal enzyme | kinetic energy 
3325 | lysosomal enzyme | kinetic energy | peripheral protein | kinetic energy 
3326 | atom | kinetic energy | plant cell | turgor pressure 
3327 | MRNA | phosphodiester bond | steroid | kinetic energy 
3328 | MRNA | double bond | steroid | kinetic energy 
3329 | MRNA | kinetic energy | steroid | kinetic energy 
3330 | tubulin | kinetic energy | gradient | potential energy 
3331 | ice | hydrogen-bond | hydrophobic amino acid | nonpolar covalent bond 
3332 | phospholipid | kinetic energy | NADP Plus | kinetic energy 
3333 | phospholipid | ester linkage | NADP Plus | kinetic energy 
3334 | lysosomal enzyme | kinetic energy | NADPH | kinetic energy 
3335 | saturated fatty acid | kinetic energy | polymer | covalent bond 
3336 | saturated fatty acid | single bond | polymer | covalent bond 
3337 | chemical bond | chemical energy | alpha tubulin | peptide linkage 
3337 | chemical bond | chemical energy | alpha tubulin | kinetic energy 
3338 | cellulose | double bond | pyruvate | kinetic energy 
3339 | cellulose | polar covalent bond | pyruvate | kinetic energy 
3340 | cellulose | kinetic energy | pyruvate | kinetic energy 
3341 | GTP | kinetic energy | ADP | single bond 
3341 | GTP | kinetic energy | ADP | kinetic energy 
3341 | GTP | kinetic energy | ADP | double bond 
3342 | GTP | double bond | ADP | single bond 
3342 | GTP | double bond | ADP | kinetic energy 
3342 | GTP | double bond | ADP | double bond 
3343 | GTP | single bond | ADP | single bond 
3343 | GTP | single bond | ADP | kinetic energy 
3343 | GTP | single bond | ADP | double bond 
3344 | aspartic acid | single bond | asparagine | kinetic energy 
3344 | aspartic acid | single bond | asparagine | single bond 
3345 | aspartic acid | kinetic energy | asparagine | kinetic energy 
3345 | aspartic acid | kinetic energy | asparagine | single bond 
3346 | microfibril | kinetic energy | ethyl alcohol | polar covalent bond 
3346 | microfibril | kinetic energy | ethyl alcohol | polar covalent bond 
3347 | polysaccharide | double bond | polymer | covalent bond 
3348 | polysaccharide | polar covalent bond | polymer | covalent bond 
3349 | polysaccharide | kinetic energy | polymer | covalent bond 
3350 | polysaccharide | glycosidic linkage | polymer | covalent bond 
3351 | oxidoreductase | covalent bond | amphipathic molecule | kinetic energy 
3352 | amphipathic molecule | kinetic energy | alcohol | kinetic energy 
3352 | amphipathic molecule | kinetic energy | alcohol | polar covalent bond 
3353 | MRNA | phosphodiester bond | amino acid | kinetic energy 
3354 | MRNA | double bond | amino acid | kinetic energy 
3355 | MRNA | kinetic energy | amino acid | kinetic energy 
3356 | carbon dioxide | polar covalent bond | alpha tubulin | peptide linkage 
3356 | carbon dioxide | polar covalent bond | alpha tubulin | kinetic energy 
3357 | carbon dioxide | double bond | alpha tubulin | peptide linkage 
3357 | carbon dioxide | double bond | alpha tubulin | kinetic energy 
3358 | carbohydrate | kinetic energy | integrin | kinetic energy 
3359 | carbohydrate | double bond | integrin | kinetic energy 
3360 | carbohydrate | polar covalent bond | integrin | kinetic energy 
3361 | peripheral protein | kinetic energy | saturated fatty acid | kinetic energy 
3361 | peripheral protein | kinetic energy | saturated fatty acid | single bond 
3362 | oxidoreductase | covalent bond | fatty acid | kinetic energy 
3363 | oxidoreductase | covalent bond | ribulose bisphosphate | double bond 
3363 | oxidoreductase | covalent bond | ribulose bisphosphate | polar covalent bond 
3364 | amphipathic molecule | kinetic energy | water molecule | polar covalent bond 
3364 | amphipathic molecule | kinetic energy | water molecule | polar covalent bond 
3365 | maltose | double bond | ethyl alcohol | polar covalent bond 
3365 | maltose | double bond | ethyl alcohol | polar covalent bond 
3366 | maltose | kinetic energy | ethyl alcohol | polar covalent bond 
3366 | maltose | kinetic energy | ethyl alcohol | polar covalent bond 
3367 | maltose | polar covalent bond | ethyl alcohol | polar covalent bond 
3367 | maltose | polar covalent bond | ethyl alcohol | polar covalent bond 
3368 | plastoquinone | kinetic energy | pentose | double bond 
3368 | plastoquinone | kinetic energy | pentose | polar covalent bond 
3369 | tyrosine | nonpolar covalent bond | polysaccharide | double bond 
3369 | tyrosine | nonpolar covalent bond | polysaccharide | polar covalent bond 
3369 | tyrosine | nonpolar covalent bond | polysaccharide | kinetic energy 
3369 | tyrosine | nonpolar covalent bond | polysaccharide | glycosidic linkage 
3370 | tyrosine | polar covalent bond | polysaccharide | double bond 
3370 | tyrosine | polar covalent bond | polysaccharide | polar covalent bond 
3370 | tyrosine | polar covalent bond | polysaccharide | kinetic energy 
3370 | tyrosine | polar covalent bond | polysaccharide | glycosidic linkage 
3371 | tyrosine | kinetic energy | polysaccharide | double bond 
3371 | tyrosine | kinetic energy | polysaccharide | polar covalent bond 
3371 | tyrosine | kinetic energy | polysaccharide | kinetic energy 
3371 | tyrosine | kinetic energy | polysaccharide | glycosidic linkage 
3372 | tyrosine | single bond | polysaccharide | double bond 
3372 | tyrosine | single bond | polysaccharide | polar covalent bond 
3372 | tyrosine | single bond | polysaccharide | kinetic energy 
3372 | tyrosine | single bond | polysaccharide | glycosidic linkage 
3373 | sodium chloride | ionic attraction | PGAP | double bond 
3373 | sodium chloride | ionic attraction | PGAP | single bond 
3373 | sodium chloride | ionic attraction | PGAP | double bond 
3373 | sodium chloride | ionic attraction | PGAP | kinetic energy 
3374 | lactic acid | kinetic energy | tyrosine | nonpolar covalent bond 
3374 | lactic acid | kinetic energy | tyrosine | polar covalent bond 
3374 | lactic acid | kinetic energy | tyrosine | kinetic energy 
3374 | lactic acid | kinetic energy | tyrosine | single bond 
3375 | motor protein | kinetic energy | integrin | kinetic energy 
3376 | hydrophobic substance | nonpolar covalent bond | MRNA | phosphodiester bond 
3376 | hydrophobic substance | nonpolar covalent bond | MRNA | double bond 
3376 | hydrophobic substance | nonpolar covalent bond | MRNA | kinetic energy 
3377 | water | potential energy | dynein | kinetic energy 
3378 | water | hydrogen-bond | dynein | kinetic energy 
3379 | lysosomal enzyme | kinetic energy | microfibril | kinetic energy 
3380 | fat molecule | ester linkage | cytochrome | kinetic energy 
3381 | fat molecule | chemical energy | cytochrome | kinetic energy 
3382 | atom | kinetic energy | rubisco | kinetic energy 
3382 | atom | kinetic energy | rubisco | disulfide bond 
3383 | alanine | kinetic energy | motor protein | kinetic energy 
3384 | alanine | nonpolar covalent bond | motor protein | kinetic energy 
3385 | gradient | potential energy | chlorophyll A | kinetic energy 
3385 | gradient | potential energy | chlorophyll A | single bond 
3386 | chlorophyll A | kinetic energy | unsaturated fatty acid | kinetic energy 
3387 | chlorophyll A | single bond | unsaturated fatty acid | kinetic energy 
3388 | sodium chloride | ionic attraction | beta tubulin | kinetic energy 
3388 | sodium chloride | ionic attraction | beta tubulin | peptide linkage 
3389 | carboxylic acid | kinetic energy | tyrosine | nonpolar covalent bond 
3389 | carboxylic acid | kinetic energy | tyrosine | polar covalent bond 
3389 | carboxylic acid | kinetic energy | tyrosine | kinetic energy 
3389 | carboxylic acid | kinetic energy | tyrosine | single bond 
3390 | cellulose | double bond | glycogen | polar covalent bond 
3390 | cellulose | double bond | glycogen | kinetic energy 
3391 | cellulose | polar covalent bond | glycogen | polar covalent bond 
3391 | cellulose | polar covalent bond | glycogen | kinetic energy 
3392 | cellulose | kinetic energy | glycogen | polar covalent bond 
3392 | cellulose | kinetic energy | glycogen | kinetic energy 
3393 | chlorophyll B | double bond | cellulose | double bond 
3393 | chlorophyll B | double bond | cellulose | polar covalent bond 
3393 | chlorophyll B | double bond | cellulose | kinetic energy 
3394 | chlorophyll B | kinetic energy | cellulose | double bond 
3394 | chlorophyll B | kinetic energy | cellulose | polar covalent bond 
3394 | chlorophyll B | kinetic energy | cellulose | kinetic energy 
3395 | chlorophyll B | single bond | cellulose | double bond 
3395 | chlorophyll B | single bond | cellulose | polar covalent bond 
3395 | chlorophyll B | single bond | cellulose | kinetic energy 
3396 | acetyl CoA | double bond | molecule | kinetic energy 
3396 | acetyl CoA | double bond | molecule | chemical bond 
3397 | acetyl CoA | ester linkage | molecule | kinetic energy 
3397 | acetyl CoA | ester linkage | molecule | chemical bond 
3398 | acetyl CoA | kinetic energy | molecule | kinetic energy 
3398 | acetyl CoA | kinetic energy | molecule | chemical bond 
3399 | beta tubulin | kinetic energy | ADP | single bond 
3399 | beta tubulin | kinetic energy | ADP | kinetic energy 
3399 | beta tubulin | kinetic energy | ADP | double bond 
3400 | beta tubulin | peptide linkage | ADP | single bond 
3400 | beta tubulin | peptide linkage | ADP | kinetic energy 
3400 | beta tubulin | peptide linkage | ADP | double bond 
3401 | electron | potential energy | amino acid | kinetic energy 
3402 | NADPH | kinetic energy | tyrosine | nonpolar covalent bond 
3402 | NADPH | kinetic energy | tyrosine | polar covalent bond 
3402 | NADPH | kinetic energy | tyrosine | kinetic energy 
3402 | NADPH | kinetic energy | tyrosine | single bond 
3403 | P700 | single bond | plastoquinone | kinetic energy 
3404 | disaccharide | double bond | carotenoid | chemical bond 
3405 | disaccharide | polar covalent bond | carotenoid | chemical bond 
3406 | disaccharide | kinetic energy | carotenoid | chemical bond 
3407 | disaccharide | glycosidic linkage | carotenoid | chemical bond 
3408 | water molecule | polar covalent bond | storage polysaccharide | kinetic energy 
3408 | water molecule | polar covalent bond | storage polysaccharide | polar covalent bond 
3408 | water molecule | polar covalent bond | storage polysaccharide | double bond 
3409 | water molecule | polar covalent bond | storage polysaccharide | kinetic energy 
3409 | water molecule | polar covalent bond | storage polysaccharide | polar covalent bond 
3409 | water molecule | polar covalent bond | storage polysaccharide | double bond 
3410 | oligosaccharide | double bond | glycine | nonpolar covalent bond 
3410 | oligosaccharide | double bond | glycine | kinetic energy 
3411 | oligosaccharide | polar covalent bond | glycine | nonpolar covalent bond 
3411 | oligosaccharide | polar covalent bond | glycine | kinetic energy 
3412 | oligosaccharide | glycosidic linkage | glycine | nonpolar covalent bond 
3412 | oligosaccharide | glycosidic linkage | glycine | kinetic energy 
3413 | starch | kinetic energy | triose | double bond 
3413 | starch | kinetic energy | triose | polar covalent bond 
3414 | starch | double bond | triose | double bond 
3414 | starch | double bond | triose | polar covalent bond 
3415 | pentose | double bond | nucleotide | double bond 
3415 | pentose | double bond | nucleotide | kinetic energy 
3416 | pentose | polar covalent bond | nucleotide | double bond 
3416 | pentose | polar covalent bond | nucleotide | kinetic energy 
3417 | maltose | double bond | plastoquinone | kinetic energy 
3418 | maltose | kinetic energy | plastoquinone | kinetic energy 
3419 | maltose | polar covalent bond | plastoquinone | kinetic energy 
3420 | glycoprotein | kinetic energy | transport membrane protein | kinetic energy 
3421 | amylopectin | double bond | water molecule | polar covalent bond 
3421 | amylopectin | double bond | water molecule | polar covalent bond 
3422 | gradient | potential energy | AMP | single bond 
3422 | gradient | potential energy | AMP | double bond 
3422 | gradient | potential energy | AMP | kinetic energy 
3423 | glycoprotein | kinetic energy | acidic amino acid | single bond 
3424 | carbohydrate | kinetic energy | fat molecule | ester linkage 
3424 | carbohydrate | kinetic energy | fat molecule | chemical energy 
3425 | carbohydrate | double bond | fat molecule | ester linkage 
3425 | carbohydrate | double bond | fat molecule | chemical energy 
3426 | carbohydrate | polar covalent bond | fat molecule | ester linkage 
3426 | carbohydrate | polar covalent bond | fat molecule | chemical energy 
3427 | acidic amino acid | single bond | amylopectin | double bond 
3429 | P680 | kinetic energy | steroid | kinetic energy 
3430 | P680 | single bond | steroid | kinetic energy 
3431 | chitin | double bond | FADH2 | kinetic energy 
3432 | chitin | kinetic energy | FADH2 | kinetic energy 
3433 | chitin | polar covalent bond | FADH2 | kinetic energy 
3434 | cytochrome | kinetic energy | dynein | kinetic energy 
3435 | glycogen | polar covalent bond | triose | double bond 
3435 | glycogen | polar covalent bond | triose | polar covalent bond 
3436 | glycogen | kinetic energy | triose | double bond 
3436 | glycogen | kinetic energy | triose | polar covalent bond 
3437 | plastoquinone | kinetic energy | sucrose | kinetic energy 
3437 | plastoquinone | kinetic energy | sucrose | polar covalent bond 
3437 | plastoquinone | kinetic energy | sucrose | double bond 
3438 | PEP carboxylase | kinetic energy | hydroxide ion | polar covalent bond 
3439 | PEP carboxylase | disulfide bond | hydroxide ion | polar covalent bond 
3440 | hydrophobic amino acid | nonpolar covalent bond | glucose | kinetic energy 
3440 | hydrophobic amino acid | nonpolar covalent bond | glucose | double bond 
3440 | hydrophobic amino acid | nonpolar covalent bond | glucose | polar covalent bond 
3441 | ATP synthase | kinetic energy | aldehyde | kinetic energy 
3442 | ATP synthase | peptide linkage | aldehyde | kinetic energy 
3443 | hydroxide ion | polar covalent bond | oxygen molecule | nonpolar covalent bond 
3443 | hydroxide ion | polar covalent bond | oxygen molecule | double bond 
3447 | ribulose bisphosphate | double bond | basic amino acid | single bond 
3447 | ribulose bisphosphate | double bond | basic amino acid | kinetic energy 
3448 | ribulose bisphosphate | polar covalent bond | basic amino acid | single bond 
3448 | ribulose bisphosphate | polar covalent bond | basic amino acid | kinetic energy 
3449 | acetyl CoA | double bond | peripheral protein | kinetic energy 
3450 | acetyl CoA | ester linkage | peripheral protein | kinetic energy 
3451 | acetyl CoA | kinetic energy | peripheral protein | kinetic energy 
3452 | amylopectin | double bond | alcohol | kinetic energy 
3452 | amylopectin | double bond | alcohol | polar covalent bond 
3454 | PGAP | double bond | GTP | kinetic energy 
3454 | PGAP | double bond | GTP | double bond 
3454 | PGAP | double bond | GTP | single bond 
3455 | PGAP | single bond | GTP | kinetic energy 
3455 | PGAP | single bond | GTP | double bond 
3455 | PGAP | single bond | GTP | single bond 
3456 | PGAP | double bond | GTP | kinetic energy 
3456 | PGAP | double bond | GTP | double bond 
3456 | PGAP | double bond | GTP | single bond 
3457 | PGAP | kinetic energy | GTP | kinetic energy 
3457 | PGAP | kinetic energy | GTP | double bond 
3457 | PGAP | kinetic energy | GTP | single bond 
3458 | dynein | kinetic energy | aquaporin | kinetic energy 
3459 | electron | potential energy | ATP synthase | kinetic energy 
3459 | electron | potential energy | ATP synthase | peptide linkage 
3460 | acetyl CoA | double bond | cytochrome | kinetic energy 
3461 | acetyl CoA | ester linkage | cytochrome | kinetic energy 
3462 | acetyl CoA | kinetic energy | cytochrome | kinetic energy 
3463 | pyruvate | kinetic energy | alanine | kinetic energy 
3463 | pyruvate | kinetic energy | alanine | nonpolar covalent bond 
3464 | amylopectin | double bond | PGAP | double bond 
3464 | amylopectin | double bond | PGAP | single bond 
3464 | amylopectin | double bond | PGAP | double bond 
3464 | amylopectin | double bond | PGAP | kinetic energy 
3465 | fat molecule | ester linkage | glycolipid | kinetic energy 
3466 | fat molecule | chemical energy | glycolipid | kinetic energy 
3471 | gated Channel | kinetic energy | intermediate filament | kinetic energy 
3471 | gated Channel | kinetic energy | intermediate filament | covalent bond 
3472 | gated Channel | peptide linkage | intermediate filament | kinetic energy 
3472 | gated Channel | peptide linkage | intermediate filament | covalent bond 
3473 | alanine | kinetic energy | dynein | kinetic energy 
3474 | alanine | nonpolar covalent bond | dynein | kinetic energy 
3475 | chlorophyll B | double bond | integral protein | kinetic energy 
3476 | chlorophyll B | kinetic energy | integral protein | kinetic energy 
3477 | chlorophyll B | single bond | integral protein | kinetic energy 
3478 | carbohydrate | kinetic energy | fatty acid | kinetic energy 
3479 | carbohydrate | double bond | fatty acid | kinetic energy 
3480 | carbohydrate | polar covalent bond | fatty acid | kinetic energy 
3481 | carotenoid | chemical bond | fat molecule | ester linkage 
3481 | carotenoid | chemical bond | fat molecule | chemical energy 
3482 | aspartic acid | single bond | PEP carboxylase | kinetic energy 
3482 | aspartic acid | single bond | PEP carboxylase | disulfide bond 
3483 | aspartic acid | kinetic energy | PEP carboxylase | kinetic energy 
3483 | aspartic acid | kinetic energy | PEP carboxylase | disulfide bond 
3484 | molecule | kinetic energy | water molecule | polar covalent bond 
3484 | molecule | kinetic energy | water molecule | polar covalent bond 
3485 | molecule | chemical bond | water molecule | polar covalent bond 
3485 | molecule | chemical bond | water molecule | polar covalent bond 
3486 | glycolipid | kinetic energy | sucrose | kinetic energy 
3486 | glycolipid | kinetic energy | sucrose | polar covalent bond 
3486 | glycolipid | kinetic energy | sucrose | double bond 
3487 | FADH2 | kinetic energy | phosphofructokinase | covalent bond 
3487 | FADH2 | kinetic energy | phosphofructokinase | kinetic energy 
3488 | lysosomal enzyme | kinetic energy | molecule | kinetic energy 
3488 | lysosomal enzyme | kinetic energy | molecule | chemical bond 
3489 | RNA | phosphodiester bond | acidic amino acid | single bond 
3490 | intermediate filament | kinetic energy | glucose-6-phosphate | double bond 
3490 | intermediate filament | kinetic energy | glucose-6-phosphate | single bond 
3490 | intermediate filament | kinetic energy | glucose-6-phosphate | polar covalent bond 
3490 | intermediate filament | kinetic energy | glucose-6-phosphate | kinetic energy 
3491 | intermediate filament | covalent bond | glucose-6-phosphate | double bond 
3491 | intermediate filament | covalent bond | glucose-6-phosphate | single bond 
3491 | intermediate filament | covalent bond | glucose-6-phosphate | polar covalent bond 
3491 | intermediate filament | covalent bond | glucose-6-phosphate | kinetic energy 
3492 | amino acid | kinetic energy | ice | hydrogen-bond 
3493 | nonpolar molecule | covalent bond | water molecule | polar covalent bond 
3493 | nonpolar molecule | covalent bond | water molecule | polar covalent bond 
3494 | amylose | kinetic energy | sodium-potassium pump | kinetic energy 
3494 | amylose | kinetic energy | sodium-potassium pump | double bond 
3494 | amylose | kinetic energy | sodium-potassium pump | single bond 
3494 | amylose | kinetic energy | sodium-potassium pump | peptide linkage 
3495 | amylose | double bond | sodium-potassium pump | kinetic energy 
3495 | amylose | double bond | sodium-potassium pump | double bond 
3495 | amylose | double bond | sodium-potassium pump | single bond 
3495 | amylose | double bond | sodium-potassium pump | peptide linkage 
3496 | transport membrane protein | kinetic energy | microfilament | kinetic energy 
3497 | aquaporin | kinetic energy | fat molecule | ester linkage 
3497 | aquaporin | kinetic energy | fat molecule | chemical energy 
3498 | atom | kinetic energy | glucose-6-phosphate | double bond 
3498 | atom | kinetic energy | glucose-6-phosphate | single bond 
3498 | atom | kinetic energy | glucose-6-phosphate | polar covalent bond 
3498 | atom | kinetic energy | glucose-6-phosphate | kinetic energy 
3499 | microfibril | kinetic energy | cellulose | double bond 
3499 | microfibril | kinetic energy | cellulose | polar covalent bond 
3499 | microfibril | kinetic energy | cellulose | kinetic energy 
3500 | chlorophyll A | kinetic energy | glycolipid | kinetic energy 
3501 | chlorophyll A | single bond | glycolipid | kinetic energy 
3502 | sodium-potassium pump | kinetic energy | microfibril | kinetic energy 
3503 | sodium-potassium pump | double bond | microfibril | kinetic energy 
3504 | sodium-potassium pump | single bond | microfibril | kinetic energy 
3505 | sodium-potassium pump | peptide linkage | microfibril | kinetic energy 
3510 | steroid | kinetic energy | oxidoreductase | covalent bond 
3511 | transport membrane protein | kinetic energy | hydrophobic amino acid | nonpolar covalent bond 
3512 | triose | double bond | ethyl alcohol | polar covalent bond 
3512 | triose | double bond | ethyl alcohol | polar covalent bond 
3513 | triose | polar covalent bond | ethyl alcohol | polar covalent bond 
3513 | triose | polar covalent bond | ethyl alcohol | polar covalent bond 
3514 | GTP | kinetic energy | tyrosine | nonpolar covalent bond 
3514 | GTP | kinetic energy | tyrosine | polar covalent bond 
3514 | GTP | kinetic energy | tyrosine | kinetic energy 
3514 | GTP | kinetic energy | tyrosine | single bond 
3515 | GTP | double bond | tyrosine | nonpolar covalent bond 
3515 | GTP | double bond | tyrosine | polar covalent bond 
3515 | GTP | double bond | tyrosine | kinetic energy 
3515 | GTP | double bond | tyrosine | single bond 
3516 | GTP | single bond | tyrosine | nonpolar covalent bond 
3516 | GTP | single bond | tyrosine | polar covalent bond 
3516 | GTP | single bond | tyrosine | kinetic energy 
3516 | GTP | single bond | tyrosine | single bond 
3517 | proline | single bond | hydrophobic amino acid | nonpolar covalent bond 
3518 | proline | single bond | FADH2 | kinetic energy 
3519 | chlorophyll A | kinetic energy | hexose | polar covalent bond 
3519 | chlorophyll A | kinetic energy | hexose | double bond 
3520 | chlorophyll A | single bond | hexose | polar covalent bond 
3520 | chlorophyll A | single bond | hexose | double bond 
3521 | saturated fatty acid | kinetic energy | coenzyme A | kinetic energy 
3522 | saturated fatty acid | single bond | coenzyme A | kinetic energy 
3523 | AMP | single bond | hydrophobic substance | nonpolar covalent bond 
3524 | AMP | double bond | hydrophobic substance | nonpolar covalent bond 
3525 | AMP | kinetic energy | hydrophobic substance | nonpolar covalent bond 
3526 | nonpolar molecule | covalent bond | PEP carboxylase | kinetic energy 
3526 | nonpolar molecule | covalent bond | PEP carboxylase | disulfide bond 
3527 | acetyl CoA | double bond | acetyl CoA | double bond 
3527 | acetyl CoA | double bond | acetyl CoA | ester linkage 
3527 | acetyl CoA | double bond | acetyl CoA | kinetic energy 
3528 | acetyl CoA | ester linkage | acetyl CoA | double bond 
3528 | acetyl CoA | ester linkage | acetyl CoA | ester linkage 
3528 | acetyl CoA | ester linkage | acetyl CoA | kinetic energy 
3529 | acetyl CoA | kinetic energy | acetyl CoA | double bond 
3529 | acetyl CoA | kinetic energy | acetyl CoA | ester linkage 
3529 | acetyl CoA | kinetic energy | acetyl CoA | kinetic energy 
3530 | lactic acid | kinetic energy | NADPH | kinetic energy 
3531 | oxygen molecule | nonpolar covalent bond | intermediate filament | kinetic energy 
3531 | oxygen molecule | nonpolar covalent bond | intermediate filament | covalent bond 
3532 | oxygen molecule | double bond | intermediate filament | kinetic energy 
3532 | oxygen molecule | double bond | intermediate filament | covalent bond 
3533 | lactic acid | kinetic energy | transport membrane protein | kinetic energy 
3534 | fat molecule | ester linkage | integral protein | kinetic energy 
3535 | fat molecule | chemical energy | integral protein | kinetic energy 
3536 | gated Channel | kinetic energy | PEP carboxylase | kinetic energy 
3536 | gated Channel | kinetic energy | PEP carboxylase | disulfide bond 
3537 | gated Channel | peptide linkage | PEP carboxylase | kinetic energy 
3537 | gated Channel | peptide linkage | PEP carboxylase | disulfide bond 
3538 | amino acid | kinetic energy | hydrophobic amino acid | nonpolar covalent bond 
3539 | carbohydrate side chain | polar covalent bond | glycine | nonpolar covalent bond 
3539 | carbohydrate side chain | polar covalent bond | glycine | kinetic energy 
3540 | carbohydrate side chain | double bond | glycine | nonpolar covalent bond 
3540 | carbohydrate side chain | double bond | glycine | kinetic energy 
3541 | carbohydrate side chain | kinetic energy | glycine | nonpolar covalent bond 
3541 | carbohydrate side chain | kinetic energy | glycine | kinetic energy 
3542 | lysosomal enzyme | kinetic energy | nonpolar molecule | covalent bond 
3543 | pyruvate | kinetic energy | dynein | kinetic energy 
3544 | glycolipid | kinetic energy | fatty acid | kinetic energy 
3545 | proton pump | single bond | hydroxide ion | polar covalent bond 
3546 | proton pump | double bond | hydroxide ion | polar covalent bond 
3547 | proton pump | kinetic energy | hydroxide ion | polar covalent bond 
3548 | proton pump | peptide linkage | hydroxide ion | polar covalent bond 
3549 | P680 | kinetic energy | carbohydrate | kinetic energy 
3549 | P680 | kinetic energy | carbohydrate | double bond 
3549 | P680 | kinetic energy | carbohydrate | polar covalent bond 
3550 | P680 | single bond | carbohydrate | kinetic energy 
3550 | P680 | single bond | carbohydrate | double bond 
3550 | P680 | single bond | carbohydrate | polar covalent bond 
3551 | microfilament | kinetic energy | amphipathic molecule | kinetic energy 
3553 | monosaccharide | double bond | dynein | kinetic energy 
3554 | monosaccharide | polar covalent bond | dynein | kinetic energy 
3555 | RNA | phosphodiester bond | glucose | kinetic energy 
3555 | RNA | phosphodiester bond | glucose | double bond 
3555 | RNA | phosphodiester bond | glucose | polar covalent bond 
3556 | gated Channel | kinetic energy | cellulose | double bond 
3556 | gated Channel | kinetic energy | cellulose | polar covalent bond 
3556 | gated Channel | kinetic energy | cellulose | kinetic energy 
3557 | gated Channel | peptide linkage | cellulose | double bond 
3557 | gated Channel | peptide linkage | cellulose | polar covalent bond 
3557 | gated Channel | peptide linkage | cellulose | kinetic energy 
3558 | polypeptide | peptide linkage | atom | kinetic energy 
3559 | carrier protein | kinetic energy | DNA | phosphodiester bond 
3560 | carrier protein | peptide linkage | DNA | phosphodiester bond 
3561 | proton pump | single bond | PGAP | double bond 
3561 | proton pump | single bond | PGAP | single bond 
3561 | proton pump | single bond | PGAP | double bond 
3561 | proton pump | single bond | PGAP | kinetic energy 
3562 | proton pump | double bond | PGAP | double bond 
3562 | proton pump | double bond | PGAP | single bond 
3562 | proton pump | double bond | PGAP | double bond 
3562 | proton pump | double bond | PGAP | kinetic energy 
3563 | proton pump | kinetic energy | PGAP | double bond 
3563 | proton pump | kinetic energy | PGAP | single bond 
3563 | proton pump | kinetic energy | PGAP | double bond 
3563 | proton pump | kinetic energy | PGAP | kinetic energy 
3564 | proton pump | peptide linkage | PGAP | double bond 
3564 | proton pump | peptide linkage | PGAP | single bond 
3564 | proton pump | peptide linkage | PGAP | double bond 
3564 | proton pump | peptide linkage | PGAP | kinetic energy 
3565 | ketone | kinetic energy | MRNA | phosphodiester bond 
3565 | ketone | kinetic energy | MRNA | double bond 
3565 | ketone | kinetic energy | MRNA | kinetic energy 
3566 | ketone | double bond | MRNA | phosphodiester bond 
3566 | ketone | double bond | MRNA | double bond 
3566 | ketone | double bond | MRNA | kinetic energy 
3567 | coenzyme A | kinetic energy | polysaccharide | double bond 
3567 | coenzyme A | kinetic energy | polysaccharide | polar covalent bond 
3567 | coenzyme A | kinetic energy | polysaccharide | kinetic energy 
3567 | coenzyme A | kinetic energy | polysaccharide | glycosidic linkage 
3568 | protein | peptide linkage | glucose-6-phosphate | double bond 
3568 | protein | peptide linkage | glucose-6-phosphate | single bond 
3568 | protein | peptide linkage | glucose-6-phosphate | polar covalent bond 
3568 | protein | peptide linkage | glucose-6-phosphate | kinetic energy 
3569 | peripheral protein | kinetic energy | pentose | double bond 
3569 | peripheral protein | kinetic energy | pentose | polar covalent bond 
3570 | monosaccharide | double bond | gated Channel | kinetic energy 
3570 | monosaccharide | double bond | gated Channel | peptide linkage 
