0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1044 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1045 | carrier protein | phospholipid bilayer | hydration shell | water 
1046 | desmosome | phospholipid bilayer | hydration shell | water 
1047 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1048 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
1049 | hydration shell | water | gated Channel | phospholipid bilayer 
1050 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
1051 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
1052 | stroma | chloroplast | microfibril | transport vesicle 
1053 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
1054 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
1055 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1056 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1057 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
1058 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1059 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
1060 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
1061 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
1062 | tight junction | phospholipid bilayer | stroma | chloroplast 
1063 | aquaporin | phospholipid bilayer | stroma | chloroplast 
1064 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
1065 | carrier protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1066 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1067 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
1068 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
1069 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
1070 | hydration shell | water | tight junction | phospholipid bilayer 
1071 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
1072 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
1073 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
1074 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
1075 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
1076 | carrier protein | phospholipid bilayer | proton pump | phospholipid bilayer 
1077 | proton pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
1078 | integrin | phospholipid bilayer | desmosome | phospholipid bilayer 
1079 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
1080 | aquaporin | phospholipid bilayer | gated Channel | phospholipid bilayer 
1081 | integrin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1082 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
1083 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1084 | hydration shell | water | integrin | phospholipid bilayer 
1085 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
1086 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
1087 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
1088 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
1089 | stroma | chloroplast | desmosome | phospholipid bilayer 
1090 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
1091 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
1092 | sodium-potassium pump | phospholipid bilayer | integrin | phospholipid bilayer 
1093 | stroma | chloroplast | integral protein | phospholipid bilayer 
1094 | hydration shell | water | hydration shell | water 
1095 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1096 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
1097 | sodium-potassium pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
1098 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1099 | stroma | chloroplast | desmosome | phospholipid bilayer 
1100 | hydration shell | water | ATP synthase | phospholipid bilayer 
1101 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
1102 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
1103 | microfibril | transport vesicle | microfibril | transport vesicle 
1104 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
1105 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
1106 | integrin | phospholipid bilayer | aquaporin | phospholipid bilayer 
1107 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
1108 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1109 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
1110 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
1111 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1112 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
1113 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1114 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
1115 | proton pump | phospholipid bilayer | integrin | phospholipid bilayer 
1116 | hydration shell | water | desmosome | phospholipid bilayer 
1117 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
1118 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
1119 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
1120 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
1121 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
1122 | aquaporin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1123 | hydration shell | water | stroma | chloroplast 
1124 | desmosome | phospholipid bilayer | stroma | chloroplast 
1125 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
1126 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
1127 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
1128 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
1129 | aquaporin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1130 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
1131 | carrier protein | phospholipid bilayer | hydration shell | water 
1132 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1133 | integral protein | phospholipid bilayer | stroma | chloroplast 
1134 | tight junction | phospholipid bilayer | stroma | chloroplast 
1135 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
1136 | aquaporin | phospholipid bilayer | hydration shell | water 
1137 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
1138 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1139 | proton pump | phospholipid bilayer | desmosome | phospholipid bilayer 
1140 | stroma | chloroplast | integral protein | phospholipid bilayer 
1141 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
1142 | aquaporin | phospholipid bilayer | carrier protein | phospholipid bilayer 
1143 | stroma | chloroplast | gated Channel | phospholipid bilayer 
1144 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
1145 | carrier protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1146 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
1147 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
1148 | hydration shell | water | carrier protein | phospholipid bilayer 
1149 | proton pump | phospholipid bilayer | integrin | phospholipid bilayer 
1150 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1151 | microfibril | transport vesicle | gated Channel | phospholipid bilayer 
1152 | aquaporin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1153 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
1154 | tight junction | phospholipid bilayer | stroma | chloroplast 
1155 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
1156 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1157 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
1158 | integral protein | phospholipid bilayer | stroma | chloroplast 
1159 | cytoplasmic protein kinase | cytoplasm | ATP synthase | phospholipid bilayer 
1160 | stroma | chloroplast | desmosome | phospholipid bilayer 
1161 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
1162 | stroma | chloroplast | microfibril | transport vesicle 
1163 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
1164 | hydration shell | water | carrier protein | phospholipid bilayer 
1165 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
1166 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1167 | integrin | phospholipid bilayer | hydration shell | water 
1168 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1169 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
1170 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
1171 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1172 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
1173 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
1174 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1175 | stroma | chloroplast | microfibril | transport vesicle 
1176 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1177 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
1178 | carrier protein | phospholipid bilayer | desmosome | phospholipid bilayer 
1179 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
1180 | integrin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1181 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
1182 | hydration shell | water | tight junction | phospholipid bilayer 
1183 | transport membrane protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
1184 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
1185 | tight junction | phospholipid bilayer | stroma | chloroplast 
1186 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1187 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
1188 | tight junction | phospholipid bilayer | hydration shell | water 
1189 | carrier protein | phospholipid bilayer | stroma | chloroplast 
1190 | transport membrane protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1191 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
1192 | integrin | phospholipid bilayer | tight junction | phospholipid bilayer 
1193 | integral protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1194 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
1195 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1196 | microfibril | transport vesicle | stroma | chloroplast 
1197 | integrin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1198 | gated Channel | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1199 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1200 | integral protein | phospholipid bilayer | hydration shell | water 
1201 | stroma | chloroplast | hydration shell | water 
1202 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
1203 | stroma | chloroplast | stroma | chloroplast 
1204 | integrin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1205 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1206 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1207 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1208 | stroma | chloroplast | hydration shell | water 
1209 | carrier protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1210 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
1211 | carrier protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
1212 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
1213 | hydration shell | water | desmosome | phospholipid bilayer 
1214 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1215 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
1216 | hydration shell | water | transport membrane protein | phospholipid bilayer 
1217 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
1218 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
1219 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
1220 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
1221 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
1222 | hydration shell | water | ATP synthase | phospholipid bilayer 
1223 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
1224 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1225 | desmosome | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1226 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
1227 | proton pump | phospholipid bilayer | integral protein | phospholipid bilayer 
1228 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
1229 | sodium-potassium pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1230 | proton pump | phospholipid bilayer | integral protein | phospholipid bilayer 
1231 | integrin | phospholipid bilayer | gated Channel | phospholipid bilayer 
1232 | integrin | phospholipid bilayer | stroma | chloroplast 
1233 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
1234 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
1235 | hydration shell | water | tight junction | phospholipid bilayer 
1236 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
1237 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
1238 | carrier protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1239 | stroma | chloroplast | integrin | phospholipid bilayer 
1240 | integrin | phospholipid bilayer | hydration shell | water 
1241 | sodium-potassium pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
1242 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
1243 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
1244 | hydration shell | water | cytoplasmic protein kinase | cytoplasm 
1245 | carrier protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
1246 | stroma | chloroplast | stroma | chloroplast 
1247 | stroma | chloroplast | hydration shell | water 
1248 | integrin | phospholipid bilayer | stroma | chloroplast 
1249 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
1250 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
1251 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
1252 | stroma | chloroplast | desmosome | phospholipid bilayer 
1253 | tight junction | phospholipid bilayer | proton pump | phospholipid bilayer 
1254 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
1255 | desmosome | phospholipid bilayer | aquaporin | phospholipid bilayer 
1256 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
1257 | carrier protein | phospholipid bilayer | hydration shell | water 
1258 | hydration shell | water | gated Channel | phospholipid bilayer 
1259 | desmosome | phospholipid bilayer | integrin | phospholipid bilayer 
1260 | tight junction | phospholipid bilayer | carrier protein | phospholipid bilayer 
1261 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
1262 | integral protein | phospholipid bilayer | microfibril | transport vesicle 
1263 | transport membrane protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
1264 | hydration shell | water | integral protein | phospholipid bilayer 
1265 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
1266 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
1267 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
1268 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
1269 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
1270 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
1271 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
1272 | stroma | chloroplast | tight junction | phospholipid bilayer 
1273 | integral protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1274 | hydration shell | water | stroma | chloroplast 
1275 | tight junction | phospholipid bilayer | hydration shell | water 
1276 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1277 | carrier protein | phospholipid bilayer | hydration shell | water 
1278 | integrin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1279 | integral protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1280 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
1281 | stroma | chloroplast | gated Channel | phospholipid bilayer 
1282 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
1283 | gated Channel | phospholipid bilayer | hydration shell | water 
1284 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
1285 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1286 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
1287 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
1288 | sodium-potassium pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1289 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
1290 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
1291 | carrier protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1292 | hydration shell | water | tight junction | phospholipid bilayer 
1293 | gated Channel | phospholipid bilayer | stroma | chloroplast 
1294 | integrin | phospholipid bilayer | microfibril | transport vesicle 
1295 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
1296 | sodium-potassium pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1297 | microfibril | transport vesicle | stroma | chloroplast 
1298 | hydration shell | water | transport membrane protein | phospholipid bilayer 
1299 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
1300 | hydration shell | water | desmosome | phospholipid bilayer 
1301 | proton pump | phospholipid bilayer | integral protein | phospholipid bilayer 
1302 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
1303 | integral protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1304 | transport membrane protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1305 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1306 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
1307 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
1308 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
1309 | proton pump | phospholipid bilayer | integrin | phospholipid bilayer 
1310 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
1311 | proton pump | phospholipid bilayer | integrin | phospholipid bilayer 
1312 | hydration shell | water | carrier protein | phospholipid bilayer 
1313 | microfibril | transport vesicle | carrier protein | phospholipid bilayer 
1314 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1315 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
1316 | carrier protein | phospholipid bilayer | microfibril | transport vesicle 
1317 | sodium-potassium pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1318 | hydration shell | water | hydration shell | water 
1319 | cytoplasmic protein kinase | cytoplasm | hydration shell | water 
1320 | hydration shell | water | ATP synthase | phospholipid bilayer 
1321 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
1322 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
1323 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1324 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
1325 | carrier protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1326 | integrin | phospholipid bilayer | stroma | chloroplast 
1327 | ATP synthase | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1328 | integral protein | phospholipid bilayer | stroma | chloroplast 
1329 | integral protein | phospholipid bilayer | integrin | phospholipid bilayer 
1330 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
1331 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1332 | carrier protein | phospholipid bilayer | desmosome | phospholipid bilayer 
1333 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
1334 | stroma | chloroplast | hydration shell | water 
1335 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
1336 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
1337 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1338 | integral protein | phospholipid bilayer | integrin | phospholipid bilayer 
1339 | hydration shell | water | carrier protein | phospholipid bilayer 
1340 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
1341 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
1342 | integral protein | phospholipid bilayer | integrin | phospholipid bilayer 
1343 | integral protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
1344 | integral protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1345 | aquaporin | phospholipid bilayer | hydration shell | water 
1346 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
1347 | stroma | chloroplast | tight junction | phospholipid bilayer 
1348 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1349 | integrin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1350 | hydration shell | water | gated Channel | phospholipid bilayer 
1351 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1352 | transport membrane protein | phospholipid bilayer | stroma | chloroplast 
1353 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1354 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
1355 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
1356 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1357 | hydration shell | water | microfibril | transport vesicle 
1358 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
1359 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
1360 | integrin | phospholipid bilayer | gated Channel | phospholipid bilayer 
1361 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1362 | gated Channel | phospholipid bilayer | aquaporin | phospholipid bilayer 
1363 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1364 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
1365 | stroma | chloroplast | aquaporin | phospholipid bilayer 
1366 | stroma | chloroplast | gated Channel | phospholipid bilayer 
1367 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
1368 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1369 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1370 | hydration shell | water | aquaporin | phospholipid bilayer 
1371 | stroma | chloroplast | aquaporin | phospholipid bilayer 
1372 | stroma | chloroplast | stroma | chloroplast 
1373 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
1374 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
1375 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
1376 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1377 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
1378 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
1379 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
1380 | carrier protein | phospholipid bilayer | stroma | chloroplast 
1381 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
1382 | stroma | chloroplast | stroma | chloroplast 
1383 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1384 | integrin | phospholipid bilayer | aquaporin | phospholipid bilayer 
1385 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
1386 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
1387 | desmosome | phospholipid bilayer | stroma | chloroplast 
1388 | desmosome | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1389 | tight junction | phospholipid bilayer | desmosome | phospholipid bilayer 
1390 | tight junction | phospholipid bilayer | proton pump | phospholipid bilayer 
1391 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1392 | proton pump | phospholipid bilayer | proton pump | phospholipid bilayer 
1393 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
1394 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
1395 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
1396 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
1397 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1398 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1399 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
1400 | proton pump | phospholipid bilayer | stroma | chloroplast 
1401 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
1402 | integrin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1403 | stroma | chloroplast | gated Channel | phospholipid bilayer 
1404 | integral protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1405 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
1406 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
1407 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
1408 | proton pump | phospholipid bilayer | proton pump | phospholipid bilayer 
1409 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
1410 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
1411 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
1412 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
1413 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
1414 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
1415 | stroma | chloroplast | carrier protein | phospholipid bilayer 
1416 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1417 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
1418 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
1419 | desmosome | phospholipid bilayer | integral protein | phospholipid bilayer 
1420 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
1421 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
1422 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1423 | ATP synthase | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1424 | integral protein | phospholipid bilayer | stroma | chloroplast 
1425 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
1426 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1427 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1428 | gated Channel | phospholipid bilayer | integral protein | phospholipid bilayer 
1429 | microfibril | transport vesicle | hydration shell | water 
1430 | sodium-potassium pump | phospholipid bilayer | integrin | phospholipid bilayer 
1431 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
1432 | transport membrane protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
1433 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
1434 | hydration shell | water | ATP synthase | phospholipid bilayer 
1435 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1436 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1437 | hydration shell | water | aquaporin | phospholipid bilayer 
1438 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1439 | integral protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1440 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
1441 | hydration shell | water | aquaporin | phospholipid bilayer 
1442 | integral protein | phospholipid bilayer | integrin | phospholipid bilayer 
1443 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
