0 | NADP Plus | carbon skeleton | enzyme | active site 
2362 | amino acid | carbon skeleton | coenzyme A | sulfhydryl group 
2363 | amino acid | carboxyl group | coenzyme A | carbon skeleton 
2363 | amino acid | carboxyl group | coenzyme A | sulfhydryl group 
2364 | amino acid | amino group | coenzyme A | carbon skeleton 
2364 | amino acid | amino group | coenzyme A | sulfhydryl group 
2365 | amino acid | R-group | coenzyme A | carbon skeleton 
2365 | amino acid | R-group | coenzyme A | sulfhydryl group 
2381 | fatty acid | carbon skeleton | carbon atom | atomic nucleus 
2382 | fatty acid | carboxyl group | carbon atom | atomic nucleus 
2388 | microfibril | carbon skeleton | coenzyme A | carbon skeleton 
2388 | microfibril | carbon skeleton | coenzyme A | sulfhydryl group 
2389 | sulfur atom | atomic nucleus | glycogen | carbonyl group 
2389 | sulfur atom | atomic nucleus | glycogen | hydroxyl group 
2389 | sulfur atom | atomic nucleus | glycogen | carbon skeleton 
2391 | chloroplast membrane | intermembrane space | smooth endoplasmic reticulum | cisternal space 
2398 | carrier protein | carbon skeleton | lactic acid | carbon skeleton 
2398 | carrier protein | carbon skeleton | lactic acid | carboxyl group 
2398 | carrier protein | carbon skeleton | lactic acid | hydroxyl group 
2399 | 3 phosphoglycerate | carbon skeleton | ribulose bisphosphate | carbon skeleton 
2399 | 3 phosphoglycerate | carbon skeleton | ribulose bisphosphate | hydroxyl group 
2399 | 3 phosphoglycerate | carbon skeleton | ribulose bisphosphate | carbonyl group 
2399 | 3 phosphoglycerate | carbon skeleton | ribulose bisphosphate | phosphate group 
2400 | 3 phosphoglycerate | phosphate group | ribulose bisphosphate | carbon skeleton 
2400 | 3 phosphoglycerate | phosphate group | ribulose bisphosphate | hydroxyl group 
2400 | 3 phosphoglycerate | phosphate group | ribulose bisphosphate | carbonyl group 
2400 | 3 phosphoglycerate | phosphate group | ribulose bisphosphate | phosphate group 
2401 | 3 phosphoglycerate | carboxyl group | ribulose bisphosphate | carbon skeleton 
2401 | 3 phosphoglycerate | carboxyl group | ribulose bisphosphate | hydroxyl group 
2401 | 3 phosphoglycerate | carboxyl group | ribulose bisphosphate | carbonyl group 
2401 | 3 phosphoglycerate | carboxyl group | ribulose bisphosphate | phosphate group 
2418 | plastoquinone | carbon skeleton | polysaccharide | hydroxyl group 
2418 | plastoquinone | carbon skeleton | polysaccharide | carbonyl group 
2418 | plastoquinone | carbon skeleton | polysaccharide | carbon skeleton 
2419 | alcohol | carbon skeleton | rough endoplasmic reticulum | cisternal space 
2420 | alcohol | hydroxyl group | rough endoplasmic reticulum | cisternal space 
2426 | motor protein | carbon skeleton | ketone | carbonyl group 
2426 | motor protein | carbon skeleton | ketone | carbon skeleton 
2427 | PEP carboxylase | active site | ketone | carbonyl group 
2427 | PEP carboxylase | active site | ketone | carbon skeleton 
2428 | PEP carboxylase | carbon skeleton | ketone | carbonyl group 
2428 | PEP carboxylase | carbon skeleton | ketone | carbon skeleton 
2429 | triose | hydroxyl group | ketone | carbonyl group 
2429 | triose | hydroxyl group | ketone | carbon skeleton 
2430 | triose | carbonyl group | ketone | carbonyl group 
2430 | triose | carbonyl group | ketone | carbon skeleton 
2431 | triose | carbon skeleton | ketone | carbonyl group 
2431 | triose | carbon skeleton | ketone | carbon skeleton 
2438 | prokaryote | nucleoid | hexose | hydroxyl group 
2438 | prokaryote | nucleoid | hexose | carbonyl group 
2438 | prokaryote | nucleoid | hexose | carbon skeleton 
2447 | disaccharide | carbon skeleton | amine | amino group 
2448 | disaccharide | carbonyl group | amine | amino group 
2449 | disaccharide | hydroxyl group | amine | amino group 
2453 | ethyl alcohol | carbon skeleton | amino acid | carbon skeleton 
2453 | ethyl alcohol | carbon skeleton | amino acid | carboxyl group 
2453 | ethyl alcohol | carbon skeleton | amino acid | amino group 
2453 | ethyl alcohol | carbon skeleton | amino acid | R-group 
2454 | ethyl alcohol | hydroxyl group | amino acid | carbon skeleton 
2454 | ethyl alcohol | hydroxyl group | amino acid | carboxyl group 
2454 | ethyl alcohol | hydroxyl group | amino acid | amino group 
2454 | ethyl alcohol | hydroxyl group | amino acid | R-group 
2459 | gated Channel | hydrophilic Channel | triose | hydroxyl group 
2459 | gated Channel | hydrophilic Channel | triose | carbonyl group 
2459 | gated Channel | hydrophilic Channel | triose | carbon skeleton 
2460 | gated Channel | carbon skeleton | triose | hydroxyl group 
2460 | gated Channel | carbon skeleton | triose | carbonyl group 
2460 | gated Channel | carbon skeleton | triose | carbon skeleton 
2461 | microfibril | carbon skeleton | allosteric enzyme | carbon skeleton 
2461 | microfibril | carbon skeleton | allosteric enzyme | active site 
2461 | microfibril | carbon skeleton | allosteric enzyme | allosteric site 
2465 | nucleotide | carbon skeleton | thylakoid | thylakoid space 
2466 | nucleotide | phosphate group | thylakoid | thylakoid space 
2477 | microfilament | carbon skeleton | smooth endoplasmic reticulum | cisternal space 
2487 | ethyl alcohol | carbon skeleton | hexose | hydroxyl group 
2487 | ethyl alcohol | carbon skeleton | hexose | carbonyl group 
2487 | ethyl alcohol | carbon skeleton | hexose | carbon skeleton 
2488 | ethyl alcohol | hydroxyl group | hexose | hydroxyl group 
2488 | ethyl alcohol | hydroxyl group | hexose | carbonyl group 
2488 | ethyl alcohol | hydroxyl group | hexose | carbon skeleton 
2490 | carbon 14 atom | atomic nucleus | aldehyde | carbon skeleton 
2490 | carbon 14 atom | atomic nucleus | aldehyde | carbonyl group 
2491 | GTP | phosphate group | channel protein | hydrophilic Channel 
2492 | GTP | carbon skeleton | channel protein | hydrophilic Channel 
2498 | potassium | atomic nucleus | amine | amino group 
2499 | potassium | electron-shell | amine | amino group 
2502 | polypeptide | amino end of a protein | ribulose bisphosphate | carbon skeleton 
2502 | polypeptide | amino end of a protein | ribulose bisphosphate | hydroxyl group 
2502 | polypeptide | amino end of a protein | ribulose bisphosphate | carbonyl group 
2502 | polypeptide | amino end of a protein | ribulose bisphosphate | phosphate group 
2503 | monosaccharide | hydroxyl group | phospholipid | carbon skeleton 
2503 | monosaccharide | hydroxyl group | phospholipid | fatty acid tail 
2503 | monosaccharide | hydroxyl group | phospholipid | fatty acid tail 
2503 | monosaccharide | hydroxyl group | phospholipid | hydrophilic head 
2503 | monosaccharide | hydroxyl group | phospholipid | phosphate group 
2504 | monosaccharide | carbonyl group | phospholipid | carbon skeleton 
2504 | monosaccharide | carbonyl group | phospholipid | fatty acid tail 
2504 | monosaccharide | carbonyl group | phospholipid | fatty acid tail 
2504 | monosaccharide | carbonyl group | phospholipid | hydrophilic head 
2504 | monosaccharide | carbonyl group | phospholipid | phosphate group 
2505 | monosaccharide | carbon skeleton | phospholipid | carbon skeleton 
2505 | monosaccharide | carbon skeleton | phospholipid | fatty acid tail 
2505 | monosaccharide | carbon skeleton | phospholipid | fatty acid tail 
2505 | monosaccharide | carbon skeleton | phospholipid | hydrophilic head 
2505 | monosaccharide | carbon skeleton | phospholipid | phosphate group 
2508 | asparagine | carboxyl group | triose | hydroxyl group 
2508 | asparagine | carboxyl group | triose | carbonyl group 
2508 | asparagine | carboxyl group | triose | carbon skeleton 
2509 | asparagine | polar side chain | triose | hydroxyl group 
2509 | asparagine | polar side chain | triose | carbonyl group 
2509 | asparagine | polar side chain | triose | carbon skeleton 
2510 | asparagine | amino group | triose | hydroxyl group 
2510 | asparagine | amino group | triose | carbonyl group 
2510 | asparagine | amino group | triose | carbon skeleton 
2511 | asparagine | carbonyl group | triose | hydroxyl group 
2511 | asparagine | carbonyl group | triose | carbonyl group 
2511 | asparagine | carbonyl group | triose | carbon skeleton 
2512 | asparagine | amino group | triose | hydroxyl group 
2512 | asparagine | amino group | triose | carbonyl group 
2512 | asparagine | amino group | triose | carbon skeleton 
2513 | asparagine | carbon skeleton | triose | hydroxyl group 
2513 | asparagine | carbon skeleton | triose | carbonyl group 
2513 | asparagine | carbon skeleton | triose | carbon skeleton 
2514 | steroid | carbon skeleton | ADP | carbon skeleton 
2514 | steroid | carbon skeleton | ADP | phosphate group 
2515 | carotenoid | carbon skeleton | organic molecule | carbon skeleton 
2516 | phosphofructokinase | allosteric site | polysaccharide | hydroxyl group 
2516 | phosphofructokinase | allosteric site | polysaccharide | carbonyl group 
2516 | phosphofructokinase | allosteric site | polysaccharide | carbon skeleton 
2517 | phosphofructokinase | carbon skeleton | polysaccharide | hydroxyl group 
2517 | phosphofructokinase | carbon skeleton | polysaccharide | carbonyl group 
2517 | phosphofructokinase | carbon skeleton | polysaccharide | carbon skeleton 
2518 | phosphofructokinase | active site | polysaccharide | hydroxyl group 
2518 | phosphofructokinase | active site | polysaccharide | carbonyl group 
2518 | phosphofructokinase | active site | polysaccharide | carbon skeleton 
2519 | nucleotide | carbon skeleton | FADH2 | carbon skeleton 
2520 | nucleotide | phosphate group | FADH2 | carbon skeleton 
2528 | NADH | carbon skeleton | atom | atomic nucleus 
2528 | NADH | carbon skeleton | atom | electron-shell 
2531 | oligosaccharide | carbonyl group | phosphatidylcholine | hydrophilic head 
2531 | oligosaccharide | carbonyl group | phosphatidylcholine | fatty acid tail 
2537 | ADP | carbon skeleton | rough endoplasmic reticulum | cisternal space 
2538 | ADP | phosphate group | rough endoplasmic reticulum | cisternal space 
2543 | fat molecule | fatty acid tail | pentose | hydroxyl group 
2543 | fat molecule | fatty acid tail | pentose | carbonyl group 
2543 | fat molecule | fatty acid tail | pentose | carbon skeleton 
2548 | potassium | atomic nucleus | storage polysaccharide | hydroxyl group 
2548 | potassium | atomic nucleus | storage polysaccharide | carbonyl group 
2548 | potassium | atomic nucleus | storage polysaccharide | carbon skeleton 
2549 | potassium | electron-shell | storage polysaccharide | hydroxyl group 
2549 | potassium | electron-shell | storage polysaccharide | carbonyl group 
2549 | potassium | electron-shell | storage polysaccharide | carbon skeleton 
2560 | mitochondrial membrane | intermembrane space | AMP | carbon skeleton 
2560 | mitochondrial membrane | intermembrane space | AMP | phosphate group 
2564 | carotenoid | carbon skeleton | carboxylic acid | carbon skeleton 
2564 | carotenoid | carbon skeleton | carboxylic acid | carboxyl group 
2568 | sulfur atom | atomic nucleus | ATP | carbon skeleton 
2568 | sulfur atom | atomic nucleus | ATP | phosphate group 
2568 | sulfur atom | atomic nucleus | ATP | phosphate group 
2568 | sulfur atom | atomic nucleus | ATP | phosphate group 
2569 | mitochondrion | mitochondrial matrix | phosphatidylcholine | hydrophilic head 
2569 | mitochondrion | mitochondrial matrix | phosphatidylcholine | fatty acid tail 
2573 | cellulose | hydroxyl group | nucleotide | carbon skeleton 
2573 | cellulose | hydroxyl group | nucleotide | phosphate group 
2574 | cellulose | carbonyl group | nucleotide | carbon skeleton 
2574 | cellulose | carbonyl group | nucleotide | phosphate group 
2575 | cellulose | carbon skeleton | nucleotide | carbon skeleton 
2575 | cellulose | carbon skeleton | nucleotide | phosphate group 
2588 | hydrophobic amino acid | carboxyl group | enzyme | active site 
2589 | hydrophobic amino acid | carbon skeleton | enzyme | active site 
2590 | hydrophobic amino acid | amino group | enzyme | active site 
2591 | proton pump | phosphate group | endoplasmic reticulum | cisternal space 
2592 | proton pump | carbon skeleton | endoplasmic reticulum | cisternal space 
2593 | lactic acid | carbon skeleton | amylopectin | hydroxyl group 
2594 | lactic acid | carboxyl group | amylopectin | hydroxyl group 
2595 | lactic acid | hydroxyl group | amylopectin | hydroxyl group 
2596 | allosteric enzyme | carbon skeleton | monosaccharide | hydroxyl group 
2596 | allosteric enzyme | carbon skeleton | monosaccharide | carbonyl group 
2596 | allosteric enzyme | carbon skeleton | monosaccharide | carbon skeleton 
2597 | allosteric enzyme | active site | monosaccharide | hydroxyl group 
2597 | allosteric enzyme | active site | monosaccharide | carbonyl group 
2597 | allosteric enzyme | active site | monosaccharide | carbon skeleton 
2598 | allosteric enzyme | allosteric site | monosaccharide | hydroxyl group 
2598 | allosteric enzyme | allosteric site | monosaccharide | carbonyl group 
2598 | allosteric enzyme | allosteric site | monosaccharide | carbon skeleton 
2603 | hydrophilic amino acid | carbon skeleton | nucleotide | carbon skeleton 
2603 | hydrophilic amino acid | carbon skeleton | nucleotide | phosphate group 
2604 | hydrophilic amino acid | carboxyl group | nucleotide | carbon skeleton 
2604 | hydrophilic amino acid | carboxyl group | nucleotide | phosphate group 
2605 | hydrophilic amino acid | amino group | nucleotide | carbon skeleton 
2605 | hydrophilic amino acid | amino group | nucleotide | phosphate group 
2606 | hydrophilic amino acid | R-group | nucleotide | carbon skeleton 
2606 | hydrophilic amino acid | R-group | nucleotide | phosphate group 
2610 | polypeptide | amino end of a protein | nucleotide | carbon skeleton 
2610 | polypeptide | amino end of a protein | nucleotide | phosphate group 
2611 | aldehyde | carbon skeleton | carboxylic acid | carbon skeleton 
2611 | aldehyde | carbon skeleton | carboxylic acid | carboxyl group 
2612 | aldehyde | carbonyl group | carboxylic acid | carbon skeleton 
2612 | aldehyde | carbonyl group | carboxylic acid | carboxyl group 
2622 | cholesterol | carbon skeleton | endoplasmic reticulum | cisternal space 
2626 | cholesterol | carbon skeleton | FADH2 | carbon skeleton 
2627 | boron atom | atomic nucleus | chitin | hydroxyl group 
2627 | boron atom | atomic nucleus | chitin | carbonyl group 
2627 | boron atom | atomic nucleus | chitin | carbon skeleton 
2628 | potassium | atomic nucleus | polysaccharide | hydroxyl group 
2628 | potassium | atomic nucleus | polysaccharide | carbonyl group 
2628 | potassium | atomic nucleus | polysaccharide | carbon skeleton 
2629 | potassium | electron-shell | polysaccharide | hydroxyl group 
2629 | potassium | electron-shell | polysaccharide | carbonyl group 
2629 | potassium | electron-shell | polysaccharide | carbon skeleton 
2635 | hydrophilic amino acid | carbon skeleton | ATP | carbon skeleton 
2635 | hydrophilic amino acid | carbon skeleton | ATP | phosphate group 
2635 | hydrophilic amino acid | carbon skeleton | ATP | phosphate group 
2635 | hydrophilic amino acid | carbon skeleton | ATP | phosphate group 
2636 | hydrophilic amino acid | carboxyl group | ATP | carbon skeleton 
2636 | hydrophilic amino acid | carboxyl group | ATP | phosphate group 
2636 | hydrophilic amino acid | carboxyl group | ATP | phosphate group 
2636 | hydrophilic amino acid | carboxyl group | ATP | phosphate group 
2637 | hydrophilic amino acid | amino group | ATP | carbon skeleton 
2637 | hydrophilic amino acid | amino group | ATP | phosphate group 
2637 | hydrophilic amino acid | amino group | ATP | phosphate group 
2637 | hydrophilic amino acid | amino group | ATP | phosphate group 
2638 | hydrophilic amino acid | R-group | ATP | carbon skeleton 
2638 | hydrophilic amino acid | R-group | ATP | phosphate group 
2638 | hydrophilic amino acid | R-group | ATP | phosphate group 
2638 | hydrophilic amino acid | R-group | ATP | phosphate group 
2645 | aquaporin | carbon skeleton | enzyme | active site 
2646 | aquaporin | hydrophilic Channel | enzyme | active site 
2651 | aldehyde | carbon skeleton | ADP | carbon skeleton 
2651 | aldehyde | carbon skeleton | ADP | phosphate group 
2652 | aldehyde | carbonyl group | ADP | carbon skeleton 
2652 | aldehyde | carbonyl group | ADP | phosphate group 
2657 | glycine | carboxyl group | rough endoplasmic reticulum | cisternal space 
2658 | glycine | amino group | rough endoplasmic reticulum | cisternal space 
2659 | glycine | carbon skeleton | rough endoplasmic reticulum | cisternal space 
2660 | NAD plus | carbon skeleton | mitochondrion | mitochondrial matrix 
2664 | glucose | carbon skeleton | allosteric enzyme | carbon skeleton 
2664 | glucose | carbon skeleton | allosteric enzyme | active site 
2664 | glucose | carbon skeleton | allosteric enzyme | allosteric site 
2665 | glucose | hydroxyl group | allosteric enzyme | carbon skeleton 
2665 | glucose | hydroxyl group | allosteric enzyme | active site 
2665 | glucose | hydroxyl group | allosteric enzyme | allosteric site 
2666 | glucose | carbonyl group | allosteric enzyme | carbon skeleton 
2666 | glucose | carbonyl group | allosteric enzyme | active site 
2666 | glucose | carbonyl group | allosteric enzyme | allosteric site 
2672 | microfibril | carbon skeleton | glycogen | carbonyl group 
2672 | microfibril | carbon skeleton | glycogen | hydroxyl group 
2672 | microfibril | carbon skeleton | glycogen | carbon skeleton 
2684 | oxidoreductase | carbon skeleton | GTP | phosphate group 
2684 | oxidoreductase | carbon skeleton | GTP | carbon skeleton 
2686 | sucrose | carbon skeleton | triose | hydroxyl group 
2686 | sucrose | carbon skeleton | triose | carbonyl group 
2686 | sucrose | carbon skeleton | triose | carbon skeleton 
2687 | sucrose | hydroxyl group | triose | hydroxyl group 
2687 | sucrose | hydroxyl group | triose | carbonyl group 
2687 | sucrose | hydroxyl group | triose | carbon skeleton 
2688 | sucrose | carbonyl group | triose | hydroxyl group 
2688 | sucrose | carbonyl group | triose | carbonyl group 
2688 | sucrose | carbonyl group | triose | carbon skeleton 
2692 | chitin | hydroxyl group | hydrocarbon molecule | carbon skeleton 
2693 | chitin | carbonyl group | hydrocarbon molecule | carbon skeleton 
2694 | chitin | carbon skeleton | hydrocarbon molecule | carbon skeleton 
2696 | chlorophyll B | carbon skeleton | FADH2 | carbon skeleton 
2697 | chlorophyll B | carbonyl group | FADH2 | carbon skeleton 
2699 | GTP | phosphate group | carboxylic acid | carbon skeleton 
2699 | GTP | phosphate group | carboxylic acid | carboxyl group 
2700 | GTP | carbon skeleton | carboxylic acid | carbon skeleton 
2700 | GTP | carbon skeleton | carboxylic acid | carboxyl group 
2701 | nuclear-envelope | intermembrane space | oxidoreductase | carbon skeleton 
2702 | gated Channel | hydrophilic Channel | channel protein | hydrophilic Channel 
2703 | gated Channel | carbon skeleton | channel protein | hydrophilic Channel 
2704 | carbohydrate | carbon skeleton | allosteric enzyme | carbon skeleton 
2704 | carbohydrate | carbon skeleton | allosteric enzyme | active site 
2704 | carbohydrate | carbon skeleton | allosteric enzyme | allosteric site 
2705 | carbohydrate | hydroxyl group | allosteric enzyme | carbon skeleton 
2705 | carbohydrate | hydroxyl group | allosteric enzyme | active site 
2705 | carbohydrate | hydroxyl group | allosteric enzyme | allosteric site 
2706 | carbohydrate | carbonyl group | allosteric enzyme | carbon skeleton 
2706 | carbohydrate | carbonyl group | allosteric enzyme | active site 
2706 | carbohydrate | carbonyl group | allosteric enzyme | allosteric site 
2715 | prokaryote | nucleoid | phospholipid | carbon skeleton 
2715 | prokaryote | nucleoid | phospholipid | fatty acid tail 
2715 | prokaryote | nucleoid | phospholipid | fatty acid tail 
2715 | prokaryote | nucleoid | phospholipid | hydrophilic head 
2715 | prokaryote | nucleoid | phospholipid | phosphate group 
2716 | mitochondrial membrane | intermembrane space | adenylyl cyclase | active site 
2722 | alpha tubulin | amino end of a protein | pentose | hydroxyl group 
2722 | alpha tubulin | amino end of a protein | pentose | carbonyl group 
2722 | alpha tubulin | amino end of a protein | pentose | carbon skeleton 
2723 | alpha tubulin | carbon skeleton | pentose | hydroxyl group 
2723 | alpha tubulin | carbon skeleton | pentose | carbonyl group 
2723 | alpha tubulin | carbon skeleton | pentose | carbon skeleton 
2728 | mitochondrion | mitochondrial matrix | ATP | carbon skeleton 
2728 | mitochondrion | mitochondrial matrix | ATP | phosphate group 
2728 | mitochondrion | mitochondrial matrix | ATP | phosphate group 
2728 | mitochondrion | mitochondrial matrix | ATP | phosphate group 
2729 | prokaryote | nucleoid | monosaccharide | hydroxyl group 
2729 | prokaryote | nucleoid | monosaccharide | carbonyl group 
2729 | prokaryote | nucleoid | monosaccharide | carbon skeleton 
2732 | tyrosine | hydroxyl group | GTP | phosphate group 
2732 | tyrosine | hydroxyl group | GTP | carbon skeleton 
2733 | tyrosine | carbon skeleton | GTP | phosphate group 
2733 | tyrosine | carbon skeleton | GTP | carbon skeleton 
2734 | tyrosine | carboxyl group | GTP | phosphate group 
2734 | tyrosine | carboxyl group | GTP | carbon skeleton 
2735 | tyrosine | amino group | GTP | phosphate group 
2735 | tyrosine | amino group | GTP | carbon skeleton 
2736 | tyrosine | polar side chain | GTP | phosphate group 
2736 | tyrosine | polar side chain | GTP | carbon skeleton 
2739 | AMP | carbon skeleton | amino acid | carbon skeleton 
2739 | AMP | carbon skeleton | amino acid | carboxyl group 
2739 | AMP | carbon skeleton | amino acid | amino group 
2739 | AMP | carbon skeleton | amino acid | R-group 
2740 | AMP | phosphate group | amino acid | carbon skeleton 
2740 | AMP | phosphate group | amino acid | carboxyl group 
2740 | AMP | phosphate group | amino acid | amino group 
2740 | AMP | phosphate group | amino acid | R-group 
2741 | channel protein | hydrophilic Channel | atom | atomic nucleus 
2741 | channel protein | hydrophilic Channel | atom | electron-shell 
2742 | amino acid | carbon skeleton | lactic acid | carbon skeleton 
2742 | amino acid | carbon skeleton | lactic acid | carboxyl group 
2742 | amino acid | carbon skeleton | lactic acid | hydroxyl group 
2743 | amino acid | carboxyl group | lactic acid | carbon skeleton 
2743 | amino acid | carboxyl group | lactic acid | carboxyl group 
2743 | amino acid | carboxyl group | lactic acid | hydroxyl group 
2744 | amino acid | amino group | lactic acid | carbon skeleton 
2744 | amino acid | amino group | lactic acid | carboxyl group 
2744 | amino acid | amino group | lactic acid | hydroxyl group 
2745 | amino acid | R-group | lactic acid | carbon skeleton 
2745 | amino acid | R-group | lactic acid | carboxyl group 
2745 | amino acid | R-group | lactic acid | hydroxyl group 
2746 | glycine | carboxyl group | carboxylic acid | carbon skeleton 
2746 | glycine | carboxyl group | carboxylic acid | carboxyl group 
2747 | glycine | amino group | carboxylic acid | carbon skeleton 
2747 | glycine | amino group | carboxylic acid | carboxyl group 
2748 | glycine | carbon skeleton | carboxylic acid | carbon skeleton 
2748 | glycine | carbon skeleton | carboxylic acid | carboxyl group 
2749 | intermediate filament | carbon skeleton | nucleotide | carbon skeleton 
2749 | intermediate filament | carbon skeleton | nucleotide | phosphate group 
2750 | nucleotide | carbon skeleton | hydrocarbon molecule | carbon skeleton 
2751 | nucleotide | phosphate group | hydrocarbon molecule | carbon skeleton 
2752 | smooth endoplasmic reticulum | cisternal space | carbon atom | atomic nucleus 
2753 | chloroplast membrane | intermembrane space | phospholipid | carbon skeleton 
2753 | chloroplast membrane | intermembrane space | phospholipid | fatty acid tail 
2753 | chloroplast membrane | intermembrane space | phospholipid | fatty acid tail 
2753 | chloroplast membrane | intermembrane space | phospholipid | hydrophilic head 
2753 | chloroplast membrane | intermembrane space | phospholipid | phosphate group 
2756 | disaccharide | carbon skeleton | organic molecule | carbon skeleton 
2757 | disaccharide | carbonyl group | organic molecule | carbon skeleton 
2758 | disaccharide | hydroxyl group | organic molecule | carbon skeleton 
2759 | mitochondrion | mitochondrial matrix | pentose | hydroxyl group 
2759 | mitochondrion | mitochondrial matrix | pentose | carbonyl group 
2759 | mitochondrion | mitochondrial matrix | pentose | carbon skeleton 
2766 | nuclear-envelope | intermembrane space | P700 | carbon skeleton 
2766 | nuclear-envelope | intermembrane space | P700 | methyl group 
2771 | starch | carbon skeleton | adenylyl cyclase | active site 
2772 | starch | carbonyl group | adenylyl cyclase | active site 
2773 | starch | hydroxyl group | adenylyl cyclase | active site 
2774 | oxidoreductase | carbon skeleton | smooth endoplasmic reticulum | cisternal space 
2776 | smooth endoplasmic reticulum | cisternal space | oxidoreductase | carbon skeleton 
2777 | ADP | carbon skeleton | amylopectin | hydroxyl group 
2778 | ADP | phosphate group | amylopectin | hydroxyl group 
2780 | ribulose bisphosphate | carbon skeleton | storage polysaccharide | hydroxyl group 
2780 | ribulose bisphosphate | carbon skeleton | storage polysaccharide | carbonyl group 
2780 | ribulose bisphosphate | carbon skeleton | storage polysaccharide | carbon skeleton 
2781 | ribulose bisphosphate | hydroxyl group | storage polysaccharide | hydroxyl group 
2781 | ribulose bisphosphate | hydroxyl group | storage polysaccharide | carbonyl group 
2781 | ribulose bisphosphate | hydroxyl group | storage polysaccharide | carbon skeleton 
2782 | ribulose bisphosphate | carbonyl group | storage polysaccharide | hydroxyl group 
2782 | ribulose bisphosphate | carbonyl group | storage polysaccharide | carbonyl group 
2782 | ribulose bisphosphate | carbonyl group | storage polysaccharide | carbon skeleton 
2783 | ribulose bisphosphate | phosphate group | storage polysaccharide | hydroxyl group 
2783 | ribulose bisphosphate | phosphate group | storage polysaccharide | carbonyl group 
2783 | ribulose bisphosphate | phosphate group | storage polysaccharide | carbon skeleton 
2786 | transport membrane protein | carbon skeleton | allosteric enzyme | carbon skeleton 
2786 | transport membrane protein | carbon skeleton | allosteric enzyme | active site 
2786 | transport membrane protein | carbon skeleton | allosteric enzyme | allosteric site 
2795 | alcohol | carbon skeleton | rough endoplasmic reticulum | cisternal space 
2796 | alcohol | hydroxyl group | rough endoplasmic reticulum | cisternal space 
2798 | starch | carbon skeleton | adenylyl cyclase | active site 
2799 | starch | carbonyl group | adenylyl cyclase | active site 
2800 | starch | hydroxyl group | adenylyl cyclase | active site 
2801 | dynein | carbon skeleton | smooth endoplasmic reticulum | cisternal space 
2802 | maltose | carbonyl group | phospholipid | carbon skeleton 
2802 | maltose | carbonyl group | phospholipid | fatty acid tail 
2802 | maltose | carbonyl group | phospholipid | fatty acid tail 
2802 | maltose | carbonyl group | phospholipid | hydrophilic head 
2802 | maltose | carbonyl group | phospholipid | phosphate group 
2803 | maltose | hydroxyl group | phospholipid | carbon skeleton 
2803 | maltose | hydroxyl group | phospholipid | fatty acid tail 
2803 | maltose | hydroxyl group | phospholipid | fatty acid tail 
2803 | maltose | hydroxyl group | phospholipid | hydrophilic head 
2803 | maltose | hydroxyl group | phospholipid | phosphate group 
2804 | maltose | carbon skeleton | phospholipid | carbon skeleton 
2804 | maltose | carbon skeleton | phospholipid | fatty acid tail 
2804 | maltose | carbon skeleton | phospholipid | fatty acid tail 
2804 | maltose | carbon skeleton | phospholipid | hydrophilic head 
2804 | maltose | carbon skeleton | phospholipid | phosphate group 
2808 | ADP | carbon skeleton | ADP | carbon skeleton 
2808 | ADP | carbon skeleton | ADP | phosphate group 
2809 | ADP | phosphate group | ADP | carbon skeleton 
2809 | ADP | phosphate group | ADP | phosphate group 
2812 | 3 phosphoglycerate | carbon skeleton | glycogen | carbonyl group 
2812 | 3 phosphoglycerate | carbon skeleton | glycogen | hydroxyl group 
2812 | 3 phosphoglycerate | carbon skeleton | glycogen | carbon skeleton 
2813 | 3 phosphoglycerate | phosphate group | glycogen | carbonyl group 
2813 | 3 phosphoglycerate | phosphate group | glycogen | hydroxyl group 
2813 | 3 phosphoglycerate | phosphate group | glycogen | carbon skeleton 
2814 | 3 phosphoglycerate | carboxyl group | glycogen | carbonyl group 
2814 | 3 phosphoglycerate | carboxyl group | glycogen | hydroxyl group 
2814 | 3 phosphoglycerate | carboxyl group | glycogen | carbon skeleton 
2831 | hydrogen atom | atomic nucleus | amylose | hydroxyl group 
2831 | hydrogen atom | atomic nucleus | amylose | carbon skeleton 
2831 | hydrogen atom | atomic nucleus | amylose | carbonyl group 
2832 | hydrogen atom | first electron-shell | amylose | hydroxyl group 
2832 | hydrogen atom | first electron-shell | amylose | carbon skeleton 
2832 | hydrogen atom | first electron-shell | amylose | carbonyl group 
2833 | hydrogen atom | atomic nucleus | endoplasmic reticulum | cisternal space 
2834 | hydrogen atom | first electron-shell | endoplasmic reticulum | cisternal space 
2838 | 3 phosphoglycerate | carbon skeleton | amine | amino group 
2839 | 3 phosphoglycerate | phosphate group | amine | amino group 
2840 | 3 phosphoglycerate | carboxyl group | amine | amino group 
2841 | chlorophyll B | carbon skeleton | organic molecule | carbon skeleton 
2842 | chlorophyll B | carbonyl group | organic molecule | carbon skeleton 
2843 | lipid | carbon skeleton | ATP | carbon skeleton 
2843 | lipid | carbon skeleton | ATP | phosphate group 
2843 | lipid | carbon skeleton | ATP | phosphate group 
2843 | lipid | carbon skeleton | ATP | phosphate group 
2844 | AMP | carbon skeleton | ketone | carbonyl group 
2844 | AMP | carbon skeleton | ketone | carbon skeleton 
2845 | AMP | phosphate group | ketone | carbonyl group 
2845 | AMP | phosphate group | ketone | carbon skeleton 
2850 | amylose | hydroxyl group | hydrocarbon molecule | carbon skeleton 
