15 | hydrogenated vegetable oil | saturated fat | hydrophobic substance | hydrophobic compound 
6125 | glycogen | monomer | protein | polypeptide 
6126 | glycogen | glucose | protein | polypeptide 
6127 | glycogen | monomer | protein | polypeptide 
6128 | glycogen | oxygen atom | protein | polypeptide 
6129 | glycogen | hydrogen atom | protein | polypeptide 
6130 | glycogen | oxygen atom | protein | polypeptide 
6131 | glycogen | oxygen atom | protein | polypeptide 
6132 | glycogen | hydrogen atom | protein | polypeptide 
6139 | polar molecule | atom | cytoskeleton | intermediate filament 
6139 | polar molecule | atom | cytoskeleton | microfilament 
6139 | polar molecule | atom | cytoskeleton | microtubule 
6140 | polar molecule | atom | cytoskeleton | intermediate filament 
6140 | polar molecule | atom | cytoskeleton | microfilament 
6140 | polar molecule | atom | cytoskeleton | microtubule 
6141 | vesicle | aqueous solution | basic solution | cation 
6141 | vesicle | aqueous solution | basic solution | water 
6141 | vesicle | aqueous solution | basic solution | base 
6141 | vesicle | aqueous solution | basic solution | hydroxide ion 
6146 | hypertonic solution | water | water vapour | water molecule 
6147 | hydrogenated vegetable oil | saturated fat | water molecule | oxygen atom 
6147 | hydrogenated vegetable oil | saturated fat | water molecule | hydrogen atom 
6147 | hydrogenated vegetable oil | saturated fat | water molecule | hydrogen atom 
6170 | hypotonic solution | water | hydrophilic substance | hydrophilic compound 
6171 | exoskeleton | chitin | actin | monomer 
6174 | integrin | polypeptide | fat molecule | glycerol 
6174 | integrin | polypeptide | fat molecule | fatty acid 
6175 | integrin | monomer | fat molecule | glycerol 
6175 | integrin | monomer | fat molecule | fatty acid 
6176 | integrin | hydrophobic amino acid | fat molecule | glycerol 
6176 | integrin | hydrophobic amino acid | fat molecule | fatty acid 
6177 | integrin | polar amino acid | fat molecule | glycerol 
6177 | integrin | polar amino acid | fat molecule | fatty acid 
6178 | integrin | atom | fat molecule | glycerol 
6178 | integrin | atom | fat molecule | fatty acid 
6186 | animal | animal cell | cell wall | carbohydrate 
6186 | animal | animal cell | cell wall | protein 
6187 | animal | water | cell wall | carbohydrate 
6187 | animal | water | cell wall | protein 
6188 | aqueous salt solution | water | protein | polypeptide 
6189 | aqueous salt solution | ionic compound | protein | polypeptide 
6204 | integral protein | monomer | proline | hydrogen atom 
6204 | integral protein | monomer | proline | nitrogen atom 
6205 | integral protein | hydrophobic amino acid | proline | hydrogen atom 
6205 | integral protein | hydrophobic amino acid | proline | nitrogen atom 
6206 | integral protein | polar amino acid | proline | hydrogen atom 
6206 | integral protein | polar amino acid | proline | nitrogen atom 
6207 | integral protein | atom | proline | hydrogen atom 
6207 | integral protein | atom | proline | nitrogen atom 
6208 | integral protein | polypeptide | proline | hydrogen atom 
6208 | integral protein | polypeptide | proline | nitrogen atom 
6215 | glycine | hydrogen atom | capsule | aqueous solution 
6216 | glycine | hydrogen atom | capsule | aqueous solution 
6217 | glycine | oxygen atom | capsule | aqueous solution 
6218 | glycine | oxygen atom | capsule | aqueous solution 
6219 | glycine | nitrogen atom | capsule | aqueous solution 
6223 | sucrose | oxygen atom | hydrogenated vegetable oil | saturated fat 
6224 | sucrose | fructose | hydrogenated vegetable oil | saturated fat 
6225 | sucrose | glucose | hydrogenated vegetable oil | saturated fat 
6226 | sucrose | hydrogen atom | hydrogenated vegetable oil | saturated fat 
6227 | sucrose | oxygen atom | hydrogenated vegetable oil | saturated fat 
6239 | proton pump | polypeptide | mitochondrion | mitochondrial membrane 
6239 | proton pump | polypeptide | mitochondrion | protein enzyme 
6239 | proton pump | polypeptide | mitochondrion | MRNA 
6239 | proton pump | polypeptide | mitochondrion | ribosome 
6239 | proton pump | polypeptide | mitochondrion | protein enzyme 
6239 | proton pump | polypeptide | mitochondrion | aqueous solution 
6240 | proton pump | phosphorus atom | mitochondrion | mitochondrial membrane 
6240 | proton pump | phosphorus atom | mitochondrion | protein enzyme 
6240 | proton pump | phosphorus atom | mitochondrion | MRNA 
6240 | proton pump | phosphorus atom | mitochondrion | ribosome 
6240 | proton pump | phosphorus atom | mitochondrion | protein enzyme 
6240 | proton pump | phosphorus atom | mitochondrion | aqueous solution 
6241 | proton pump | oxygen atom | mitochondrion | mitochondrial membrane 
6241 | proton pump | oxygen atom | mitochondrion | protein enzyme 
6241 | proton pump | oxygen atom | mitochondrion | MRNA 
6241 | proton pump | oxygen atom | mitochondrion | ribosome 
6241 | proton pump | oxygen atom | mitochondrion | protein enzyme 
6241 | proton pump | oxygen atom | mitochondrion | aqueous solution 
6242 | proton pump | polar amino acid | mitochondrion | mitochondrial membrane 
6242 | proton pump | polar amino acid | mitochondrion | protein enzyme 
6242 | proton pump | polar amino acid | mitochondrion | MRNA 
6242 | proton pump | polar amino acid | mitochondrion | ribosome 
6242 | proton pump | polar amino acid | mitochondrion | protein enzyme 
6242 | proton pump | polar amino acid | mitochondrion | aqueous solution 
6243 | proton pump | oxygen atom | mitochondrion | mitochondrial membrane 
6243 | proton pump | oxygen atom | mitochondrion | protein enzyme 
6243 | proton pump | oxygen atom | mitochondrion | MRNA 
6243 | proton pump | oxygen atom | mitochondrion | ribosome 
6243 | proton pump | oxygen atom | mitochondrion | protein enzyme 
6243 | proton pump | oxygen atom | mitochondrion | aqueous solution 
6244 | proton pump | monomer | mitochondrion | mitochondrial membrane 
6244 | proton pump | monomer | mitochondrion | protein enzyme 
6244 | proton pump | monomer | mitochondrion | MRNA 
6244 | proton pump | monomer | mitochondrion | ribosome 
6244 | proton pump | monomer | mitochondrion | protein enzyme 
6244 | proton pump | monomer | mitochondrion | aqueous solution 
6245 | proton pump | hydrophobic amino acid | mitochondrion | mitochondrial membrane 
6245 | proton pump | hydrophobic amino acid | mitochondrion | protein enzyme 
6245 | proton pump | hydrophobic amino acid | mitochondrion | MRNA 
6245 | proton pump | hydrophobic amino acid | mitochondrion | ribosome 
6245 | proton pump | hydrophobic amino acid | mitochondrion | protein enzyme 
6245 | proton pump | hydrophobic amino acid | mitochondrion | aqueous solution 
6246 | steroid | atom | hydrophilic substance | hydrophilic compound 
6262 | water molecule | oxygen atom | mesophyll | mesophyll cell 
6262 | water molecule | oxygen atom | mesophyll | mesophyll cell 
6262 | water molecule | oxygen atom | mesophyll | mesophyll cell 
6263 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
6263 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
6263 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
6264 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
6264 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
6264 | water molecule | hydrogen atom | mesophyll | mesophyll cell 
6269 | maltose | hydrogen atom | acidic solution | water 
6269 | maltose | hydrogen atom | acidic solution | acid 
6269 | maltose | hydrogen atom | acidic solution | hydrogen ion 
6269 | maltose | hydrogen atom | acidic solution | anion 
6270 | maltose | glucose | acidic solution | water 
6270 | maltose | glucose | acidic solution | acid 
6270 | maltose | glucose | acidic solution | hydrogen ion 
6270 | maltose | glucose | acidic solution | anion 
6271 | maltose | glucose | acidic solution | water 
6271 | maltose | glucose | acidic solution | acid 
6271 | maltose | glucose | acidic solution | hydrogen ion 
6271 | maltose | glucose | acidic solution | anion 
6272 | maltose | oxygen atom | acidic solution | water 
6272 | maltose | oxygen atom | acidic solution | acid 
6272 | maltose | oxygen atom | acidic solution | hydrogen ion 
6272 | maltose | oxygen atom | acidic solution | anion 
6273 | maltose | oxygen atom | acidic solution | water 
6273 | maltose | oxygen atom | acidic solution | acid 
6273 | maltose | oxygen atom | acidic solution | hydrogen ion 
6273 | maltose | oxygen atom | acidic solution | anion 
6281 | fat molecule | glycerol | O2-gas | oxygen molecule 
6282 | fat molecule | fatty acid | O2-gas | oxygen molecule 
6290 | proline | hydrogen atom | sunlight | ultraviolet ray 
6290 | proline | hydrogen atom | sunlight | infrared ray 
6290 | proline | hydrogen atom | sunlight | visible light 
6291 | proline | nitrogen atom | sunlight | ultraviolet ray 
6291 | proline | nitrogen atom | sunlight | infrared ray 
6291 | proline | nitrogen atom | sunlight | visible light 
6292 | nucleus | nucleolus | walled cell | cell wall 
6293 | nucleus | nuclear-envelope | walled cell | cell wall 
6294 | nucleus | aqueous solution | walled cell | cell wall 
6309 | chitin | monomer | actin | monomer 
6310 | chitin | monosaccharide | actin | monomer 
6311 | chitin | monomer | actin | monomer 
6312 | chitin | monosaccharide | actin | monomer 
6313 | chitin | glucose | actin | monomer 
6314 | chitin | hydrogen atom | actin | monomer 
6315 | chitin | oxygen atom | actin | monomer 
6316 | chitin | oxygen atom | actin | monomer 
6324 | plant | water | smooth endoplasmic reticulum | ER membrane 
6324 | plant | water | smooth endoplasmic reticulum | cisterna 
6324 | plant | water | smooth endoplasmic reticulum | aqueous solution 
6324 | plant | water | smooth endoplasmic reticulum | protein enzyme 
6324 | plant | water | smooth endoplasmic reticulum | protein enzyme 
6325 | plant | plant cell | smooth endoplasmic reticulum | ER membrane 
6325 | plant | plant cell | smooth endoplasmic reticulum | cisterna 
6325 | plant | plant cell | smooth endoplasmic reticulum | aqueous solution 
6325 | plant | plant cell | smooth endoplasmic reticulum | protein enzyme 
6325 | plant | plant cell | smooth endoplasmic reticulum | protein enzyme 
6328 | animal | animal cell | neutral solution | hydroxide ion 
6328 | animal | animal cell | neutral solution | hydrogen ion 
6329 | animal | water | neutral solution | hydroxide ion 
6329 | animal | water | neutral solution | hydrogen ion 
6331 | allosteric enzyme | atom | buffered solution | buffer 
6332 | allosteric enzyme | monomer | buffered solution | buffer 
6348 | glycolipid | atom | microtubule | tubulin 
6349 | glycolipid | carbohydrate side chain | microtubule | tubulin 
6368 | alcohol | oxygen atom | glycerol | hydrogen atom 
6369 | alcohol | hydrogen atom | glycerol | hydrogen atom 
6375 | chlorophyll A | magnesium atom | water molecule | oxygen atom 
6375 | chlorophyll A | magnesium atom | water molecule | hydrogen atom 
6375 | chlorophyll A | magnesium atom | water molecule | hydrogen atom 
6376 | chlorophyll A | hydrogen atom | water molecule | oxygen atom 
6376 | chlorophyll A | hydrogen atom | water molecule | hydrogen atom 
6376 | chlorophyll A | hydrogen atom | water molecule | hydrogen atom 
6385 | nucleus | nucleolus | receptor protein | monomer 
6386 | nucleus | nuclear-envelope | receptor protein | monomer 
6387 | nucleus | aqueous solution | receptor protein | monomer 
6409 | oxygen atom | valence electron | thylakoid membrane | plastoquinone 
6409 | oxygen atom | valence electron | thylakoid membrane | phospholipid bilayer 
6409 | oxygen atom | valence electron | thylakoid membrane | ATP synthase 
6409 | oxygen atom | valence electron | thylakoid membrane | thylakoid electron transport chain 
6410 | oxygen atom | valence electron | thylakoid membrane | plastoquinone 
6410 | oxygen atom | valence electron | thylakoid membrane | phospholipid bilayer 
6410 | oxygen atom | valence electron | thylakoid membrane | ATP synthase 
6410 | oxygen atom | valence electron | thylakoid membrane | thylakoid electron transport chain 
6411 | oxygen atom | neutron | thylakoid membrane | plastoquinone 
6411 | oxygen atom | neutron | thylakoid membrane | phospholipid bilayer 
6411 | oxygen atom | neutron | thylakoid membrane | ATP synthase 
6411 | oxygen atom | neutron | thylakoid membrane | thylakoid electron transport chain 
6430 | microfilament | monomer | amylopectin | monomer 
6430 | microfilament | monomer | amylopectin | alpha glucose 
6430 | microfilament | monomer | amylopectin | hydrogen atom 
6430 | microfilament | monomer | amylopectin | oxygen atom 
6430 | microfilament | monomer | amylopectin | oxygen atom 
6431 | microfilament | actin | amylopectin | monomer 
6431 | microfilament | actin | amylopectin | alpha glucose 
6431 | microfilament | actin | amylopectin | hydrogen atom 
6431 | microfilament | actin | amylopectin | oxygen atom 
6431 | microfilament | actin | amylopectin | oxygen atom 
6432 | microfilament | polypeptide | amylopectin | monomer 
6432 | microfilament | polypeptide | amylopectin | alpha glucose 
6432 | microfilament | polypeptide | amylopectin | hydrogen atom 
6432 | microfilament | polypeptide | amylopectin | oxygen atom 
6432 | microfilament | polypeptide | amylopectin | oxygen atom 
6433 | microfilament | atom | amylopectin | monomer 
6433 | microfilament | atom | amylopectin | alpha glucose 
6433 | microfilament | atom | amylopectin | hydrogen atom 
6433 | microfilament | atom | amylopectin | oxygen atom 
6433 | microfilament | atom | amylopectin | oxygen atom 
6468 | nucleoside | nitrogenous base | protein | polypeptide 
6469 | nucleoside | pentose | protein | polypeptide 
6470 | potassium ion | electron | heme | iron atom 
6471 | potassium ion | neutron | heme | iron atom 
6472 | potassium ion | proton | heme | iron atom 
6477 | lysosome | lysosomal enzyme | ER membrane | carbohydrate 
6477 | lysosome | lysosomal enzyme | ER membrane | phospholipid bilayer 
6477 | lysosome | lysosomal enzyme | ER membrane | glycoprotein 
6477 | lysosome | lysosomal enzyme | ER membrane | saturated fatty acid 
6478 | lysosome | lysosomal enzyme | ER membrane | carbohydrate 
6478 | lysosome | lysosomal enzyme | ER membrane | phospholipid bilayer 
6478 | lysosome | lysosomal enzyme | ER membrane | glycoprotein 
6478 | lysosome | lysosomal enzyme | ER membrane | saturated fatty acid 
6517 | boron atom | proton | cytoskeleton | intermediate filament 
6517 | boron atom | proton | cytoskeleton | microfilament 
6517 | boron atom | proton | cytoskeleton | microtubule 
6518 | boron atom | electron | cytoskeleton | intermediate filament 
6518 | boron atom | electron | cytoskeleton | microfilament 
6518 | boron atom | electron | cytoskeleton | microtubule 
6519 | boron atom | neutron | cytoskeleton | intermediate filament 
6519 | boron atom | neutron | cytoskeleton | microfilament 
6519 | boron atom | neutron | cytoskeleton | microtubule 
6520 | boron atom | valence electron | cytoskeleton | intermediate filament 
6520 | boron atom | valence electron | cytoskeleton | microfilament 
6520 | boron atom | valence electron | cytoskeleton | microtubule 
6526 | iodine atom | neutron | hydrophilic substance | hydrophilic compound 
6527 | iodine atom | valence electron | hydrophilic substance | hydrophilic compound 
6540 | P680 | magnesium atom | fat molecule | glycerol 
6540 | P680 | magnesium atom | fat molecule | fatty acid 
6541 | P680 | hydrogen atom | fat molecule | glycerol 
6541 | P680 | hydrogen atom | fat molecule | fatty acid 
6591 | iodine atom | neutron | light | photon 
6592 | iodine atom | valence electron | light | photon 
6626 | pyruvate | oxygen atom | smooth endoplasmic reticulum | ER membrane 
6626 | pyruvate | oxygen atom | smooth endoplasmic reticulum | cisterna 
6626 | pyruvate | oxygen atom | smooth endoplasmic reticulum | aqueous solution 
6626 | pyruvate | oxygen atom | smooth endoplasmic reticulum | protein enzyme 
6626 | pyruvate | oxygen atom | smooth endoplasmic reticulum | protein enzyme 
6627 | pyruvate | hydrogen atom | smooth endoplasmic reticulum | ER membrane 
6627 | pyruvate | hydrogen atom | smooth endoplasmic reticulum | cisterna 
6627 | pyruvate | hydrogen atom | smooth endoplasmic reticulum | aqueous solution 
6627 | pyruvate | hydrogen atom | smooth endoplasmic reticulum | protein enzyme 
6627 | pyruvate | hydrogen atom | smooth endoplasmic reticulum | protein enzyme 
6628 | pyruvate | oxygen atom | smooth endoplasmic reticulum | ER membrane 
6628 | pyruvate | oxygen atom | smooth endoplasmic reticulum | cisterna 
6628 | pyruvate | oxygen atom | smooth endoplasmic reticulum | aqueous solution 
6628 | pyruvate | oxygen atom | smooth endoplasmic reticulum | protein enzyme 
6628 | pyruvate | oxygen atom | smooth endoplasmic reticulum | protein enzyme 
6661 | buffer | weak acid | water | water molecule 
6661 | buffer | weak acid | water | water molecule 
6662 | buffer | base | water | water molecule 
6662 | buffer | base | water | water molecule 
6672 | chromosome | DNA | saturated fat | saturated fatty acid 
6673 | chromosome | protein | saturated fat | saturated fatty acid 
6674 | glycoprotein | carbohydrate side chain | cytoskeleton | intermediate filament 
6674 | glycoprotein | carbohydrate side chain | cytoskeleton | microfilament 
6674 | glycoprotein | carbohydrate side chain | cytoskeleton | microtubule 
6675 | glycoprotein | polypeptide | cytoskeleton | intermediate filament 
6675 | glycoprotein | polypeptide | cytoskeleton | microfilament 
6675 | glycoprotein | polypeptide | cytoskeleton | microtubule 
6676 | glycoprotein | monomer | cytoskeleton | intermediate filament 
6676 | glycoprotein | monomer | cytoskeleton | microfilament 
6676 | glycoprotein | monomer | cytoskeleton | microtubule 
6677 | glycoprotein | atom | cytoskeleton | intermediate filament 
6677 | glycoprotein | atom | cytoskeleton | microfilament 
6677 | glycoprotein | atom | cytoskeleton | microtubule 
6687 | aspartic acid | hydrogen atom | acidic solution | water 
6687 | aspartic acid | hydrogen atom | acidic solution | acid 
6687 | aspartic acid | hydrogen atom | acidic solution | hydrogen ion 
6687 | aspartic acid | hydrogen atom | acidic solution | anion 
6688 | aspartic acid | nitrogen atom | acidic solution | water 
6688 | aspartic acid | nitrogen atom | acidic solution | acid 
6688 | aspartic acid | nitrogen atom | acidic solution | hydrogen ion 
6688 | aspartic acid | nitrogen atom | acidic solution | anion 
6689 | aspartic acid | oxygen atom | acidic solution | water 
6689 | aspartic acid | oxygen atom | acidic solution | acid 
6689 | aspartic acid | oxygen atom | acidic solution | hydrogen ion 
6689 | aspartic acid | oxygen atom | acidic solution | anion 
6690 | aspartic acid | oxygen atom | acidic solution | water 
6690 | aspartic acid | oxygen atom | acidic solution | acid 
6690 | aspartic acid | oxygen atom | acidic solution | hydrogen ion 
6690 | aspartic acid | oxygen atom | acidic solution | anion 
6691 | aspartic acid | hydrogen atom | acidic solution | water 
6691 | aspartic acid | hydrogen atom | acidic solution | acid 
6691 | aspartic acid | hydrogen atom | acidic solution | hydrogen ion 
6691 | aspartic acid | hydrogen atom | acidic solution | anion 
6692 | hypertonic solution | water | proline | hydrogen atom 
6692 | hypertonic solution | water | proline | nitrogen atom 
6702 | G-protein | monomer | cytoskeleton | intermediate filament 
6702 | G-protein | monomer | cytoskeleton | microfilament 
6702 | G-protein | monomer | cytoskeleton | microtubule 
6718 | gated Channel | polypeptide | smooth endoplasmic reticulum | ER membrane 
6718 | gated Channel | polypeptide | smooth endoplasmic reticulum | cisterna 
6718 | gated Channel | polypeptide | smooth endoplasmic reticulum | aqueous solution 
6718 | gated Channel | polypeptide | smooth endoplasmic reticulum | protein enzyme 
6718 | gated Channel | polypeptide | smooth endoplasmic reticulum | protein enzyme 
6719 | gated Channel | monomer | smooth endoplasmic reticulum | ER membrane 
6719 | gated Channel | monomer | smooth endoplasmic reticulum | cisterna 
6719 | gated Channel | monomer | smooth endoplasmic reticulum | aqueous solution 
6719 | gated Channel | monomer | smooth endoplasmic reticulum | protein enzyme 
6719 | gated Channel | monomer | smooth endoplasmic reticulum | protein enzyme 
6720 | gated Channel | atom | smooth endoplasmic reticulum | ER membrane 
6720 | gated Channel | atom | smooth endoplasmic reticulum | cisterna 
6720 | gated Channel | atom | smooth endoplasmic reticulum | aqueous solution 
6720 | gated Channel | atom | smooth endoplasmic reticulum | protein enzyme 
6720 | gated Channel | atom | smooth endoplasmic reticulum | protein enzyme 
6721 | gated Channel | hydrophobic amino acid | smooth endoplasmic reticulum | ER membrane 
6721 | gated Channel | hydrophobic amino acid | smooth endoplasmic reticulum | cisterna 
6721 | gated Channel | hydrophobic amino acid | smooth endoplasmic reticulum | aqueous solution 
6721 | gated Channel | hydrophobic amino acid | smooth endoplasmic reticulum | protein enzyme 
6721 | gated Channel | hydrophobic amino acid | smooth endoplasmic reticulum | protein enzyme 
6722 | gated Channel | polar amino acid | smooth endoplasmic reticulum | ER membrane 
6722 | gated Channel | polar amino acid | smooth endoplasmic reticulum | cisterna 
6722 | gated Channel | polar amino acid | smooth endoplasmic reticulum | aqueous solution 
6722 | gated Channel | polar amino acid | smooth endoplasmic reticulum | protein enzyme 
6722 | gated Channel | polar amino acid | smooth endoplasmic reticulum | protein enzyme 
6730 | exoskeleton | chitin | sunlight | ultraviolet ray 
6730 | exoskeleton | chitin | sunlight | infrared ray 
6730 | exoskeleton | chitin | sunlight | visible light 
6737 | hydrogenated vegetable oil | saturated fat | buffered solution | buffer 
6739 | oxygen atom | valence electron | algae | water 
6740 | oxygen atom | valence electron | algae | water 
6741 | oxygen atom | neutron | algae | water 
6778 | organism | water | cytoskeleton | intermediate filament 
6778 | organism | water | cytoskeleton | microfilament 
6778 | organism | water | cytoskeleton | microtubule 
6790 | starch | hydrogen atom | receptor protein | monomer 
6791 | starch | monomer | receptor protein | monomer 
6792 | starch | alpha glucose | receptor protein | monomer 
6793 | starch | oxygen atom | receptor protein | monomer 
6794 | starch | oxygen atom | receptor protein | monomer 
6795 | starch | alpha glucose | receptor protein | monomer 
6796 | starch | monomer | receptor protein | monomer 
6833 | chlorophyll B | hydrogen atom | light | photon 
6834 | chlorophyll B | oxygen atom | light | photon 
6835 | chlorophyll B | nitrogen atom | light | photon 
6836 | chlorophyll B | magnesium atom | light | photon 
6842 | chemical element | atom | fat molecule | glycerol 
6842 | chemical element | atom | fat molecule | fatty acid 
6843 | chemical element | atom | fat molecule | glycerol 
6843 | chemical element | atom | fat molecule | fatty acid 
6844 | lysosome | lysosomal enzyme | microvillus | microfilament 
6845 | lysosome | lysosomal enzyme | microvillus | microfilament 
6846 | nitrogenous base | hydrogen atom | animal | animal cell 
6846 | nitrogenous base | hydrogen atom | animal | water 
6861 | plastocyanin | monomer | mesophyll | mesophyll cell 
6861 | plastocyanin | monomer | mesophyll | mesophyll cell 
6861 | plastocyanin | monomer | mesophyll | mesophyll cell 
6863 | aqueous solution | water | water | water molecule 
6863 | aqueous solution | water | water | water molecule 
6878 | hydrogenated vegetable oil | saturated fat | radioactive tracer | radioactive isotope 
6907 | integral protein | monomer | walled cell | cell wall 
6908 | integral protein | hydrophobic amino acid | walled cell | cell wall 
6909 | integral protein | polar amino acid | walled cell | cell wall 
6910 | integral protein | atom | walled cell | cell wall 
6911 | integral protein | polypeptide | walled cell | cell wall 
6912 | tubulin | beta tubulin | protein | polypeptide 
6913 | tubulin | alpha tubulin | protein | polypeptide 
6914 | tubulin | monomer | protein | polypeptide 
6915 | tubulin | atom | protein | polypeptide 
6917 | hydrogen atom | valence electron | cytoskeleton | intermediate filament 
6917 | hydrogen atom | valence electron | cytoskeleton | microfilament 
6917 | hydrogen atom | valence electron | cytoskeleton | microtubule 
6918 | hydrogen atom | proton | cytoskeleton | intermediate filament 
6918 | hydrogen atom | proton | cytoskeleton | microfilament 
6918 | hydrogen atom | proton | cytoskeleton | microtubule 
6919 | hydrogen atom | neutron | cytoskeleton | intermediate filament 
6919 | hydrogen atom | neutron | cytoskeleton | microfilament 
6919 | hydrogen atom | neutron | cytoskeleton | microtubule 
6920 | sodium atom | neutron | centrosome | centriole 
6921 | sodium atom | valence electron | centrosome | centriole 
6938 | chlorophyll | magnesium atom | muscle | muscle cell 
6938 | chlorophyll | magnesium atom | muscle | muscle cell 
6939 | macrophage | rough endoplasmic reticulum | O2-gas | oxygen molecule 
6940 | macrophage | smooth endoplasmic reticulum | O2-gas | oxygen molecule 
6941 | macrophage | lysosome | O2-gas | oxygen molecule 
6942 | macrophage | peroxisome | O2-gas | oxygen molecule 
6943 | macrophage | cytoplasm | O2-gas | oxygen molecule 
6944 | macrophage | nucleus | O2-gas | oxygen molecule 
6945 | macrophage | centrosome | O2-gas | oxygen molecule 
6946 | macrophage | Golgi apparatus | O2-gas | oxygen molecule 
6947 | macrophage | mitochondrion | O2-gas | oxygen molecule 
6960 | aspartic acid | hydrogen atom | microtubule | tubulin 
6961 | aspartic acid | nitrogen atom | microtubule | tubulin 
6962 | aspartic acid | oxygen atom | microtubule | tubulin 
6963 | aspartic acid | oxygen atom | microtubule | tubulin 
6964 | aspartic acid | hydrogen atom | microtubule | tubulin 
6981 | sodium-potassium pump | monomer | centrosome | centriole 
6982 | sodium-potassium pump | oxygen atom | centrosome | centriole 
6983 | sodium-potassium pump | polar amino acid | centrosome | centriole 
6984 | sodium-potassium pump | hydrophobic amino acid | centrosome | centriole 
6985 | sodium-potassium pump | polypeptide | centrosome | centriole 
6986 | sodium-potassium pump | oxygen atom | centrosome | centriole 
6987 | sodium-potassium pump | phosphorus atom | centrosome | centriole 
7007 | iron atom | neutron | ionic compound | anion 
7007 | iron atom | neutron | ionic compound | cation 
7008 | iron atom | valence electron | ionic compound | anion 
7008 | iron atom | valence electron | ionic compound | cation 
7028 | cytoplasm | cellular structure | muscle | muscle cell 
7028 | cytoplasm | cellular structure | muscle | muscle cell 
7029 | cytoplasm | hydrophilic compound | muscle | muscle cell 
7029 | cytoplasm | hydrophilic compound | muscle | muscle cell 
7030 | plant | water | capsule | aqueous solution 
7031 | plant | plant cell | capsule | aqueous solution 
7038 | iodine atom | neutron | protein | polypeptide 
7039 | iodine atom | valence electron | protein | polypeptide 
7058 | bacterium | cytoplasm | polymer | monomer 
7058 | bacterium | cytoplasm | polymer | monomer 
7059 | bacterium | cell wall | polymer | monomer 
7059 | bacterium | cell wall | polymer | monomer 
7062 | glucose-6-phosphate | phosphorus atom | saturated fat | saturated fatty acid 
7067 | pyruvate | oxygen atom | actin | monomer 
7068 | pyruvate | hydrogen atom | actin | monomer 
7069 | pyruvate | oxygen atom | actin | monomer 
7070 | CAM plant | water | exoskeleton | chitin 
7071 | CAM plant | mesophyll cell | exoskeleton | chitin 
7072 | CAM plant | leaf | exoskeleton | chitin 
7073 | CAM plant | plasmodesmata | exoskeleton | chitin 
7089 | MRNA | monomer | hydrophilic substance | hydrophilic compound 
7090 | MRNA | oxygen atom | hydrophilic substance | hydrophilic compound 
7091 | MRNA | ribose | hydrophilic substance | hydrophilic compound 
7092 | MRNA | phosphorus atom | hydrophilic substance | hydrophilic compound 
7093 | MRNA | monomer | hydrophilic substance | hydrophilic compound 
7094 | iodine atom | neutron | protein | polypeptide 
7095 | iodine atom | valence electron | protein | polypeptide 
7101 | sunlight | ultraviolet ray | chloroplast | protein enzyme 
7101 | sunlight | ultraviolet ray | chloroplast | chloroplast membrane 
7101 | sunlight | ultraviolet ray | chloroplast | protein enzyme 
7101 | sunlight | ultraviolet ray | chloroplast | carotenoid 
7101 | sunlight | ultraviolet ray | chloroplast | granum 
7101 | sunlight | ultraviolet ray | chloroplast | stroma 
7101 | sunlight | ultraviolet ray | chloroplast | protein enzyme 
7101 | sunlight | ultraviolet ray | chloroplast | ribosome 
7102 | sunlight | infrared ray | chloroplast | protein enzyme 
7102 | sunlight | infrared ray | chloroplast | chloroplast membrane 
7102 | sunlight | infrared ray | chloroplast | protein enzyme 
7102 | sunlight | infrared ray | chloroplast | carotenoid 
7102 | sunlight | infrared ray | chloroplast | granum 
7102 | sunlight | infrared ray | chloroplast | stroma 
7102 | sunlight | infrared ray | chloroplast | protein enzyme 
7102 | sunlight | infrared ray | chloroplast | ribosome 
7103 | sunlight | visible light | chloroplast | protein enzyme 
7103 | sunlight | visible light | chloroplast | chloroplast membrane 
7103 | sunlight | visible light | chloroplast | protein enzyme 
7103 | sunlight | visible light | chloroplast | carotenoid 
7103 | sunlight | visible light | chloroplast | granum 
7103 | sunlight | visible light | chloroplast | stroma 
7103 | sunlight | visible light | chloroplast | protein enzyme 
7103 | sunlight | visible light | chloroplast | ribosome 
7106 | potassium | neutron | microvillus | microfilament 
7107 | potassium | proton | microvillus | microfilament 
7108 | potassium | valence electron | microvillus | microfilament 
7109 | potassium | valence electron | microvillus | microfilament 
7135 | glucose-6-phosphate | phosphorus atom | hydrophilic substance | hydrophilic compound 
7149 | alanine | hydrogen atom | animal | animal cell 
7149 | alanine | hydrogen atom | animal | water 
7150 | alanine | hydrogen atom | animal | animal cell 
7150 | alanine | hydrogen atom | animal | water 
7151 | alanine | oxygen atom | animal | animal cell 
7151 | alanine | oxygen atom | animal | water 
7152 | alanine | oxygen atom | animal | animal cell 
7152 | alanine | oxygen atom | animal | water 
7153 | alanine | nitrogen atom | animal | animal cell 
7153 | alanine | nitrogen atom | animal | water 
7154 | water vapour | water molecule | aqueous solution | water 
7177 | storage polysaccharide | monomer | ER membrane | carbohydrate 
7177 | storage polysaccharide | monomer | ER membrane | phospholipid bilayer 
7177 | storage polysaccharide | monomer | ER membrane | glycoprotein 
