0 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
1549 | pepsin | Hydrolysis | ATP synthase | Facilitated diffusion 
1549 | pepsin | Hydrolysis | ATP synthase | Synthesis of ATP 
1553 | rough endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
1554 | PEP carboxylase | Carbon fixation | plant | Starch storage by plant 
1554 | PEP carboxylase | Carbon fixation | plant | Photosynthesis 
1555 | smooth endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
1555 | smooth endoplasmic reticulum | Metabolism | lysosome | Autophagy 
1556 | CAM plant | Starch storage by plant | pepsin | Hydrolysis 
1557 | CAM plant | Crassulacean acid metabolism | pepsin | Hydrolysis 
1560 | pepsin | Hydrolysis | plant | Starch storage by plant 
1560 | pepsin | Hydrolysis | plant | Photosynthesis 
1562 | radioactive isotope | Radioactivity | ATP synthase | Facilitated diffusion 
1562 | radioactive isotope | Radioactivity | ATP synthase | Synthesis of ATP 
1563 | cellulose | Adhesion | plant | Starch storage by plant 
1563 | cellulose | Adhesion | plant | Photosynthesis 
1564 | ribonuclease | Hydrolysis | carbon 14 atom | Radioactivity 
1566 | macrophage | Phagocytosis | carbon 14 atom | Radioactivity 
1569 | mitochondrion | Eukaryotic oxidative phosphorylation | lysosome | Intracellular digestion 
1569 | mitochondrion | Eukaryotic oxidative phosphorylation | lysosome | Autophagy 
1570 | mitochondrion | Eukaryotic pyruvate oxidation | lysosome | Intracellular digestion 
1570 | mitochondrion | Eukaryotic pyruvate oxidation | lysosome | Autophagy 
1575 | PEP carboxylase | Carbon fixation | thylakoid | Light reaction 
1580 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Starch storage by plant 
1580 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Photosynthesis 
1581 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Starch storage by plant 
1581 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Photosynthesis 
1584 | carbon 14 atom | Radioactivity | ribonuclease | Hydrolysis 
1591 | cotransporter | Cotransport | radioactive isotope | Radioactivity 
1592 | cotransporter | Exergonic process | radioactive isotope | Radioactivity 
1599 | rough endoplasmic reticulum | Metabolism | radioactive isotope | Radioactivity 
1600 | cellulose | Adhesion | lysosome | Intracellular digestion 
1600 | cellulose | Adhesion | lysosome | Autophagy 
1601 | smooth endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
1617 | C4 plant | C4-photosynthesis | ATP synthase | Facilitated diffusion 
1617 | C4 plant | C4-photosynthesis | ATP synthase | Synthesis of ATP 
1618 | C4 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
1618 | C4 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
1619 | radioactive isotope | Radioactivity | thylakoid | Light reaction 
1622 | ribonuclease | Hydrolysis | CAM plant | Starch storage by plant 
1622 | ribonuclease | Hydrolysis | CAM plant | Crassulacean acid metabolism 
1625 | lysosome | Intracellular digestion | pepsin | Hydrolysis 
1626 | lysosome | Autophagy | pepsin | Hydrolysis 
1627 | smooth endoplasmic reticulum | Metabolism | C4 plant | C4-photosynthesis 
1627 | smooth endoplasmic reticulum | Metabolism | C4 plant | Starch storage by plant 
1628 | lysosome | Intracellular digestion | cytoplasmic protein kinase | Phosphorylation 
1629 | lysosome | Autophagy | cytoplasmic protein kinase | Phosphorylation 
1630 | pepsin | Hydrolysis | ATP synthase | Facilitated diffusion 
1630 | pepsin | Hydrolysis | ATP synthase | Synthesis of ATP 
1631 | phosphofructokinase | Phosphorylation | CAM plant | Starch storage by plant 
1631 | phosphofructokinase | Phosphorylation | CAM plant | Crassulacean acid metabolism 
1634 | thylakoid | Light reaction | pepsin | Hydrolysis 
1639 | lysosome | Intracellular digestion | pepsin | Hydrolysis 
1640 | lysosome | Autophagy | pepsin | Hydrolysis 
1642 | radioactive isotope | Radioactivity | plant | Starch storage by plant 
1642 | radioactive isotope | Radioactivity | plant | Photosynthesis 
1643 | cytoplasmic protein kinase | Phosphorylation | lysosome | Intracellular digestion 
1643 | cytoplasmic protein kinase | Phosphorylation | lysosome | Autophagy 
1648 | ATP synthase | Facilitated diffusion | C4 plant | C4-photosynthesis 
1648 | ATP synthase | Facilitated diffusion | C4 plant | Starch storage by plant 
1649 | ATP synthase | Synthesis of ATP | C4 plant | C4-photosynthesis 
1649 | ATP synthase | Synthesis of ATP | C4 plant | Starch storage by plant 
1664 | lysosome | Intracellular digestion | C4 plant | C4-photosynthesis 
1664 | lysosome | Intracellular digestion | C4 plant | Starch storage by plant 
1665 | lysosome | Autophagy | C4 plant | C4-photosynthesis 
1665 | lysosome | Autophagy | C4 plant | Starch storage by plant 
1666 | ATP synthase | Facilitated diffusion | C4 plant | C4-photosynthesis 
1666 | ATP synthase | Facilitated diffusion | C4 plant | Starch storage by plant 
1667 | ATP synthase | Synthesis of ATP | C4 plant | C4-photosynthesis 
1667 | ATP synthase | Synthesis of ATP | C4 plant | Starch storage by plant 
1670 | PEP carboxylase | Carbon fixation | ribonuclease | Hydrolysis 
1684 | dynein | Dynein walking | carbon 14 atom | Radioactivity 
1685 | PEP carboxylase | Carbon fixation | carbon 14 atom | Radioactivity 
1691 | transport membrane protein | Facilitated diffusion | C4 plant | C4-photosynthesis 
1691 | transport membrane protein | Facilitated diffusion | C4 plant | Starch storage by plant 
1694 | dynein | Dynein walking | radioactive isotope | Radioactivity 
1703 | carbon 14 atom | Radioactivity | radioactive isotope | Radioactivity 
1709 | macrophage | Phagocytosis | pepsin | Hydrolysis 
1715 | cellulose | Adhesion | radioactive isotope | Radioactivity 
1716 | rough endoplasmic reticulum | Metabolism | CAM plant | Starch storage by plant 
1716 | rough endoplasmic reticulum | Metabolism | CAM plant | Crassulacean acid metabolism 
1721 | lysosomal enzyme | Hydrolysis | CAM plant | Starch storage by plant 
1721 | lysosomal enzyme | Hydrolysis | CAM plant | Crassulacean acid metabolism 
1722 | thylakoid | Light reaction | plant | Starch storage by plant 
1722 | thylakoid | Light reaction | plant | Photosynthesis 
1723 | pepsin | Hydrolysis | plant | Starch storage by plant 
1723 | pepsin | Hydrolysis | plant | Photosynthesis 
1724 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
1725 | CAM plant | Crassulacean acid metabolism | thylakoid | Light reaction 
1727 | lysosomal enzyme | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
1729 | cellulose | Adhesion | lysosome | Intracellular digestion 
1729 | cellulose | Adhesion | lysosome | Autophagy 
1744 | C3 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
1744 | C3 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
1748 | PEP carboxylase | Carbon fixation | lysosome | Intracellular digestion 
1748 | PEP carboxylase | Carbon fixation | lysosome | Autophagy 
1750 | carbon 14 atom | Radioactivity | lysosome | Intracellular digestion 
1750 | carbon 14 atom | Radioactivity | lysosome | Autophagy 
1758 | thylakoid | Light reaction | pepsin | Hydrolysis 
1761 | chloroplast | Photosynthesis | plant | Starch storage by plant 
1761 | chloroplast | Photosynthesis | plant | Photosynthesis 
1765 | rough endoplasmic reticulum | Metabolism | pepsin | Hydrolysis 
1770 | lysosome | Intracellular digestion | ATP synthase | Facilitated diffusion 
1770 | lysosome | Intracellular digestion | ATP synthase | Synthesis of ATP 
1771 | lysosome | Autophagy | ATP synthase | Facilitated diffusion 
1771 | lysosome | Autophagy | ATP synthase | Synthesis of ATP 
1772 | pepsin | Hydrolysis | carbon 14 atom | Radioactivity 
1777 | lysosomal enzyme | Hydrolysis | plant | Starch storage by plant 
1777 | lysosomal enzyme | Hydrolysis | plant | Photosynthesis 
1778 | chloroplast | Photosynthesis | pepsin | Hydrolysis 
1785 | lysosomal enzyme | Hydrolysis | lysosome | Intracellular digestion 
1785 | lysosomal enzyme | Hydrolysis | lysosome | Autophagy 
1787 | pepsin | Hydrolysis | plant | Starch storage by plant 
1787 | pepsin | Hydrolysis | plant | Photosynthesis 
1799 | mitochondrion | Eukaryotic oxidative phosphorylation | cytoplasmic protein kinase | Phosphorylation 
1800 | mitochondrion | Eukaryotic pyruvate oxidation | cytoplasmic protein kinase | Phosphorylation 
1801 | plant | Starch storage by plant | CAM plant | Starch storage by plant 
1801 | plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
1802 | plant | Photosynthesis | CAM plant | Starch storage by plant 
1802 | plant | Photosynthesis | CAM plant | Crassulacean acid metabolism 
1811 | dynein | Dynein walking | plant | Starch storage by plant 
1811 | dynein | Dynein walking | plant | Photosynthesis 
1812 | thylakoid | Light reaction | ribonuclease | Hydrolysis 
1819 | phosphofructokinase | Phosphorylation | ribonuclease | Hydrolysis 
1820 | cellulose | Adhesion | plant | Starch storage by plant 
1820 | cellulose | Adhesion | plant | Photosynthesis 
1822 | macrophage | Phagocytosis | thylakoid | Light reaction 
1844 | plant | Starch storage by plant | carbon 14 atom | Radioactivity 
1845 | plant | Photosynthesis | carbon 14 atom | Radioactivity 
1846 | radioactive isotope | Radioactivity | C4 plant | C4-photosynthesis 
1846 | radioactive isotope | Radioactivity | C4 plant | Starch storage by plant 
1856 | ATP synthase | Facilitated diffusion | ribonuclease | Hydrolysis 
1857 | ATP synthase | Synthesis of ATP | ribonuclease | Hydrolysis 
1862 | rough endoplasmic reticulum | Metabolism | C4 plant | C4-photosynthesis 
1862 | rough endoplasmic reticulum | Metabolism | C4 plant | Starch storage by plant 
1868 | C3 plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
1869 | macrophage | Phagocytosis | thylakoid | Light reaction 
1870 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
1873 | cytoplasmic protein kinase | Phosphorylation | radioactive isotope | Radioactivity 
1876 | C3 plant | Starch storage by plant | carbon 14 atom | Radioactivity 
1878 | cytoplasmic protein kinase | Phosphorylation | plant | Starch storage by plant 
1878 | cytoplasmic protein kinase | Phosphorylation | plant | Photosynthesis 
1880 | CAM plant | Starch storage by plant | CAM plant | Starch storage by plant 
1880 | CAM plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
1881 | CAM plant | Crassulacean acid metabolism | CAM plant | Starch storage by plant 
1881 | CAM plant | Crassulacean acid metabolism | CAM plant | Crassulacean acid metabolism 
1887 | PEP carboxylase | Carbon fixation | thylakoid | Light reaction 
1901 | carbon 14 atom | Radioactivity | plant | Starch storage by plant 
1901 | carbon 14 atom | Radioactivity | plant | Photosynthesis 
1903 | dynein | Dynein walking | ribonuclease | Hydrolysis 
1907 | smooth endoplasmic reticulum | Metabolism | plant | Starch storage by plant 
1907 | smooth endoplasmic reticulum | Metabolism | plant | Photosynthesis 
1909 | transport membrane protein | Facilitated diffusion | CAM plant | Starch storage by plant 
1909 | transport membrane protein | Facilitated diffusion | CAM plant | Crassulacean acid metabolism 
1910 | transport membrane protein | Facilitated diffusion | cytoplasmic protein kinase | Phosphorylation 
1912 | pepsin | Hydrolysis | ATP synthase | Facilitated diffusion 
1912 | pepsin | Hydrolysis | ATP synthase | Synthesis of ATP 
1916 | cellulose | Adhesion | ATP synthase | Facilitated diffusion 
1916 | cellulose | Adhesion | ATP synthase | Synthesis of ATP 
1917 | pepsin | Hydrolysis | lysosome | Intracellular digestion 
1917 | pepsin | Hydrolysis | lysosome | Autophagy 
1921 | carbon 14 atom | Radioactivity | C4 plant | C4-photosynthesis 
1921 | carbon 14 atom | Radioactivity | C4 plant | Starch storage by plant 
1922 | C3 plant | Starch storage by plant | radioactive isotope | Radioactivity 
1923 | cellulose | Adhesion | thylakoid | Light reaction 
1925 | radioactive isotope | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
1931 | plant | Starch storage by plant | pepsin | Hydrolysis 
1932 | plant | Photosynthesis | pepsin | Hydrolysis 
1938 | carbon 14 atom | Radioactivity | lysosome | Intracellular digestion 
1938 | carbon 14 atom | Radioactivity | lysosome | Autophagy 
1941 | lysosome | Intracellular digestion | carbon 14 atom | Radioactivity 
1942 | lysosome | Autophagy | carbon 14 atom | Radioactivity 
1947 | cellulose | Adhesion | lysosome | Intracellular digestion 
1947 | cellulose | Adhesion | lysosome | Autophagy 
1952 | C3 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
1952 | C3 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
1957 | smooth endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
1966 | ATP synthase | Facilitated diffusion | ribonuclease | Hydrolysis 
1967 | ATP synthase | Synthesis of ATP | ribonuclease | Hydrolysis 
1973 | smooth endoplasmic reticulum | Metabolism | radioactive isotope | Radioactivity 
1990 | rough endoplasmic reticulum | Metabolism | C4 plant | C4-photosynthesis 
1990 | rough endoplasmic reticulum | Metabolism | C4 plant | Starch storage by plant 
1991 | lysosome | Intracellular digestion | cytoplasmic protein kinase | Phosphorylation 
1992 | lysosome | Autophagy | cytoplasmic protein kinase | Phosphorylation 
1994 | cytoplasmic protein kinase | Phosphorylation | radioactive isotope | Radioactivity 
1996 | rough endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
1996 | rough endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
2002 | radioactive isotope | Radioactivity | plant | Starch storage by plant 
2002 | radioactive isotope | Radioactivity | plant | Photosynthesis 
2014 | PEP carboxylase | Carbon fixation | plant | Starch storage by plant 
2014 | PEP carboxylase | Carbon fixation | plant | Photosynthesis 
2032 | pepsin | Hydrolysis | ATP synthase | Facilitated diffusion 
2032 | pepsin | Hydrolysis | ATP synthase | Synthesis of ATP 
2034 | mitochondrion | Eukaryotic oxidative phosphorylation | C4 plant | C4-photosynthesis 
2034 | mitochondrion | Eukaryotic oxidative phosphorylation | C4 plant | Starch storage by plant 
2035 | mitochondrion | Eukaryotic pyruvate oxidation | C4 plant | C4-photosynthesis 
2035 | mitochondrion | Eukaryotic pyruvate oxidation | C4 plant | Starch storage by plant 
2040 | carbon 14 atom | Radioactivity | radioactive isotope | Radioactivity 
2042 | carbon 14 atom | Radioactivity | radioactive isotope | Radioactivity 
2044 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
2044 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
2045 | CAM plant | Starch storage by plant | plant | Starch storage by plant 
2045 | CAM plant | Starch storage by plant | plant | Photosynthesis 
2046 | CAM plant | Crassulacean acid metabolism | plant | Starch storage by plant 
2046 | CAM plant | Crassulacean acid metabolism | plant | Photosynthesis 
2047 | dynein | Dynein walking | pepsin | Hydrolysis 
2048 | cotransporter | Cotransport | radioactive isotope | Radioactivity 
2049 | cotransporter | Exergonic process | radioactive isotope | Radioactivity 
2053 | transport membrane protein | Facilitated diffusion | radioactive isotope | Radioactivity 
2055 | C4 plant | C4-photosynthesis | cytoplasmic protein kinase | Phosphorylation 
2056 | C4 plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
2057 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Starch storage by plant 
2057 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Photosynthesis 
2058 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Starch storage by plant 
2058 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Photosynthesis 
2060 | CAM plant | Starch storage by plant | CAM plant | Starch storage by plant 
2060 | CAM plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
2061 | CAM plant | Crassulacean acid metabolism | CAM plant | Starch storage by plant 
2061 | CAM plant | Crassulacean acid metabolism | CAM plant | Crassulacean acid metabolism 
2069 | phosphofructokinase | Phosphorylation | ATP synthase | Facilitated diffusion 
2069 | phosphofructokinase | Phosphorylation | ATP synthase | Synthesis of ATP 
2070 | pepsin | Hydrolysis | thylakoid | Light reaction 
2074 | carbon 14 atom | Radioactivity | thylakoid | Light reaction 
2077 | radioactive isotope | Radioactivity | ATP synthase | Facilitated diffusion 
2077 | radioactive isotope | Radioactivity | ATP synthase | Synthesis of ATP 
2083 | transport membrane protein | Facilitated diffusion | thylakoid | Light reaction 
2084 | C4 plant | C4-photosynthesis | pepsin | Hydrolysis 
2085 | C4 plant | Starch storage by plant | pepsin | Hydrolysis 
2086 | mitochondrion | Eukaryotic oxidative phosphorylation | radioactive isotope | Radioactivity 
2087 | mitochondrion | Eukaryotic pyruvate oxidation | radioactive isotope | Radioactivity 
2091 | transport membrane protein | Facilitated diffusion | carbon 14 atom | Radioactivity 
2092 | PEP carboxylase | Carbon fixation | cytoplasmic protein kinase | Phosphorylation 
2093 | phosphofructokinase | Phosphorylation | pepsin | Hydrolysis 
2097 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
2097 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
2100 | CAM plant | Starch storage by plant | radioactive isotope | Radioactivity 
2101 | CAM plant | Crassulacean acid metabolism | radioactive isotope | Radioactivity 
2107 | pepsin | Hydrolysis | thylakoid | Light reaction 
2108 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
2109 | CAM plant | Crassulacean acid metabolism | thylakoid | Light reaction 
2117 | cytoplasmic protein kinase | Phosphorylation | radioactive isotope | Radioactivity 
2125 | pepsin | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
2127 | cotransporter | Cotransport | CAM plant | Starch storage by plant 
2127 | cotransporter | Cotransport | CAM plant | Crassulacean acid metabolism 
2128 | cotransporter | Exergonic process | CAM plant | Starch storage by plant 
2128 | cotransporter | Exergonic process | CAM plant | Crassulacean acid metabolism 
2131 | PEP carboxylase | Carbon fixation | cytoplasmic protein kinase | Phosphorylation 
2132 | lysosome | Intracellular digestion | plant | Starch storage by plant 
2132 | lysosome | Intracellular digestion | plant | Photosynthesis 
2133 | lysosome | Autophagy | plant | Starch storage by plant 
2133 | lysosome | Autophagy | plant | Photosynthesis 
2137 | C4 plant | C4-photosynthesis | thylakoid | Light reaction 
2138 | C4 plant | Starch storage by plant | thylakoid | Light reaction 
2144 | PEP carboxylase | Carbon fixation | carbon 14 atom | Radioactivity 
2147 | lysosome | Intracellular digestion | thylakoid | Light reaction 
2148 | lysosome | Autophagy | thylakoid | Light reaction 
2149 | CAM plant | Starch storage by plant | C4 plant | C4-photosynthesis 
2149 | CAM plant | Starch storage by plant | C4 plant | Starch storage by plant 
2150 | CAM plant | Crassulacean acid metabolism | C4 plant | C4-photosynthesis 
2150 | CAM plant | Crassulacean acid metabolism | C4 plant | Starch storage by plant 
2153 | lysosomal enzyme | Hydrolysis | ribonuclease | Hydrolysis 
2157 | rough endoplasmic reticulum | Metabolism | carbon 14 atom | Radioactivity 
2159 | ribonuclease | Hydrolysis | CAM plant | Starch storage by plant 
2159 | ribonuclease | Hydrolysis | CAM plant | Crassulacean acid metabolism 
2168 | cotransporter | Cotransport | C4 plant | C4-photosynthesis 
2168 | cotransporter | Cotransport | C4 plant | Starch storage by plant 
2169 | cotransporter | Exergonic process | C4 plant | C4-photosynthesis 
2169 | cotransporter | Exergonic process | C4 plant | Starch storage by plant 
2171 | cytoplasmic protein kinase | Phosphorylation | lysosome | Intracellular digestion 
2171 | cytoplasmic protein kinase | Phosphorylation | lysosome | Autophagy 
2172 | PEP carboxylase | Carbon fixation | plant | Starch storage by plant 
2172 | PEP carboxylase | Carbon fixation | plant | Photosynthesis 
2177 | transport membrane protein | Facilitated diffusion | ATP synthase | Facilitated diffusion 
2177 | transport membrane protein | Facilitated diffusion | ATP synthase | Synthesis of ATP 
2179 | C4 plant | C4-photosynthesis | ribonuclease | Hydrolysis 
2180 | C4 plant | Starch storage by plant | ribonuclease | Hydrolysis 
2187 | cytoplasmic protein kinase | Phosphorylation | plant | Starch storage by plant 
2187 | cytoplasmic protein kinase | Phosphorylation | plant | Photosynthesis 
2188 | smooth endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
2193 | lysosomal enzyme | Hydrolysis | ribonuclease | Hydrolysis 
2200 | macrophage | Phagocytosis | radioactive isotope | Radioactivity 
2211 | plant | Starch storage by plant | ribonuclease | Hydrolysis 
2212 | plant | Photosynthesis | ribonuclease | Hydrolysis 
2213 | ribonuclease | Hydrolysis | lysosome | Intracellular digestion 
2213 | ribonuclease | Hydrolysis | lysosome | Autophagy 
2217 | pepsin | Hydrolysis | carbon 14 atom | Radioactivity 
2226 | C3 plant | Starch storage by plant | plant | Starch storage by plant 
2226 | C3 plant | Starch storage by plant | plant | Photosynthesis 
2227 | dynein | Dynein walking | thylakoid | Light reaction 
2230 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
2231 | phosphofructokinase | Phosphorylation | ribonuclease | Hydrolysis 
2232 | cotransporter | Cotransport | C4 plant | C4-photosynthesis 
2232 | cotransporter | Cotransport | C4 plant | Starch storage by plant 
2233 | cotransporter | Exergonic process | C4 plant | C4-photosynthesis 
2233 | cotransporter | Exergonic process | C4 plant | Starch storage by plant 
2237 | phosphofructokinase | Phosphorylation | pepsin | Hydrolysis 
2240 | chloroplast | Photosynthesis | ribonuclease | Hydrolysis 
2249 | mitochondrion | Eukaryotic oxidative phosphorylation | pepsin | Hydrolysis 
2250 | mitochondrion | Eukaryotic pyruvate oxidation | pepsin | Hydrolysis 
2264 | lysosome | Intracellular digestion | thylakoid | Light reaction 
2265 | lysosome | Autophagy | thylakoid | Light reaction 
2266 | mitochondrion | Eukaryotic oxidative phosphorylation | radioactive isotope | Radioactivity 
2267 | mitochondrion | Eukaryotic pyruvate oxidation | radioactive isotope | Radioactivity 
2268 | radioactive isotope | Radioactivity | ribonuclease | Hydrolysis 
2271 | PEP carboxylase | Carbon fixation | CAM plant | Starch storage by plant 
2271 | PEP carboxylase | Carbon fixation | CAM plant | Crassulacean acid metabolism 
2275 | transport membrane protein | Facilitated diffusion | ribonuclease | Hydrolysis 
2278 | cytoplasmic protein kinase | Phosphorylation | lysosome | Intracellular digestion 
2278 | cytoplasmic protein kinase | Phosphorylation | lysosome | Autophagy 
2283 | macrophage | Phagocytosis | ribonuclease | Hydrolysis 
2286 | macrophage | Phagocytosis | radioactive isotope | Radioactivity 
2288 | ribonuclease | Hydrolysis | C4 plant | C4-photosynthesis 
2288 | ribonuclease | Hydrolysis | C4 plant | Starch storage by plant 
2290 | ATP synthase | Facilitated diffusion | CAM plant | Starch storage by plant 
2290 | ATP synthase | Facilitated diffusion | CAM plant | Crassulacean acid metabolism 
2291 | ATP synthase | Synthesis of ATP | CAM plant | Starch storage by plant 
2291 | ATP synthase | Synthesis of ATP | CAM plant | Crassulacean acid metabolism 
2311 | thylakoid | Light reaction | CAM plant | Starch storage by plant 
2311 | thylakoid | Light reaction | CAM plant | Crassulacean acid metabolism 
2318 | lysosome | Intracellular digestion | cytoplasmic protein kinase | Phosphorylation 
2319 | lysosome | Autophagy | cytoplasmic protein kinase | Phosphorylation 
2320 | radioactive isotope | Radioactivity | plant | Starch storage by plant 
2320 | radioactive isotope | Radioactivity | plant | Photosynthesis 
2321 | lysosome | Intracellular digestion | radioactive isotope | Radioactivity 
2322 | lysosome | Autophagy | radioactive isotope | Radioactivity 
2334 | rough endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
2334 | rough endoplasmic reticulum | Metabolism | lysosome | Autophagy 
2335 | lysosome | Intracellular digestion | ATP synthase | Facilitated diffusion 
2335 | lysosome | Intracellular digestion | ATP synthase | Synthesis of ATP 
2336 | lysosome | Autophagy | ATP synthase | Facilitated diffusion 
2336 | lysosome | Autophagy | ATP synthase | Synthesis of ATP 
2341 | ATP synthase | Facilitated diffusion | ATP synthase | Facilitated diffusion 
2341 | ATP synthase | Facilitated diffusion | ATP synthase | Synthesis of ATP 
2342 | ATP synthase | Synthesis of ATP | ATP synthase | Facilitated diffusion 
2342 | ATP synthase | Synthesis of ATP | ATP synthase | Synthesis of ATP 
2345 | PEP carboxylase | Carbon fixation | radioactive isotope | Radioactivity 
2356 | smooth endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
2358 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Starch storage by plant 
2358 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Photosynthesis 
2359 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Starch storage by plant 
2359 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Photosynthesis 
2360 | cellulose | Adhesion | ATP synthase | Facilitated diffusion 
2360 | cellulose | Adhesion | ATP synthase | Synthesis of ATP 
2361 | smooth endoplasmic reticulum | Metabolism | carbon 14 atom | Radioactivity 
2362 | dynein | Dynein walking | CAM plant | Starch storage by plant 
2362 | dynein | Dynein walking | CAM plant | Crassulacean acid metabolism 
2364 | thylakoid | Light reaction | C4 plant | C4-photosynthesis 
2364 | thylakoid | Light reaction | C4 plant | Starch storage by plant 
2366 | dynein | Dynein walking | CAM plant | Starch storage by plant 
2366 | dynein | Dynein walking | CAM plant | Crassulacean acid metabolism 
2369 | plant | Starch storage by plant | CAM plant | Starch storage by plant 
2369 | plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
2370 | plant | Photosynthesis | CAM plant | Starch storage by plant 
2370 | plant | Photosynthesis | CAM plant | Crassulacean acid metabolism 
2374 | phosphofructokinase | Phosphorylation | ATP synthase | Facilitated diffusion 
2374 | phosphofructokinase | Phosphorylation | ATP synthase | Synthesis of ATP 
2375 | chloroplast | Photosynthesis | pepsin | Hydrolysis 
2377 | smooth endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
2377 | smooth endoplasmic reticulum | Metabolism | lysosome | Autophagy 
2381 | CAM plant | Starch storage by plant | plant | Starch storage by plant 
2381 | CAM plant | Starch storage by plant | plant | Photosynthesis 
2382 | CAM plant | Crassulacean acid metabolism | plant | Starch storage by plant 
2382 | CAM plant | Crassulacean acid metabolism | plant | Photosynthesis 
2384 | cytoplasmic protein kinase | Phosphorylation | plant | Starch storage by plant 
2384 | cytoplasmic protein kinase | Phosphorylation | plant | Photosynthesis 
2390 | chloroplast | Photosynthesis | lysosome | Intracellular digestion 
2390 | chloroplast | Photosynthesis | lysosome | Autophagy 
2393 | macrophage | Phagocytosis | radioactive isotope | Radioactivity 
2395 | ribonuclease | Hydrolysis | CAM plant | Starch storage by plant 
2395 | ribonuclease | Hydrolysis | CAM plant | Crassulacean acid metabolism 
2398 | pepsin | Hydrolysis | plant | Starch storage by plant 
2398 | pepsin | Hydrolysis | plant | Photosynthesis 
2411 | ribonuclease | Hydrolysis | ATP synthase | Facilitated diffusion 
2411 | ribonuclease | Hydrolysis | ATP synthase | Synthesis of ATP 
2412 | pepsin | Hydrolysis | radioactive isotope | Radioactivity 
2417 | mitochondrion | Eukaryotic oxidative phosphorylation | ribonuclease | Hydrolysis 
2418 | mitochondrion | Eukaryotic pyruvate oxidation | ribonuclease | Hydrolysis 
2420 | cotransporter | Cotransport | ATP synthase | Facilitated diffusion 
2420 | cotransporter | Cotransport | ATP synthase | Synthesis of ATP 
2421 | cotransporter | Exergonic process | ATP synthase | Facilitated diffusion 
2421 | cotransporter | Exergonic process | ATP synthase | Synthesis of ATP 
2424 | transport membrane protein | Facilitated diffusion | cytoplasmic protein kinase | Phosphorylation 
2434 | cotransporter | Cotransport | C4 plant | C4-photosynthesis 
2434 | cotransporter | Cotransport | C4 plant | Starch storage by plant 
2435 | cotransporter | Exergonic process | C4 plant | C4-photosynthesis 
2435 | cotransporter | Exergonic process | C4 plant | Starch storage by plant 
2436 | ATP synthase | Facilitated diffusion | lysosome | Intracellular digestion 
2436 | ATP synthase | Facilitated diffusion | lysosome | Autophagy 
2437 | ATP synthase | Synthesis of ATP | lysosome | Intracellular digestion 
2437 | ATP synthase | Synthesis of ATP | lysosome | Autophagy 
2439 | carbon 14 atom | Radioactivity | carbon 14 atom | Radioactivity 
2446 | CAM plant | Starch storage by plant | carbon 14 atom | Radioactivity 
